time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
60,25,1207,30720,0.2476806640625,0.0004092704424510632,0.10742414090782404,0.4558182954788208,944,0.9725558757781982,0.006347358226776123,-43.121432065963745,-0.026503010012675077,0.027310312,0.2,1257.0,-2.512113125
61,25,1207,31232,0.2197265625,0.0004092704424510632,0.00879235718457494,-0.43012845516204834,960,0.9718916416168213,-0.037407081574201584,-43.07853305339813,-0.02552102948538959,0.019004188,0.2,1257.0,-2.512113125
62,26,1207,31744,0.2510986328125,0.0004092704424510632,0.003794582466071006,-0.0671074390411377,976,0.9708558320999146,-0.04813290014863014,-43.052565932273865,-0.028231995034730062,0.026015297,0.2,1257.0,-2.50754596
63,26,1206,32256,0.1968994140625,0.0004092704424510632,0.12197281501721591,0.07059681415557861,992,0.9706597328186035,0.00929146260023117,-43.03006172180176,-0.024985139985801652,0.022409465,0.2,1257.0,-2.50754596
64,27,1206,32768,0.260986328125,0.0004092704424510632,0.014826255792286247,0.1431131362915039,1008,0.9703856706619263,-0.03225696086883545,-43.022239208221436,-0.02894071553600952,0.020646786,0.2,1257.0,-2.505982
65,27,1206,33280,0.267333984375,0.0004092704424510632,0.11672038771212101,0.6007582545280457,1024,0.9707536101341248,0.0014168694615364075,-43.015886187553406,-0.03131085702625569,0.023733333,0.2,1257.0,-2.505982
66,28,1206,33792,0.2362060546875,0.0004092704424510632,0.011953472392633557,-0.504568338394165,1040,0.9712013602256775,-0.022245105355978012,-43.030179142951965,-0.02608683171274606,0.017487332,0.2,1257.0,-2.505982
67,28,1206,34304,0.239990234375,0.0004092704424510632,0.004437652882188559,-0.15479230880737305,1056,0.9718164801597595,-0.03856007009744644,-43.052353262901306,-0.02513084349629935,0.015834361,0.2,1257.0,-2.499794333333333
68,28,1206,34816,0.1461181640625,0.0004092704424510632,0.12798772740643471,0.13284438848495483,1072,0.9709689021110535,0.010935191065073013,-43.0510116815567,-0.01737354023498483,0.018192489,0.2,1257.0,-2.499794333333333
69,29,1205,35328,0.2720947265625,0.0004092704424510632,0.0030145746895868797,-2.614882230758667,1088,0.9714541435241699,-0.039632122963666916,-43.036481499671936,-0.027409970658482052,0.021384306,0.2,1257.0,-2.5025234285714286
70,29,1205,35840,0.176025390625,0.0004092704424510632,0.13394472911022604,0.13381361961364746,1104,0.9724624156951904,0.0055856481194496155,-43.06460916996002,-0.023685898369876668,0.021607662,0.2,1257.0,-2.5025234285714286
71,30,1205,36352,0.2083740234375,0.0004092704424510632,0.013692912994883955,-0.20416343212127686,1120,0.9741784334182739,-0.029161257669329643,-43.10506093502045,-0.022450550517532974,0.015275516,0.2,1257.0,-2.5025234285714286
72,30,1205,36864,0.2984619140625,0.0004092704424510632,0.010640780674293637,-0.2629016637802124,1136,0.9752640128135681,-0.027905531227588654,-43.1551388502121,-0.027985042062937282,0.018145662,0.2,1257.0,-2.5018213103448277
73,31,1205,37376,0.1861572265625,0.0004092704424510632,0.08988528500776738,0.3047106862068176,1152,0.974811851978302,0.006520295515656471,-43.16674828529358,-0.018741927153314464,0.016356353,0.2,1257.0,-2.5018213103448277
