time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
5,14,157696,1288,0.25342124700546265,0.0004092704424510632,0.013749411678873003,0.016665384,-0.01983421854674816,4912,0.975627064704895,0.2445068359375,-0.02298396705009509,-43.05200552940369,0.2,1258.0,-2.667704509999999
5,15,158208,1283,0.6258610486984253,0.0004092704424510632,0.5343131483532488,0.013339968,0.04625823348760605,4928,0.9758160710334778,0.048583984375,-0.010465733812452527,-43.05301809310913,0.2,1258.0,-2.667704509999999
6,16,158720,1279,-4.999238967895508,0.0004092704424510632,0.02503949753008783,0.018868428,-0.02485881745815277,4944,0.9762523174285889,0.279296875,-0.030464051524177194,-43.06251811981201,0.2,1258.0,-2.66793165
6,17,159232,1276,0.2875176668167114,0.0004092704424510632,0.993596363812685,0.010288147,0.11000949144363403,4960,0.9764499068260193,0.056884765625,-0.013098535739118233,-43.07625722885132,0.2,1258.0,-2.66793165
7,18,159744,1273,-2.881115436553955,0.0004092704424510632,0.007350952611886896,0.016335238,-0.032268352806568146,4976,0.9774635434150696,0.24560546875,-0.021601398912025616,-43.090747594833374,0.2,1258.0,-2.66793165
7,19,160256,1270,0.3493040204048157,0.0004092704424510632,0.421950263902545,0.019198654,0.0910959243774414,4992,0.9771937727928162,0.12060546875,-0.017957423246116377,-43.1041544675827,0.2,1258.0,-2.6674067599999995
8,20,160768,1267,0.9476405382156372,0.0004092704424510632,0.08281087991781533,0.027282182,-0.026662159711122513,5008,0.9758778214454651,0.2786865234375,-0.023000780725851655,-43.072741627693176,0.2,1258.0,-2.6674067599999995
8,21,161280,1265,-1.4567677974700928,0.0004092704424510632,0.02061648399103433,0.016584413,-0.026786571368575096,5024,0.9757166504859924,0.2548828125,-0.02498446765821427,-43.04434514045715,0.2,1258.0,-2.66615658
8,22,161792,1263,0.45732080936431885,0.0004092704424510632,0.9010477149859071,0.009317239,0.15141552686691284,5040,0.9757319688796997,0.0325927734375,-0.00681243919825647,-43.046672344207764,0.2,1258.0,-2.66615658
9,23,162304,1261,-3.866514205932617,0.0004092704424510632,0.00798906282579992,0.02236937,-0.030367521569132805,5056,0.977004885673523,0.256103515625,-0.02438774934853427,-43.06248652935028,0.2,1258.0,-2.66459028
9,24,162816,1259,0.38028258085250854,0.0004092704424510632,1.4581368556246161,0.0044502015,0.21355067193508148,5072,0.9773444533348083,0.02197265625,-0.002503261268429924,-43.090407490730286,0.2,1258.0,-2.66459028
10,25,163328,1258,-0.5302121639251709,0.0004092704424510632,0.0045103630181984045,0.021708287,-0.037970151752233505,5088,0.9751922488212585,0.2830810546875,-0.02800018823472783,-43.063403844833374,0.2,1258.0,-2.66459028
10,26,163840,1256,0.020001709461212158,0.0004092704424510632,0.009302800637669861,0.017286194,-0.0332748219370842,5104,0.9745780229568481,0.26806640625,-0.025202305187121965,-43.01033103466034,0.2,1258.0,-2.66414896
11,27,164352,1255,0.5482741594314575,0.0004092704424510632,1.0511577054858208,0.008368255,0.11207061260938644,5120,0.9745617508888245,0.0400390625,-0.006267269571253564,-43.00605809688568,0.2,1258.0,-2.66414896
11,28,164864,1254,-5.974412441253662,0.0004092704424510632,0.031066729134181514,0.021954756,-0.020309949293732643,5136,0.975209653377533,0.25830078125,-0.02376816186006181,-43.008731842041016,0.2,1258.0,-2.6624150400000004
11,29,165376,1253,0.3715389370918274,0.0004092704424510632,1.4670733315870166,0.0041772337,0.21105274558067322,5152,0.9755247235298157,0.0069580078125,-0.0009997408851631917,-43.0313583612442,0.2,1258.0,-2.6624150400000004
12,30,165888,1252,-1.1909680366516113,0.0004092704424510632,0.0033266486643697135,0.023430843,-0.0452570877969265,5168,0.9753673076629639,0.2774658203125,-0.02792519457580056,-43.03025841712952,0.2,1258.0,-2.6624150400000004
12,31,166400,1251,0.020269036293029785,0.0004092704424510632,0.014338403940200806,0.027197702,-0.02486984245479107,5184,0.9742426872253418,0.284912109375,-0.023854854473029263,-43.01253867149353,0.2,1258.0,-2.659219940000001
