time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/value_loss,train/std,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
22,1916,84,193536,0.0004092704424510632,0.2,-0.04105310142040253,-1.049691915512085,0.009823054540902376,0.951686441898346,0.02478179,6032,-42.032777190208435,0.3001708984375,-0.027095220546470955,-2.2531128299999996,1257.0
22,1915,85,194048,0.0004092704424510632,0.2,-0.029247310012578964,0.17393851280212402,0.002635343531437684,0.9511032104492188,0.014777285,6048,-42.05715572834015,0.224609375,-0.02459634284605272,-2.2510747299999996,1257.0
22,1915,86,194560,0.0004092704424510632,0.2,-0.021935272961854935,0.41360753774642944,0.11155201448127627,0.9504355788230896,0.026272744,6064,-42.02111232280731,0.177490234375,-0.021085737855173647,-2.2510747299999996,1257.0
23,1915,87,195072,0.0004092704424510632,0.2,-0.02446313574910164,-7.771941184997559,0.014952018129406497,0.9493489861488342,0.022794232,6080,-41.99660050868988,0.2418212890625,-0.02080220940115396,-2.25017823,1257.0
23,1915,88,195584,0.0004092704424510632,0.2,0.010823655873537064,0.13778579235076904,0.25263107381761074,0.9488528966903687,0.023274336,6096,-41.962775230407715,0.1845703125,-0.02433099804329686,-2.25017823,1257.0
23,1914,89,196096,0.0004092704424510632,0.2,-0.04626975953578949,-6.3487548828125,0.016366698037018068,0.9476577043533325,0.018356424,6112,-41.93810772895813,0.2489013671875,-0.02635550692502875,-2.25018553,1257.0
24,1914,90,196608,0.0004092704424510632,0.2,0.03208152949810028,0.09283077716827393,0.3056389894336462,0.9464795589447021,0.015308695,6128,-41.89188003540039,0.1304931640625,-0.01691677630878985,-2.25018553,1257.0
24,1914,91,197120,0.0004092704424510632,0.2,-0.03657000511884689,-0.6577836275100708,0.003321845520986244,0.9461768865585327,0.029276013,6144,-41.86170554161072,0.314697265625,-0.02957604650873691,-2.25018553,1257.0
24,1914,92,197632,0.0004092704424510632,0.2,-0.028689708560705185,-0.22954952716827393,0.0028960512136109173,0.9467228055000305,0.018236045,6160,-41.86190915107727,0.24267578125,-0.023945377964992076,-2.2486926499999997,1257.0
24,1913,93,198144,0.0004092704424510632,0.2,0.015249837189912796,0.33985257148742676,0.27030571084469557,0.9460138082504272,0.023216601,6176,-41.871785163879395,0.170166015625,-0.02280315502139274,-2.2486926499999997,1257.0
25,1913,94,198656,0.0004092704424510632,0.2,-0.02904483675956726,-6.556818962097168,0.019402883539441973,0.9445738196372986,0.018312251,6192,-41.829163551330566,0.2315673828125,-0.02268860675394535,-2.24666466,1257.0
25,1913,95,199168,0.0004092704424510632,0.2,0.022103359922766685,0.16706371307373047,0.24912154115736485,0.9436256885528564,0.019193552,6208,-41.78573477268219,0.1756591796875,-0.02205524724558927,-2.24666466,1257.0
25,1913,96,199680,0.0004092704424510632,0.2,-0.023491138592362404,-13.814308166503906,0.005015971728425939,0.9441377520561218,0.03236551,6224,-41.771604776382446,0.3148193359375,-0.021458208982949145,-2.24666466,1257.0
25,1913,97,200192,0.0004092704424510632,0.2,-0.0355818048119545,-0.028067946434020996,0.002628375033964403,0.9422029256820679,0.018096855,6240,-41.75672101974487,0.259521484375,-0.027762969606556,-2.2458819799999996,1257.0
26,1913,98,200704,0.0004092704424510632,0.2,0.014837853610515594,0.17949074506759644,0.3173362088855356,0.9416117072105408,0.02254714,6256,-41.688843846321106,0.1710205078125,-0.026266638829838485,-2.2458819799999996,1257.0
26,1914,99,201216,0.0004092704424510632,0.2,-0.03289645165205002,-7.54709529876709,0.004832842001633253,0.9418485164642334,0.02619413,6272,-41.68477785587311,0.3341064453125,-0.02827578817959875,-2.2441531500000003,1257.0
26,1914,100,201728,0.0004092704424510632,0.2,0.018068894743919373,0.039293110370635986,0.3766955661121756,0.9416640400886536,0.019438073,6288,-41.68478870391846,0.19140625,-0.01808090222766623,-2.2441531500000003,1257.0
27,1914,101,202240,0.0004092704424510632,0.2,-0.022814521566033363,-4.366734981536865,0.0037193269017734565,0.9404028654098511,0.021174219,6304,-41.65903925895691,0.2635498046875,-0.020726923205074854,-2.2441531500000003,1257.0
27,1914,102,202752,0.0004092704424510632,0.2,-0.035329561680555344,-0.019328594207763672,0.0021269869757816195,0.9386756420135498,0.015893802,6320,-41.62486708164215,0.224609375,-0.02343043098517228,-2.24125822,1257.0
27,1914,103,203264,0.0004092704424510632,0.2,0.03192509710788727,0.12824082374572754,0.3024566953536123,0.9381130337715149,0.014941426,6336,-41.58956038951874,0.162109375,-0.017169915648992173,-2.24125822,1257.0
27,1914,104,203776,0.0004092704424510632,0.2,-0.03421187773346901,-8.825413703918457,0.009039915094035678,0.9394657015800476,0.02622487,6352,-41.600077867507935,0.294921875,-0.02572636794502614,-2.2384701499999995,1257.0
28,1914,105,204288,0.0004092704424510632,0.2,0.04755629971623421,0.1286446452140808,0.3231324104126543,0.9396268725395203,0.018062156,6368,-41.63117599487305,0.1640625,-0.020909368817228824,-2.2384701499999995,1257.0
28,1914,106,204800,0.0004092704424510632,0.2,-0.02709878422319889,0.16676807403564453,0.02269701659679413,0.9382678866386414,0.017690606,6384,-41.61066484451294,0.223388671875,-0.02248387700819876,-2.2384701499999995,1257.0
28,1914,107,205312,0.0004092704424510632,0.2,-0.037660710513591766,-3.83306884765625,0.0026209024435956962,0.9393828511238098,0.026631003,6400,-41.59027636051178,0.3106689453125,-0.026784694025991485,-2.2354080899999995,1257.0
28,1913,108,205824,0.0004092704424510632,0.2,0.019516555592417717,0.29828953742980957,0.2418276744429022,0.9402640461921692,0.014676511,6416,-41.63329601287842,0.091796875,-0.016439782921224833,-2.2354080899999995,1257.0
29,1913,109,206336,0.0004092704424510632,0.2,-0.034571047872304916,-6.5346856117248535,0.0384237045655027,0.9410616755485535,0.020934444,6432,-41.66000056266785,0.2073974609375,-0.021342620049836114,-2.23237791,1257.0
29,1913,110,206848,0.0004092704424510632,0.2,0.04031684249639511,0.12727117538452148,0.3224810224492103,0.9413369297981262,0.0149296,6448,-41.681371212005615,0.116455078125,-0.014964734044042416,-2.23237791,1257.0
29,1912,111,207360,0.0004092704424510632,0.2,-0.03240054100751877,-9.649482727050781,0.0038112605579954106,0.9428209066390991,0.022539068,6464,-41.706366300582886,0.2606201171875,-0.023113675037166104,-2.23237791,1257.0
29,1912,112,207872,0.0004092704424510632,0.2,-0.03769378736615181,0.0842406153678894,0.0013418702419585316,0.9424390196800232,0.015148368,6480,-41.74337613582611,0.2586669921875,-0.026670780280255713,-2.2274275899999996,1257.0
30,1912,113,208384,0.0004092704424510632,0.2,-0.015533126890659332,0.2301492691040039,0.15582386351889,0.9423649907112122,0.021755941,6496,-41.72744810581207,0.187255859375,-0.02333122798881959,-2.2274275899999996,1257.0
30,1912,114,208896,0.0004092704424510632,0.2,-0.031394194811582565,-6.122421741485596,0.012194733921205625,0.9420638084411621,0.027426032,6512,-41.72531819343567,0.2774658203125,-0.027074939105659723,-2.22551817,1257.0
30,1912,115,209408,0.0004092704424510632,0.2,0.04181930422782898,0.09345287084579468,0.320342157734558,0.9415434002876282,0.016987491,6528,-41.69704723358154,0.1383056640625,-0.0221753534860909,-2.22551817,1257.0
31,1912,116,209920,0.0004092704424510632,0.2,-0.03356626257300377,-6.902094841003418,0.008795804940746166,0.9435499906539917,0.022184584,6544,-41.71089696884155,0.2210693359375,-0.021590035656117834,-2.22267247,1257.0
31,1912,117,210432,0.0004092704424510632,0.2,0.0569172278046608,0.17371594905853271,0.32260120403952897,0.9445865750312805,0.016281651,6560,-41.775126218795776,0.1129150390625,-0.016241028424701653,-2.22267247,1257.0
31,1912,118,210944,0.0004092704424510632,0.2,-0.03963923454284668,-0.23987066745758057,0.004698512369941454,0.945123553276062,0.016802322,6576,-41.79442274570465,0.2789306640625,-0.02674302393279504,-2.22267247,1257.0
31,1912,119,211456,0.0004092704424510632,0.2,-0.034477729350328445,-0.5107245445251465,0.0031958174440660514,0.945532500743866,0.018987546,6592,-41.80153846740723,0.2587890625,-0.02858305633708369,-2.2205619800000003,1257.0
