time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
5,15,1360,82944,0.005735523933253717,0.2,0.2718505859375,-0.041881002485752106,-9.298324584960938e-06,-0.029790665226755664,0.9721581339836121,0.0004092704424510632,-43.00982201099396,0.017970718,2576,-2.9425664615384615,1257.0
6,16,1356,83456,0.0017668140935711563,0.2,0.2139892578125,-0.029435064643621445,-5.900859832763672e-05,-0.0241601659799926,0.9708139896392822,0.0004092704424510632,-42.99218165874481,0.02049332,2592,-2.939443227272727,1257.0
6,17,1352,83968,0.19205497670918703,0.2,0.3006591796875,0.04290498048067093,2.2649765014648438e-06,-0.025857942266156897,0.9694081544876099,0.0004092704424510632,-42.94475734233856,0.04853476,2608,-2.939443227272727,1257.0
6,18,1348,84480,0.006222979442100041,0.2,0.224609375,-0.0304326880723238,4.208087921142578e-05,-0.025834114057943225,0.9691168069839478,0.0004092704424510632,-42.91408336162567,0.01999858,2624,-2.934751134328358,1257.0
7,19,1345,84992,0.3466676860116422,0.2,0.1968994140625,0.15480130910873413,4.0531158447265625e-06,-0.019726571859791875,0.9693533182144165,0.0004092704424510632,-42.91537547111511,0.016506303,2640,-2.934751134328358,1257.0
7,20,1342,85504,0.0057116307798423804,0.2,0.2293701171875,-0.03958198428153992,4.112720489501953e-06,-0.024969781254185364,0.9707801938056946,0.0004092704424510632,-42.93933439254761,0.015350294,2656,-2.9344062058823526,1257.0
8,21,1340,86016,0.3154862066730857,0.2,0.2186279296875,0.12859348952770233,-1.3113021850585938e-06,-0.020776233126525767,0.9707903265953064,0.0004092704424510632,-42.9678213596344,0.02272467,2672,-2.9344062058823526,1257.0
8,22,1337,86528,0.006578254819032736,0.2,0.2803955078125,-0.034974031150341034,2.682209014892578e-06,-0.028388082922901958,0.9690792560577393,0.0004092704424510632,-42.9453843832016,0.020577095,2688,-2.9344062058823526,1257.0
8,23,1333,87040,0.004901320913631935,0.2,0.226318359375,-0.035799406468868256,5.424022674560547e-05,-0.023592183919390664,0.9679422974586487,0.0004092704424510632,-42.88904416561127,0.017060537,2704,-2.935139608695652,1257.0
9,24,1332,87552,0.33376855310052633,0.2,0.2264404296875,0.10164806246757507,5.364418029785156e-06,-0.026636708003934473,0.9666825532913208,0.0004092704424510632,-42.85154569149017,0.027640468,2720,-2.935139608695652,1257.0
9,25,1331,88064,0.005551719004870392,0.2,0.26220703125,-0.0238102525472641,2.86102294921875e-06,-0.029288097823155113,0.9679720401763916,0.0004092704424510632,-42.840527415275574,0.023989983,2736,-2.9330855285714286,1257.0
10,26,1330,88576,0.31757403211668134,0.2,0.2508544921875,0.1372920274734497,2.384185791015625e-06,-0.02602726686745882,0.9684284925460815,0.0004092704424510632,-42.8697065114975,0.020318981,2752,-2.9330855285714286,1257.0
10,27,1329,89088,0.0025820377049967647,0.2,0.2906494140625,-0.04744291678071022,-0.00042700767517089844,-0.031764099607244134,0.9683567881584167,0.0004092704424510632,-42.86788773536682,0.026578812,2768,-2.9330855285714286,1257.0
10,28,1327,89600,0.0032547658411203884,0.2,0.2225341796875,-0.035695526748895645,4.673004150390625e-05,-0.027025282965041697,0.9677795767784119,0.0004092704424510632,-42.859225034713745,0.017671894,2784,-2.9333895352112678,1257.0
11,29,1327,90112,0.33255796041339636,0.2,0.2967529296875,0.11821402609348297,8.940696716308594e-06,-0.03181382939510513,0.9680823683738708,0.0004092704424510632,-42.846771359443665,0.034623593,2800,-2.9333895352112678,1257.0
11,30,1325,90624,0.005205998771998566,0.2,0.2393798828125,-0.03716226667165756,0.00209653377532959,-0.024693174607818946,0.9682267904281616,0.0004092704424510632,-42.85398256778717,0.020011965,2816,-2.932401111111111,1257.0
