time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/std,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
39,1782,11,19968,-0.027422485873103142,0.0004092704424510632,0.9865039587020874,0.2,0.0007116794586181641,0.009171206285827793,0.016788838,-0.02532857735059224,608,-43.51045036315918,0.2421875,-3.164133333333333,1258.0
40,1778,11,20480,-0.0538313090801239,0.0004092704424510632,0.9847692847251892,0.2,0.001203298568725586,0.0028799332030757796,0.017325116,-0.029832774212991353,624,-43.51762354373932,0.2454833984375,-3.163917,1258.0
41,1775,11,20992,0.0589655339717865,0.0004092704424510632,0.9858054518699646,0.2,0.00031441450119018555,0.21366114588454366,0.026297165,-0.031883108720649034,640,-43.482205271720886,0.3148193359375,-3.163917,1258.0
42,1773,12,21504,-0.0341891385614872,0.0004092704424510632,0.9870673418045044,0.2,0.044561803340911865,0.009032911431859247,0.020874893,-0.022508385707624257,656,-43.5360769033432,0.25341796875,-3.1594174705882354,1258.0
43,1771,12,22016,0.07716315239667892,0.0004092704424510632,0.9878302216529846,0.2,0.0024106502532958984,0.21720964601263404,0.018473092,-0.02554986394534353,672,-43.56315779685974,0.26220703125,-3.1594174705882354,1258.0
44,1769,12,22528,-0.023809295147657394,0.0004092704424510632,0.9879409074783325,0.2,0.062101542949676514,0.01080762107449118,0.01758435,-0.025265827323892154,688,-43.57527673244476,0.239013671875,-3.1594174705882354,1258.0
45,1766,13,23040,-0.02826252207159996,0.0004092704424510632,0.9884845614433289,0.2,-0.0015507936477661133,0.004179368872428313,0.017460685,-0.025678500103822444,704,-43.584293603897095,0.218994140625,-3.1644208333333332,1258.0
46,1764,13,23552,0.0648970752954483,0.0004092704424510632,0.9879821538925171,0.2,0.0011418461799621582,0.2179493922740221,0.019621005,-0.028005015337839723,720,-43.58890974521637,0.25732421875,-3.1644208333333332,1258.0
47,1762,13,24064,-0.033110372722148895,0.0004092704424510632,0.987865686416626,0.2,0.13744235038757324,0.015536931867245585,0.029800517,-0.03339793915802147,736,-43.569928765296936,0.3336181640625,-3.1636536842105265,1258.0
48,1759,13,24576,0.041887860745191574,0.0004092704424510632,0.9868829846382141,0.2,0.04688715934753418,0.19713031314313412,0.014925016,-0.02066607061715331,752,-43.557026386260986,0.2154541015625,-3.1636536842105265,1258.0
49,1756,14,25088,-0.03382377326488495,0.0004092704424510632,0.9858614206314087,0.2,-0.15125524997711182,0.01164824902662076,0.016907463,-0.021552869526203722,768,-43.52032387256622,0.199462890625,-3.1636536842105265,1258.0
50,1754,14,25600,-0.03504300117492676,0.0004092704424510632,0.9857727885246277,0.2,0.08688879013061523,0.0049341694539180025,0.016071316,-0.024358678550925106,784,-43.49865770339966,0.2286376953125,-3.176017,1258.0
51,1752,14,26112,0.03389395773410797,0.0004092704424510632,0.9862637519836426,0.2,0.05094259977340698,0.1791360939387232,0.018859975,-0.020432711695320904,800,-43.5096173286438,0.18212890625,-3.176017,1258.0
52,1749,15,26624,-0.031384505331516266,0.0004092704424510632,0.9872137308120728,0.2,-0.8125643730163574,0.011070403066696599,0.018254992,-0.02461447711539222,816,-43.52842855453491,0.2415771484375,-3.173534619047619,1258.0
53,1746,15,27136,0.045852672308683395,0.0004092704424510632,0.9872504472732544,0.2,0.11515438556671143,0.1808021275792271,0.01980811,-0.020071725535672158,832,-43.55325889587402,0.204345703125,-3.173534619047619,1258.0
54,1744,15,27648,-0.03443453088402748,0.0004092704424510632,0.9872224926948547,0.2,-0.6148689985275269,0.011495505139464512,0.01938684,-0.025689535395940766,848,-43.54813277721405,0.2613525390625,-3.173534619047619,1258.0
55,1741,16,28160,-0.03603324666619301,0.0004092704424510632,0.9864489436149597,0.2,0.5448703765869141,0.009918239768012427,0.015238438,-0.02618387102847919,864,-43.537840127944946,0.249755859375,-3.1712163181818185,1258.0
56,1736,16,28672,0.017380490899086,0.0004092704424510632,0.9860838651657104,0.2,0.30616891384124756,0.12491767026949674,0.04132873,-0.02670770199620165,880,-43.51501441001892,0.2879638671875,-3.1712163181818185,1258.0
