time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,rollout/ep_len_mean,rollout/ep_rew_mean
1888,37888,74,20,1168,-0.026787656257511117,0.016104263748275116,0.0004092704424510632,0.020572776,0.9840158224105835,0.2,0.223388671875,-43.463470101356506,-0.04650219902396202,-0.6770323514938354,1223.0,-2.1830457
1888,38400,75,20,1184,-0.026580769364954904,0.017176083638332784,0.0004092704424510632,0.017889958,0.9825097918510437,0.2,0.23828125,-43.42167866230011,-0.024091962724924088,0.48394930362701416,1223.0,-2.1781552580645163
1889,38912,76,20,1200,-0.026876466145040467,0.08151079015806317,0.0004092704424510632,0.04215384,0.9815127849578857,0.2,0.283935546875,-43.38151168823242,-0.008753802627325058,0.37391310930252075,1223.0,-2.1781552580645163
1888,39424,77,20,1216,-0.030369215819519013,0.025313367106718943,0.0004092704424510632,0.019351894,0.981941819190979,0.2,0.259033203125,-43.37167978286743,-0.03909459710121155,-2.1566531658172607,1223.0,-2.1833811875
1889,39936,78,21,1232,-0.018015995403402485,0.14367380924522877,0.0004092704424510632,0.0167141,0.9815570116043091,0.2,0.1754150390625,-43.37729632854462,0.027966994792222977,0.08313953876495361,1223.0,-2.1833811875
1890,40448,79,21,1248,-0.02226196540868841,0.011849962553242221,0.0004092704424510632,0.025919823,0.9798124432563782,0.2,0.2235107421875,-43.34575116634369,-0.02516099065542221,-1.5128612518310547,1223.0,-2.1811906363636364
1891,40960,80,21,1264,-0.020127793861320242,0.14995287940837443,0.0004092704424510632,0.018192863,0.9787573218345642,0.2,0.1595458984375,-43.289052963256836,0.01210855320096016,0.16821175813674927,1223.0,-2.1811906363636364
1891,41472,81,21,1280,-0.02480895227199653,0.006149468041257933,0.0004092704424510632,0.021601042,0.9802254438400269,0.2,0.2413330078125,-43.292230010032654,-0.022264519706368446,-1.650109052658081,1223.0,-2.1811906363636364
1891,41984,82,22,1296,-0.0339088813343551,0.0026112083869520575,0.0004092704424510632,0.02483894,0.9817390441894531,0.2,0.273681640625,-43.35076820850372,-0.045550450682640076,-0.12752509117126465,1223.0,-2.1816286764705883
1892,42496,83,22,1312,-0.0192008602025453,0.18844741978682578,0.0004092704424510632,0.015754636,0.9827806353569031,0.2,0.1695556640625,-43.38616967201233,0.008149877190589905,0.0815284252166748,1223.0,-2.1816286764705883
1893,43008,84,22,1328,-0.0268921940587461,0.027741898084059358,0.0004092704424510632,0.0205669,0.9851398468017578,0.2,0.2391357421875,-43.43296194076538,-0.025778891518712044,-5.100711822509766,1223.0,-2.1822268285714284
1892,43520,85,22,1344,-0.02252605461399071,0.2660192744806409,0.0004092704424510632,0.021563876,0.9851428270339966,0.2,0.219482421875,-43.48501193523407,0.06156026944518089,0.07062649726867676,1223.0,-2.1822268285714284
1892,44032,86,23,1360,-0.02311610670585651,0.02189159975387156,0.0004092704424510632,0.017195102,0.9847575426101685,0.2,0.2178955078125,-43.46623504161835,-0.021115131676197052,-0.3508942127227783,1223.0,-2.1845825555555556
1892,44544,87,23,1376,-0.023844689305406064,0.2059009785298258,0.0004092704424510632,0.021050755,0.9840508699417114,0.2,0.2625732421875,-43.45523166656494,0.027055200189352036,0.37216097116470337,1223.0,-2.1845825555555556
1893,45056,88,23,1392,-0.022756491884138086,0.011872271410538815,0.0004092704424510632,0.021082604,0.9842724800109863,0.2,0.214599609375,-43.440633893013,-0.03278372809290886,-0.9558218717575073,1223.0,-2.1845825555555556
1894,45568,89,24,1408,-0.027837920599267818,0.0036310664436314255,0.0004092704424510632,0.021196134,0.9842079877853394,0.2,0.251220703125,-43.44397151470184,-0.03760598599910736,-0.3099299669265747,1223.0,-2.185720189189189
1894,46080,90,24,1424,-0.01659558255050797,0.188955093966797,0.0004092704424510632,0.016446754,0.9838589429855347,0.2,0.171630859375,-43.438961029052734,0.015110861510038376,0.07610511779785156,1223.0,-2.185720189189189
1893,46592,91,24,1440,-0.030601458172895946,0.030259408958954737,0.0004092704424510632,0.032262575,0.9837592244148254,0.2,0.2744140625,-43.42642605304718,-0.03809138759970665,-3.029850959777832,1223.0,-2.1849438157894734
1893,47104,92,24,1456,-0.02733345025626477,0.15186376310884953,0.0004092704424510632,0.021662459,0.9834664463996887,0.2,0.2271728515625,-43.42299163341522,0.020524896681308746,0.06928414106369019,1223.0,-2.1849438157894734
1894,47616,93,25,1472,-0.027433942726929672,0.031219492782838643,0.0004092704424510632,0.01686424,0.9833074808120728,0.2,0.2418212890625,-43.41339409351349,-0.028196103870868683,-0.3180643320083618,1223.0,-2.1849438157894734
1894,48128,94,25,1488,-0.023080571001628414,0.005139826906088274,0.0004092704424510632,0.014899353,0.9821793437004089,0.2,0.218505859375,-43.40480351448059,-0.032108552753925323,-1.2293519973754883,1223.0,-2.1858348717948717
1894,48640,95,25,1504,-0.018980196939082816,0.12641942827031016,0.0004092704424510632,0.014759649,0.9805237650871277,0.2,0.1180419921875,-43.35312843322754,0.007252605631947517,0.12708818912506104,1223.0,-2.1858348717948717
1894,49152,96,25,1520,-0.02070468558667926,0.020184015622362494,0.0004092704424510632,0.016690914,0.9813781380653381,0.2,0.218017578125,-43.328590512275696,-0.022325310856103897,-4.393380641937256,1223.0,-2.186199775
1894,49664,97,26,1536,-0.025128886860329658,0.1767617566511035,0.0004092704424510632,0.023342326,0.981302797794342,0.2,0.31298828125,-43.35410785675049,0.03989876061677933,0.06444406509399414,1223.0,-2.186199775
1895,50176,98,26,1552,-0.020272408917662688,0.03188742132624611,0.0004092704424510632,0.0129048405,0.9810305833816528,0.2,0.1649169921875,-43.34515869617462,-0.030536625534296036,-1.8264389038085938,1223.0,-2.1864304878048784
1895,50688,99,26,1568,-0.01877553726080805,0.13640188658609986,0.0004092704424510632,0.019158708,0.9807547926902771,0.2,0.1575927734375,-43.33728098869324,0.023834288120269775,0.21563756465911865,1223.0,-2.1864304878048784
1895,51200,100,27,1584,-0.020643124473281205,0.009861210506642237,0.0004092704424510632,0.015096322,0.9796503186225891,0.2,0.1851806640625,-43.31866180896759,-0.026505006477236748,-1.0820317268371582,1223.0,-2.1864304878048784
1895,51712,101,27,1600,-0.02361384147661738,0.003418923464778345,0.0004092704424510632,0.015729472,0.9776230454444885,0.2,0.21484375,-43.262895345687866,-0.03339561074972153,-0.16387557983398438,1223.0,-2.1870299761904763
1895,52224,102,27,1616,-0.02193888879264705,0.1487477475311607,0.0004092704424510632,0.01908697,0.9776867032051086,0.2,0.167236328125,-43.226141571998596,0.004046328365802765,0.12541943788528442,1223.0,-2.1870299761904763
1896,52736,103,27,1632,-0.024426670104730874,0.020185463945381343,0.0004092704424510632,0.019881587,0.9770843386650085,0.2,0.252685546875,-43.22718274593353,-0.026200927793979645,-2.8836991786956787,1223.0,-2.184328023255814
1896,53248,104,28,1648,-0.02608996393973939,0.16957382671535015,0.0004092704424510632,0.02262441,0.9776419401168823,0.2,0.25439453125,-43.217971324920654,0.02099527418613434,0.1148531436920166,1223.0,-2.184328023255814
1896,53760,105,28,1664,-0.029651322387508117,0.03176949673797935,0.0004092704424510632,0.019423943,0.9792839288711548,0.2,0.2542724609375,-43.25161111354828,-0.03407011181116104,0.28969043493270874,1223.0,-2.184328023255814
1896,54272,106,28,1680,-0.02794226941477973,0.021732463676016778,0.0004092704424510632,0.022958348,0.9808779954910278,0.2,0.2437744140625,-43.30125379562378,-0.042540743947029114,-0.6696964502334595,1223.0,-2.1814585
1896,54784,107,28,1696,-0.023486631296691485,0.09322414919734001,0.0004092704424510632,0.027086642,0.9813857674598694,0.2,0.185791015625,-43.34091675281525,-0.015160564333200455,0.2936475872993469,1223.0,-2.1814585
1897,55296,108,29,1712,-0.02081827717483975,0.03595507511636242,0.0004092704424510632,0.016116383,0.9816152453422546,0.2,0.1749267578125,-43.347867250442505,-0.022208722308278084,-4.174797058105469,1223.0,-2.1809567555555556
1897,55808,109,29,1728,-0.01930339663522318,0.1523521349299699,0.0004092704424510632,0.015834358,0.9814561009407043,0.2,0.201904296875,-43.35096621513367,0.017968986183404922,0.11531579494476318,1223.0,-2.1809567555555556
1896,56320,110,29,1744,-0.028827942995121703,0.010495994574739598,0.0004092704424510632,0.022194764,0.9820244908332825,0.2,0.2535400390625,-43.34914016723633,-0.037227779626846313,-0.6740264892578125,1223.0,-2.1792963478260874
1894,56832,111,29,1760,-0.01881054852856323,0.1485839115921408,0.0004092704424510632,0.017074533,0.9823976755142212,0.2,0.1416015625,-43.36922991275787,0.03806439787149429,0.3126739263534546,1223.0,-2.1792963478260874
1893,57344,112,30,1776,-0.01838264483376406,0.007474971076590009,0.0004092704424510632,0.012333419,0.9823647141456604,0.2,0.16943359375,-43.37363839149475,-0.03236649930477142,-1.3198647499084473,1223.0,-2.1792963478260874
1893,57856,113,30,1792,-0.02442288516613189,0.0031501046614721417,0.0004092704424510632,0.01552386,0.9811615347862244,0.2,0.22021484375,-43.35684359073639,-0.028371628373861313,-0.35959672927856445,1223.0,-2.1783399361702127
1892,58368,114,30,1808,-0.01734883066092152,0.16762305900920182,0.0004092704424510632,0.013961336,0.9808571934700012,0.2,0.1514892578125,-43.32523238658905,0.005250923335552216,0.10235506296157837,1223.0,-2.1783399361702127
1891,58880,115,31,1824,-0.022656224289676175,0.018066460586851463,0.0004092704424510632,0.019677151,0.9798623323440552,0.2,0.225341796875,-43.307804226875305,-0.022515712305903435,-3.459967613220215,1223.0,-2.1788975833333333
1889,59392,116,31,1840,-0.014841020398307592,0.18928069609683007,0.0004092704424510632,0.016193718,0.9794261455535889,0.2,0.114013671875,-43.28337836265564,0.011749690398573875,0.09807777404785156,1223.0,-2.1788975833333333
1888,59904,117,31,1856,-0.024324500554939732,0.013141939707566053,0.0004092704424510632,0.014163574,0.9789953827857971,0.2,0.2210693359375,-43.26968789100647,-0.025887226685881615,-0.6694505214691162,1223.0,-2.1788975833333333
1884,60416,118,32,1872,-0.03198694111779332,0.02333964657736942,0.0004092704424510632,0.03061448,0.9787694811820984,0.2,0.2728271484375,-43.25519347190857,-0.015968378633260727,0.5255916714668274,1223.0,-2.1761560408163265
1881,60928,119,32,1888,-0.023344223693129607,0.08727108431048691,0.0004092704424510632,0.025396131,0.9778449535369873,0.2,0.2421875,-43.242427706718445,-0.005655178800225258,0.4256253242492676,1223.0,-2.1761560408163265
1878,61440,120,32,1904,-0.018088303855620325,0.03946562192868441,0.0004092704424510632,0.016987529,0.9789890646934509,0.2,0.168701171875,-43.23540115356445,-0.018874850124120712,-3.114320755004883,1223.0,-2.1766025
1875,61952,121,33,1920,-0.023385350359603763,0.219845311017707,0.0004092704424510632,0.026362674,0.9788416028022766,0.2,0.1768798828125,-43.26418495178223,0.005500536412000656,0.1682690978050232,1223.0,-2.1766025
1872,62464,122,33,1936,-0.021879575680941343,0.0374496276199352,0.0004092704424510632,0.020998348,0.9795779585838318,0.2,0.20849609375,-43.26161706447601,-0.03405647724866867,-1.9087681770324707,1223.0,-2.178851529411765
1869,62976,123,33,1952,-0.01581930798420217,0.15768910013139248,0.0004092704424510632,0.014998946,0.9792512655258179,0.2,0.131591796875,-43.2807891368866,0.04247961938381195,0.2677033543586731,1223.0,-2.178851529411765
1866,63488,124,34,1968,-0.023978680692380294,0.008319949120050296,0.0004092704424510632,0.023425788,0.9781639575958252,0.2,0.2340087890625,-43.25152266025543,-0.016811911016702652,-1.2600407600402832,1223.0,-2.178851529411765
