time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/value_loss,train/entropy_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean
196608,1836,25,90,-0.03154039676883258,0.024736963,0.31982421875,0.0004092704424510632,0.2,0.7935476303100586,-0.028291910886764526,0.026957615424180403,-43.31304121017456,6128,0.9848455190658569,1258.0,-3.02373123
197120,1837,25,91,-0.006986831343965605,0.009986469,0.021484375,0.0004092704424510632,0.2,0.7583584785461426,0.044145964086055756,0.7809289749711752,-43.28692293167114,6144,0.9841837882995605,1258.0,-3.02373123
197632,1838,25,92,-0.024967749224742875,0.016694395,0.270751953125,0.0004092704424510632,0.2,-0.05479228496551514,-0.020584166049957275,0.015240612119669095,-43.2594780921936,6160,0.9837073087692261,1258.0,-3.02014076
198144,1838,25,93,-0.00588869350758614,0.008110531,0.0198974609375,0.0004092704424510632,0.2,0.8737984895706177,0.1580580770969391,1.357595575042069,-43.25416302680969,6176,0.9839449524879456,1258.0,-3.02014076
198656,1839,26,94,-0.02406074432656169,0.016723685,0.26123046875,0.0004092704424510632,0.2,-0.37766194343566895,-0.02552446350455284,0.008430297893937677,-43.25095343589783,6192,0.9834502339363098,1258.0,-3.02014076
199168,1839,26,95,-0.02079034839698579,0.018517774,0.1734619140625,0.0004092704424510632,0.2,0.8459343314170837,-0.005858432501554489,0.0934202300850302,-43.2314236164093,6208,0.982700526714325,1258.0,-3.01923583
199680,1840,26,96,-0.014763608342036605,0.013262251,0.0631103515625,0.0004092704424510632,0.2,0.6881824731826782,0.11417102813720703,1.0881057872902602,-43.21560442447662,6224,0.9823625683784485,1258.0,-3.01923583
200192,1840,26,97,-0.02831878056167625,0.02320528,0.2752685546875,0.0004092704424510632,0.2,0.39972227811813354,0.01985533908009529,0.13370882323943079,-43.21455633640289,6240,0.9825621843338013,1258.0,-3.0153613800000003
200704,1841,27,98,-0.009302791630034335,0.007424524,0.0340576171875,0.0004092704424510632,0.2,0.7769849300384521,0.2467391937971115,1.527199398726225,-43.224876284599304,6256,0.9826806783676147,1258.0,-3.0153613800000003
201216,1841,27,99,-0.02915336686419323,0.021051578,0.2564697265625,0.0004092704424510632,0.2,-0.05790293216705322,-0.034142155200242996,0.028548721747938544,-43.20024526119232,6272,0.9809373021125793,1258.0,-3.0153613800000003
201728,1842,27,100,-0.008268078716355376,0.008018021,0.0543212890625,0.0004092704424510632,0.2,0.909765899181366,0.082933709025383,0.4091523168608546,-43.14599525928497,6288,0.9806362390518188,1258.0,-3.0142072800000004
202240,1842,28,101,-0.013638715769047849,0.0146071315,0.072021484375,0.0004092704424510632,0.2,0.9520038366317749,0.004151016473770142,0.28779486007988453,-43.14682388305664,6304,0.980663001537323,1258.0,-3.0142072800000004
