time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
25,189440,76,1545,-40.887848019599915,0.010151744,0.2,0.9135913252830505,5904,0.46029855543747544,0.05728357285261154,0.0004092704424510632,0.07666015625,-0.01160933597566327,0.8699763417243958,-1.93482962,1258.0
25,189952,77,1546,-40.88456451892853,0.014789064,0.2,0.9131128191947937,5920,0.02105954961734824,-0.016995033249258995,0.0004092704424510632,0.197021484375,-0.020848539992584847,-6.019383430480957,-1.93482962,1258.0
25,190464,78,1546,-40.87426161766052,0.013584888,0.2,0.9128450155258179,5936,0.3993444973602891,0.046362824738025665,0.0004092704424510632,0.0906982421875,-0.013846638728864491,0.8458594083786011,-1.9339898699999998,1258.0
26,190976,79,1547,-40.83274841308594,0.019174872,0.2,0.9103671312332153,5952,0.01269095329917036,-0.03776264935731888,0.0004092704424510632,0.26416015625,-0.02834721904946491,0.9759818315505981,-1.9339898699999998,1258.0
26,191488,80,1547,-40.763782024383545,0.022449125,0.2,0.9088725447654724,5968,0.005840821919264272,-0.037861332297325134,0.0004092704424510632,0.26318359375,-0.0246767645876389,-0.5656388998031616,-1.9323971699999998,1258.0
26,192000,81,1547,-40.735421776771545,0.009814076,0.2,0.9084035754203796,5984,0.42563823726959527,0.06573671102523804,0.0004092704424510632,0.072509765625,-0.008031449964619242,0.8572454452514648,-1.9323971699999998,1258.0
27,192512,82,1547,-40.72592103481293,0.012986651,0.2,0.9081718921661377,6000,0.017638677309150808,-0.02421538159251213,0.0004092704424510632,0.202392578125,-0.022382672541425563,-8.185778617858887,-1.93307961,1258.0
27,193024,83,1547,-40.725825786590576,0.017520221,0.2,0.9084872603416443,6016,0.25343837798573077,0.0017715934664011002,0.0004092704424510632,0.0775146484375,-0.01359068718738854,0.8013070225715637,-1.93307961,1258.0
27,193536,84,1547,-40.74621820449829,0.014607048,0.2,0.9091212153434753,6032,0.002270196328026941,-0.038456302136182785,0.0004092704424510632,0.2193603515625,-0.02270059684815351,-2.2240989208221436,-1.93307961,1258.0
28,194048,85,1547,-40.735270261764526,0.018226013,0.2,0.9078848361968994,6048,0.003978939792432357,-0.04420863837003708,0.0004092704424510632,0.256591796875,-0.026973193962476216,0.02513331174850464,-1.93107806,1258.0
