time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/std,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
42,1573,13,21504,-0.03003789111971855,-0.4075167179107666,0.25146484375,0.2,0.0004092704424510632,-0.025953935968573205,0.9879681468009949,0.026166050316533074,656,-43.55754518508911,0.025467195,-2.700080352941176,1258.0
43,1572,14,22016,0.018159158527851105,0.25627005100250244,0.1729736328125,0.2,0.0004092704424510632,-0.021389965811977163,0.9878203272819519,0.17388190794736147,672,-43.56873393058777,0.021087421,-2.700080352941176,1258.0
44,1572,14,22528,-0.028494585305452347,-5.770932674407959,0.2371826171875,0.2,0.0004092704424510632,-0.02472150199173484,0.9878714680671692,0.006503328368125949,688,-43.557287096977234,0.020573942,-2.700080352941176,1258.0
45,1571,14,23040,-0.0405164510011673,0.027297794818878174,0.2415771484375,0.2,0.0004092704424510632,-0.02416195656405762,0.9866892695426941,0.012064035749062896,704,-43.548405051231384,0.019256724,-2.704582444444444,1258.0
46,1569,15,23552,0.043853290379047394,0.07620435953140259,0.2164306640625,0.2,0.0004092704424510632,-0.02514214674010873,0.9860440492630005,0.23178733722306788,720,-43.507813692092896,0.021780293,-2.704582444444444,1258.0
47,1569,15,24064,-0.028980247676372528,-1.1440925598144531,0.1903076171875,0.2,0.0004092704424510632,-0.018832091089279857,0.9839547276496887,0.010175226838327944,736,-43.47162199020386,0.01286236,-2.70430447368421,1258.0
48,1569,15,24576,0.05874776095151901,0.23009651899337769,0.1719970703125,0.2,0.0004092704424510632,-0.024516428384231403,0.9836117029190063,0.21742859855294228,752,-43.42425072193146,0.023807064,-2.70430447368421,1258.0
49,1570,15,25088,-0.026649868115782738,-6.832458019256592,0.203125,0.2,0.0004092704424510632,-0.019499230416840874,0.9825347661972046,0.0160528527921997,768,-43.41062545776367,0.01648913,-2.70430447368421,1258.0
50,1575,16,25600,-0.031007109209895134,0.08996611833572388,0.2421875,0.2,0.0004092704424510632,-0.02427257056115195,0.9843630790710449,0.012492236157413572,784,-43.40629780292511,0.024134845,-2.6953253999999998,1258.0
51,1580,16,26112,0.0271880105137825,0.058604300022125244,0.214599609375,0.2,0.0004092704424510632,-0.021079643862321973,0.9848701357841492,0.27186529827304184,800,-43.45866250991821,0.02110115,-2.6953253999999998,1258.0
52,1585,16,26624,-0.02333121746778488,-2.2329587936401367,0.2073974609375,0.2,0.0004092704424510632,-0.022631355168414302,0.9851507544517517,0.019733909430215135,816,-43.46218812465668,0.018818462,-2.6976504285714284,1258.0
53,1589,17,27136,0.0186459943652153,0.19516128301620483,0.2293701171875,0.2,0.0004092704424510632,-0.028944340272573754,0.984508752822876,0.20362213999032974,832,-43.458152413368225,0.026225261,-2.6976504285714284,1258.0
54,1593,17,27648,-0.024387270212173462,-8.96374225616455,0.22021484375,0.2,0.0004092704424510632,-0.02362210920546204,0.9843047857284546,0.00555467347294325,848,-43.43752300739288,0.016127916,-2.6976504285714284,1258.0
55,1597,17,28160,-0.026850860565900803,0.08862751722335815,0.2322998046875,0.2,0.0004092704424510632,-0.01901236386038363,0.9846890568733215,0.01227947900770232,864,-43.43723726272583,0.022500949,-2.7032355454545454,1258.0
56,1598,17,28672,0.00014643743634223938,0.21624213457107544,0.216796875,0.2,0.0004092704424510632,-0.024238762445747852,0.9843167662620544,0.17088619444984943,880,-43.4396653175354,0.031206056,-2.7032355454545454,1258.0
57,1601,18,29184,-0.03968467935919762,-3.0984082221984863,0.2548828125,0.2,0.0004092704424510632,-0.02481627896486316,0.9857560396194458,0.029246472578961402,896,-43.44928157329559,0.023891136,-2.6968312173913045,1258.0
58,1604,18,29696,0.06627433001995087,0.18404722213745117,0.123779296875,0.2,0.0004092704424510632,-0.015154984415858053,0.9853957891464233,0.2468374758027494,912,-43.47607433795929,0.013132955,-2.6968312173913045,1258.0
59,1608,18,30208,-0.04604658484458923,-7.054773330688477,0.2650146484375,0.2,0.0004092704424510632,-0.029981477186083794,0.984426736831665,0.011672377033391967,928,-43.44569528102875,0.01831493,-2.6924647500000005,1258.0
60,1611,19,30720,0.02676337957382202,0.06471091508865356,0.228759765625,0.2,0.0004092704424510632,-0.028484566311817616,0.9835703372955322,0.30831440910696983,944,-43.41628301143646,0.021042448,-2.6924647500000005,1258.0
61,1614,19,31232,-0.0318431556224823,-4.795011520385742,0.2750244140625,0.2,0.0004092704424510632,-0.026854460025788285,0.982279896736145,0.004112207316211425,960,-43.38345515727997,0.025325568,-2.6924647500000005,1258.0
62,1618,19,31744,-0.03189622610807419,0.04623246192932129,0.2364501953125,0.2,0.0004092704424510632,-0.0210543063149089,0.9842321872711182,0.007217415724880993,976,-43.37886297702789,0.018195052,-2.6794315600000003,1258.0
63,1619,19,32256,0.027696967124938965,0.101834237575531,0.11474609375,0.2,0.0004092704424510632,-0.020235982723534107,0.9843848943710327,0.3165149556007236,992,-43.430269718170166,0.015636576,-2.6794315600000003,1258.0
64,1621,20,32768,-0.036771710962057114,-3.279829502105713,0.259521484375,0.2,0.0004092704424510632,-0.027741796089685522,0.9837580323219299,0.028377835842547938,1008,-43.41172385215759,0.024203032,-2.6875602692307696,1258.0
65,1622,20,33280,0.04815496504306793,0.1427791714668274,0.08642578125,0.2,0.0004092704424510632,-0.012436326556780841,0.9829120635986328,0.34636906161904335,1024,-43.396037220954895,0.014510172,-2.6875602692307696,1258.0
66,1625,20,33792,-0.025059577077627182,-8.041274070739746,0.236572265625,0.2,0.0004092704424510632,-0.022649526537861675,0.9829244017601013,0.012856369809014723,1040,-43.378772377967834,0.018073231,-2.6875602692307696,1258.0
67,1628,21,34304,-0.04111534357070923,0.023426413536071777,0.2850341796875,0.2,0.0004092704424510632,-0.031396640348248184,0.9827763438224792,0.011169695935677737,1056,-43.37777495384216,0.024625761,-2.691375666666667,1258.0
68,1631,21,34816,0.018105879426002502,0.0857933759689331,0.13623046875,0.2,0.0004092704424510632,-0.02100789408723358,0.98250812292099,0.3867859640158713,1072,-43.367730021476746,0.016394725,-2.691375666666667,1258.0
69,1635,21,35328,-0.042563486844301224,-1.9281854629516602,0.27490234375,0.2,0.0004092704424510632,-0.027593010192504153,0.9832282066345215,0.016269725369056687,1088,-43.36907935142517,0.026098032,-2.691539785714286,1258.0
70,1638,21,35840,0.04218466579914093,0.1679667830467224,0.1424560546875,0.2,0.0004092704424510632,-0.018490485308575444,0.9838403463363647,0.3219599951989949,1104,-43.39666426181793,0.015815321,-2.691539785714286,1258.0
71,1641,22,36352,-0.015615170821547508,-1.4450962543487549,0.2142333984375,0.2,0.0004092704424510632,-0.01919990334135946,0.9848058819770813,0.02797357819508761,1120,-43.41605281829834,0.016802084,-2.691539785714286,1258.0
72,1644,22,36864,-0.040895987302064896,0.06098175048828125,0.27734375,0.2,0.0004092704424510632,-0.025916592101566494,0.9858984351158142,0.009728081218781881,1136,-43.44977355003357,0.02269046,-2.691166482758621,1258.0
73,1647,22,37376,0.04107879847288132,0.17788881063461304,0.1966552734375,0.2,0.0004092704424510632,-0.02178712213935796,0.9859191179275513,0.29443383659236133,1152,-43.46844458580017,0.016628545,-2.691166482758621,1258.0
74,1650,22,37888,-0.022461025044322014,-5.650626182556152,0.234375,0.2,0.0004092704424510632,-0.02377402040292509,0.9859338402748108,0.01780382206197828,1168,-43.45903205871582,0.017535504,-2.690751966666667,1258.0
75,1652,23,38400,0.0442841611802578,0.16223430633544922,0.1334228515625,0.2,0.0004092704424510632,-0.014725574626936577,0.9862135052680969,0.3747634426690638,1184,-43.46409499645233,0.020254582,-2.690751966666667,1258.0
76,1654,23,38912,-0.03222912549972534,-1.9852423667907715,0.2518310546875,0.2,0.0004092704424510632,-0.022445498456363566,0.9859957098960876,0.012975484365597367,1200,-43.4604868888855,0.018687947,-2.690751966666667,1258.0
77,1657,23,39424,-0.03971393406391144,0.05921453237533569,0.3250732421875,0.2,0.0004092704424510632,-0.03386078048788477,0.985103964805603,0.019055882265092805,1216,-43.45246994495392,0.029714402,-2.701716870967742,1258.0
78,1658,24,39936,0.04553736001253128,0.29847031831741333,0.083740234375,0.2,0.0004092704424510632,-0.012324824747338425,0.9847932457923889,0.25976591440849006,1232,-43.43043494224548,0.014301967,-2.701716870967742,1258.0
79,1661,24,40448,-0.014730412513017654,-7.135868072509766,0.214599609375,0.2,0.0004092704424510632,-0.020859465876128525,0.9852939248085022,0.020376161293825135,1248,-43.429945945739746,0.021390878,-2.70117109375,1258.0
80,1663,24,40960,0.05173522233963013,0.09845894575119019,0.1378173828125,0.2,0.0004092704424510632,-0.018176270532421768,0.9844009280204773,0.44051043782383204,1264,-43.43333637714386,0.018898603,-2.70117109375,1258.0
81,1665,24,41472,-0.03854145109653473,-5.689779758453369,0.30322265625,0.2,0.0004092704424510632,-0.02939787055947818,0.9850248098373413,0.008668065798701718,1280,-43.41124963760376,0.029090928,-2.70117109375,1258.0
82,1668,25,41984,-0.020113365724682808,0.1420026421546936,0.1787109375,0.2,0.0004092704424510632,-0.01897503517830046,0.9857478141784668,0.00711000912997406,1296,-43.44272541999817,0.013076852,-2.6979266363636367,1258.0
83,1670,25,42496,0.07368038594722748,0.1771228313446045,0.1431884765625,0.2,0.0004092704424510632,-0.019790366568486206,0.986125648021698,0.31351303728297353,1312,-43.44966387748718,0.022342362,-2.6979266363636367,1258.0
84,1672,25,43008,-0.023023229092359543,-11.626753807067871,0.226806640625,0.2,0.0004092704424510632,-0.023380304919555783,0.986015796661377,0.046661029919050634,1328,-43.45489025115967,0.023061637,-2.701087735294118,1258.0
85,1674,25,43520,0.041050124913454056,0.018027007579803467,0.2545166015625,0.2,0.0004092704424510632,-0.020997939456719905,0.9860870838165283,0.5052624584641308,1344,-43.45086860656738,0.020059628,-2.701087735294118,1258.0
86,1676,26,44032,-0.03513840213418007,-7.316585540771484,0.2066650390625,0.2,0.0004092704424510632,-0.021983120961522218,0.9867640137672424,0.013209224722231738,1360,-43.454521894454956,0.016228698,-2.7030196857142856,1258.0
87,1679,26,44544,0.0722685158252716,0.1032288670539856,0.1617431640625,0.2,0.0004092704424510632,-0.02050064576906152,0.9867771863937378,0.4911674107424915,1376,-43.466352462768555,0.016051847,-2.7030196857142856,1258.0
88,1681,26,45056,-0.03713830187916756,-1.276346206665039,0.2813720703125,0.2,0.0004092704424510632,-0.02903923219855642,0.985897421836853,0.021105552674271166,1392,-43.44880950450897,0.02007747,-2.7030196857142856,1258.0
89,1682,27,45568,-0.03145335987210274,0.0574188232421875,0.274658203125,0.2,0.0004092704424510632,-0.02536735701141879,0.9878863096237183,0.011274765362031758,1408,-43.446460247039795,0.021445341,-2.703886472222222,1258.0
90,1684,27,46080,0.03814815357327461,0.3222392797470093,0.142822265625,0.2,0.0004092704424510632,-0.020777913683559746,0.9888425469398499,0.3251854015979916,1424,-43.513834714889526,0.016456824,-2.703886472222222,1258.0
91,1686,27,46592,-0.04025258123874664,-12.997337341308594,0.2708740234375,0.2,0.0004092704424510632,-0.028467376105254516,0.988942563533783,0.009578841498296242,1440,-43.523433804512024,0.020354029,-2.7055314864864863,1258.0
92,1688,27,47104,0.15666764974594116,0.16942650079727173,0.1177978515625,0.2,0.0004092704424510632,-0.01691897439013701,0.9895733594894409,0.4289959231391549,1456,-43.54031252861023,0.014187472,-2.7055314864864863,1258.0
93,1689,28,47616,-0.031058426946401596,-6.689822196960449,0.2086181640625,0.2,0.0004092704424510632,-0.021180512849241495,0.9898947477340698,0.017140158888651058,1472,-43.55701231956482,0.018332522,-2.7055314864864863,1258.0
94,1692,28,48128,-0.03281451016664505,0.03304314613342285,0.2586669921875,0.2,0.0004092704424510632,-0.027042910922318697,0.988387942314148,0.014448991307290271,1488,-43.542683720588684,0.020181295,-2.7054239736842107,1258.0
95,1693,28,48640,0.02510375715792179,0.21223193407058716,0.1087646484375,0.2,0.0004092704424510632,-0.014941712004656438,0.9874869585037231,0.33183102239854634,1504,-43.49909806251526,0.01400915,-2.7054239736842107,1258.0
96,1695,28,49152,-0.03095417097210884,-6.920132160186768,0.277587890625,0.2,0.0004092704424510632,-0.029882500821258873,0.9857836961746216,0.028494512371253222,1520,-43.4665242433548,0.026768643,-2.7023192051282052,1258.0
97,1696,29,49664,0.08753292262554169,0.13045144081115723,0.126708984375,0.2,0.0004092704424510632,-0.018461105741153006,0.984451949596405,0.45191695680841804,1536,-43.4098436832428,0.014347477,-2.7023192051282052,1258.0
98,1698,29,50176,-0.028738614171743393,-1.7087137699127197,0.2757568359375,0.2,0.0004092704424510632,-0.026048251369502395,0.9851099252700806,0.03014080214779824,1552,-43.39399993419647,0.018758584,-2.7023192051282052,1258.0
99,1700,29,50688,-0.027244267985224724,0.028818368911743164,0.2391357421875,0.2,0.0004092704424510632,-0.023024340596748516,0.9854293465614319,0.013604791049147025,1568,-43.422767877578735,0.01940614,-2.70432,1258.0
