time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/std,train/clip_fraction,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
34,128512,1544,104,-43.53137564659119,-0.1207817792892456,0.2,-0.023114246694603935,4000,0.006256162028876133,0.0004092704424510632,0.016226081,0.9909013509750366,0.2320556640625,-0.02992396056652069,1257.0,-2.9266849
34,129024,1544,105,-43.49493896961212,0.36044400930404663,0.2,-0.007321463490370661,4016,1.147468906827271,0.0004092704424510632,0.0055985507,0.990304172039032,0.010986328125,0.07838527858257294,1257.0,-2.9266849
35,129536,1545,106,-43.48063397407532,-2.9273743629455566,0.2,-0.026734823710285127,4032,0.022577801282750443,0.0004092704424510632,0.026273498,0.9896310567855835,0.2679443359375,-0.02684447169303894,1257.0,-2.9270403100000006
35,130048,1545,107,-43.459948778152466,0.4280362129211426,0.2,-0.010094160272274166,4048,1.4465648694895208,0.0004092704424510632,0.0061688945,0.9892340302467346,0.024169921875,0.2933155596256256,1257.0,-2.9270403100000006
35,130560,1545,108,-43.450106620788574,-0.01651918888092041,0.2,-0.02509547068621032,4064,0.025706501735839993,0.0004092704424510632,0.018810298,0.9887993335723877,0.2386474609375,-0.02802995592355728,1257.0,-2.9270403100000006
36,131072,1546,109,-43.41836082935333,-0.8733994960784912,0.2,-0.03279606603609864,4080,0.00792289040691685,0.0004092704424510632,0.02774927,0.9875391125679016,0.3118896484375,-0.0371357798576355,1257.0,-2.9261647100000006
36,131584,1546,110,-43.39186239242554,0.31126612424850464,0.2,-0.008673740609083325,4096,0.883277771063149,0.0004092704424510632,0.009192879,0.9873366951942444,0.029052734375,0.14991897344589233,1257.0,-2.9261647100000006
36,132096,1546,111,-43.39500975608826,-3.1995997428894043,0.2,-0.026289155590347946,4112,0.029231396969407797,0.0004092704424510632,0.022861496,0.9875984787940979,0.24560546875,-0.028167635202407837,1257.0,-2.9270510499999993
37,132608,1546,112,-43.41008174419403,0.25824081897735596,0.2,-0.004066691952175461,4128,1.2306545344181359,0.0004092704424510632,0.007175464,0.9878948330879211,0.070556640625,0.123318150639534,1257.0,-2.9270510499999993
37,133120,1546,113,-43.40665519237518,-0.26017439365386963,0.2,-0.028594661387614906,4144,0.01951906451722607,0.0004092704424510632,0.019558836,0.9872370362281799,0.2752685546875,-0.03400007635354996,1257.0,-2.9270510499999993
37,133632,1545,114,-43.38567924499512,0.19823318719863892,0.2,-0.027173458831384778,4160,0.009257925019483082,0.0004092704424510632,0.02098922,0.9867807626724243,0.250244140625,-0.02658281847834587,1257.0,-2.9270210699999994
