ticker,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10
IBM,0.007327352778568818,-0.0015054149726251474,0.021990306970917133,-0.02369293763725544,0.024329212808092505,-0.0027281095827403996,0.034456736743890715,0.019265336405463917,-0.011507675629045873,0.016588196157703565
JNJ,0.04360167670334324,0.002912753255039387,-0.00011498526375384767,-0.027463105588486785,0.007233714712501439,-0.008245755752679747,0.010504139010261614,-0.001714229811076667,-0.018009517157302226,-0.019830401784338786
JPM,0.052399962181016925,0.03004995289801661,0.04231094332992871,0.010835711775080737,0.0189448687833688,0.031168576558176255,0.022654621690824554,0.032678281904576646,0.007872459348928813,-0.011124690831938717
KO,0.030057685062709835,0.012445241142586192,0.028543626882649952,-0.006233048455687132,0.05049430440550593,0.019941301223327736,0.0700485953156495,0.0313811879265714,-0.007059497599810102,0.030507730156936603
MCD,0.03056176729413238,-0.0010360704574428393,-0.03421251547864202,0.0061281370713387765,0.012913994933956082,0.010280132385361459,0.0004873943995337902,0.007183578010372092,0.016890981104645535,0.0011798478903108864
MMM,0.11800906240273877,0.06496320528846157,0.05789441370027907,0.043395399984770794,0.06284552295319731,0.022279155056711197,0.025760457962696357,0.04607265098305022,0.027222236370964326,0.03838006722253181
MRK,0.029152494962217727,-0.0076465635550063095,-0.0025738416504391525,0.005152144275411806,0.023828432983797478,0.022320291952743057,0.045109458065743534,0.0164640492452432,0.008420588343695882,0.01893510775601569
MSFT,0.01690770717423378,0.008031079682647936,-0.023084986796774575,-0.013961215872981719,-0.011939120394868623,-0.0033796365718512652,0.05078941548715133,-0.0015684527235218164,-0.015345573212390023,-0.008627640496265628
NKE,0.06649876110566162,0.03747313104263865,-0.019728749755275794,0.0022695217090304876,0.025510655671031068,0.051792339200551506,0.026355854447207592,0.04765647925681686,0.016802187557578428,-0.03865194528984329
NVDA,0.032949804860147355,0.02327781351701186,0.0022314284350622013,0.03590074143925848,0.013511474838506595,0.005184316304941771,0.031039418539705706,-0.007474681508028701,0.002575215168818949,0.01817731351648905
PG,0.0041030349710837865,0.02066545507725635,0.03314128083652125,0.0063607001621642685,0.011465769289040362,0.02323979569113559,0.00923701335973444,-0.01603116235772404,0.01197219362311077,0.0020194152629579285
SHW,0.08383831935991991,0.05014883314924779,0.08088634226824927,0.06962177601779389,0.08265762270777645,0.05671940238010294,0.0610149510040274,0.06817702758966807,0.023993893717456354,0.048441935038498786
TRV,0.044570751200155606,0.04144655615929015,0.046134337839523705,0.017628080231033762,0.04114130658845933,0.022497188133037783,0.014508643350860509,0.006341146945772145,-0.00821972797587989,0.01499700523890703
UNH,0.11906947439167388,0.0187305027046521,0.05685366565735978,0.051626931974852,0.04474478912511254,0.011881426066935364,0.03351853101259715,0.06686842050950258,0.036158831775044434,0.027839319936347695
V,0.015592005737279015,0.02305031702233563,0.025141595095020834,0.0039490266121036035,0.044622349095207375,0.008690357401950679,-0.008164584536193302,0.0406865360263964,-0.012688990043456127,0.01719959455153537
VZ,0.017187199455220986,0.01258547860723047,0.04182150736931212,0.001747352696273426,-0.012707420010523713,0.014772875469576032,0.005811782442162296,0.0038377978908788065,-0.0012695588262288337,-0.0051396847002658725
WMT,0.015098691153990063,0.014476900800508565,-0.016618917885783194,0.026457325200495492,0.04951758081762816,0.008324441750235044,0.00018138293905872025,0.05399884932397175,0.034977548477791345,0.015249432052870587
