time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/std,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
5,2244,12288,24,0.0037644505500793457,0.9994876980781555,-43.968570947647095,0.10093355691060424,0.2,-0.025021317327627912,0.013726312667131424,368,0.0004092704424510632,0.3076171875,0.025511038,-3.053594222222222,1257.0
5,2242,12800,25,-0.07081067562103271,0.9997855424880981,-43.956032037734985,0.006559944449691102,0.2,-0.029338337684748694,-0.051628198474645615,384,0.0004092704424510632,0.281005859375,0.024216902,-3.0559939999999997,1257.0
5,2241,13312,26,0.004794001579284668,0.9997847080230713,-43.965526819229126,0.11294818413443863,0.2,-0.02445919880119618,0.0026140697300434113,400,0.0004092704424510632,0.25537109375,0.020405602,-3.0559939999999997,1257.0
6,2240,13824,27,-0.7560666799545288,0.9991415143013,-43.9492324590683,0.005714816310501192,0.2,-0.029526110272854567,-0.03511135280132294,416,0.0004092704424510632,0.262451171875,0.020132802,-3.0559939999999997,1257.0
6,2238,14336,28,0.010712385177612305,1.000415325164795,-43.9525043964386,0.0021588978088402655,0.2,-0.029633430029207375,-0.02716904878616333,432,0.0004092704424510632,0.255859375,0.016428037,-3.0646225454545455,1257.0
6,2237,14848,29,0.0009519457817077637,1.0000718832015991,-43.973716497421265,0.028805910551454872,0.2,-0.020879570351098664,-0.011951860040426254,448,0.0004092704424510632,0.3209228515625,0.027467087,-3.0646225454545455,1257.0
6,2235,15360,30,0.0035676956176757812,1.000293254852295,-43.961602330207825,0.004446006394573487,0.2,-0.020290814281906933,-0.016444876790046692,464,0.0004092704424510632,0.2025146484375,0.0127815325,-3.0451730833333333,1257.0
7,2234,15872,31,0.0035669803619384766,0.999165952205658,-43.95719528198242,0.18475783010944724,0.2,-0.02571480617916677,0.0300552099943161,480,0.0004092704424510632,0.2738037109375,0.026581073,-3.0451730833333333,1257.0
7,2233,16384,32,-0.4698127508163452,1.0000437498092651,-43.94618618488312,0.0057720491458894685,0.2,-0.016369182030757656,-0.020518818870186806,496,0.0004092704424510632,0.13671875,0.011300692,-3.0462908461538465,1257.0
7,2232,16896,33,0.0022298693656921387,1.0006765127182007,-43.97215414047241,0.1874432482291013,0.2,-0.026574666117085144,0.03101382590830326,512,0.0004092704424510632,0.22998046875,0.015660115,-3.0462908461538465,1257.0
7,2231,17408,34,-1.6687288284301758,0.9991896152496338,-43.96253943443298,0.007431688871292863,0.2,-0.023955832526553422,-0.029053786769509315,528,0.0004092704424510632,0.2158203125,0.01755878,-3.0462908461538465,1257.0
8,2230,17920,35,0.054848551750183105,0.9982263445854187,-43.914642453193665,0.0050066821204381995,0.2,-0.027872366044903174,-0.035921383649110794,544,0.0004092704424510632,0.2532958984375,0.015888479,-3.0510917142857146,1257.0
8,2229,18432,36,0.00596696138381958,0.9986461997032166,-43.90253388881683,0.19996992452070117,0.2,-0.03206018445780501,0.024948082864284515,560,0.0004092704424510632,0.34228515625,0.024483116,-3.0510917142857146,1257.0
