time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/clip_range,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
27,13824,1520,9,0.2,0.0004092704424510632,0.2601318359375,0.015546021,-0.061115384101867676,0.0034761594142764807,1.0053540468215942,416,-0.024045740807196125,-0.028719289228320122,-44.145484924316406,-2.1853027,1258.0
28,14336,1518,9,0.2,0.0004092704424510632,0.1806640625,0.01133558,0.5932115316390991,0.005677344110154081,1.0044664144515991,432,-0.02224563539493829,-0.028092749416828156,-44.11818969249725,-2.1759064545454545,1258.0
29,14848,1516,9,0.2,0.0004092704424510632,0.333251953125,0.048325054,0.4458894729614258,0.022401800990337506,1.0034990310668945,448,-0.025245238954084925,-0.024619705975055695,-44.08752155303955,-2.1759064545454545,1258.0
30,15360,1514,10,0.2,0.0004092704424510632,0.252197265625,0.021317966,-0.5289396047592163,0.009019897755933926,1.004441499710083,464,-0.028450297540985048,-0.032453153282403946,-44.08270299434662,-2.1662970833333333,1258.0
31,15872,1513,10,0.2,0.0004092704424510632,0.1944580078125,0.02076232,0.6597040295600891,0.04762589745223522,1.0046303272247314,480,-0.02356978945317678,-0.01601596549153328,-44.1069632768631,-2.1662970833333333,1258.0
32,16384,1513,10,0.2,0.0004092704424510632,0.1939697265625,0.015153942,0.575886070728302,0.007936171641631518,1.0055547952651978,496,-0.02225180104142055,-0.024307116866111755,-44.11296606063843,-2.1601126923076923,1258.0
33,16896,1513,11,0.2,0.0004092704424510632,0.241455078125,0.0222628,0.783305287361145,0.034232497098855674,1.0077126026153564,512,-0.026999710156815127,-0.011322018690407276,-44.16416418552399,-2.1601126923076923,1258.0
34,17408,1511,11,0.2,0.0004092704424510632,0.2574462890625,0.023836555,-0.6272087097167969,0.004005843125924002,1.0073081254959106,528,-0.03048935005790554,-0.037182774394750595,-44.201539158821106,-2.1601126923076923,1258.0
35,17920,1511,11,0.2,0.0004092704424510632,0.2003173828125,0.014909565,-0.0400843620300293,0.0038272308811428957,1.0065884590148926,544,-0.02060427944525145,-0.020785033702850342,-44.16979646682739,-2.164507857142857,1258.0
36,18432,1510,12,0.2,0.0004092704424510632,0.2049560546875,0.017320476,0.22512775659561157,0.0625729713938199,1.005141258239746,560,-0.020994355931179598,-0.01020011492073536,-44.1401344537735,-2.164507857142857,1258.0
37,18944,1510,12,0.2,0.0004092704424510632,0.2037353515625,0.014606606,0.14651525020599365,0.0032108362938743085,1.0051395893096924,576,-0.022847103013191372,-0.03211044892668724,-44.10567510128021,-2.1574222666666665,1258.0
38,19456,1509,12,0.2,0.0004092704424510632,0.260009765625,0.031406734,0.5701278448104858,0.0609827705193311,1.0068386793136597,592,-0.03156526217208011,-0.014089897274971008,-44.133676409721375,-2.1574222666666665,1258.0
39,19968,1507,13,0.2,0.0004092704424510632,0.206787109375,0.014385796,-1.1024870872497559,0.002736410799116129,1.0067741870880127,608,-0.023250807251315564,-0.032811809331178665,-44.16494929790497,-2.1574222666666665,1258.0
40,20480,1506,13,0.2,0.0004092704424510632,0.22412109375,0.01837813,0.19441038370132446,0.004252013983204961,1.0040364265441895,624,-0.023579383945616428,-0.03862253203988075,-44.12340462207794,-2.1601930625000003,1258.0
41,20992,1506,13,0.2,0.0004092704424510632,0.2083740234375,0.020685028,0.34506332874298096,0.08229668863350525,1.0038379430770874,640,-0.02240410826925654,-0.018842307850718498,-44.06326198577881,-2.1601930625000003,1258.0
42,21504,1506,14,0.2,0.0004092704424510632,0.2467041015625,0.015427571,-0.6264598369598389,0.005403839852078818,1.003415822982788,656,-0.028303653860348277,-0.04265199601650238,-44.06385064125061,-2.1625828235294122,1258.0
43,22016,1506,14,0.2,0.0004092704424510632,0.1712646484375,0.02027475,0.18249666690826416,0.10857023380231112,1.0036221742630005,672,-0.019580074105761014,-0.012423165142536163,-44.05035102367401,-2.1625828235294122,1258.0
44,22528,1504,14,0.2,0.0004092704424510632,0.1761474609375,0.013746255,-1.0282313823699951,0.002939041722129332,1.0020536184310913,688,-0.018317911912163254,-0.021678157150745392,-44.04043674468994,-2.1625828235294122,1258.0
45,23040,1504,15,0.2,0.0004092704424510632,0.2913818359375,0.025913063,0.4006856679916382,0.0057674206618685275,0.9992660880088806,704,-0.030642777142929845,-0.03983335569500923,-43.976356506347656,-2.1644531111111114,1258.0
46,23552,1504,15,0.2,0.0004092704424510632,0.212158203125,0.018362079,0.5882432460784912,0.06520847696810961,0.998325765132904,720,-0.019780848204391077,-0.015397835522890091,-43.905235052108765,-2.1644531111111114,1258.0
47,24064,1504,15,0.2,0.0004092704424510632,0.2625732421875,0.019573951,0.113780677318573,0.012463249440770596,0.998060405254364,736,-0.022437100618844852,-0.022516410797834396,-43.89046859741211,-2.154488421052632,1258.0
48,24576,1503,16,0.2,0.0004092704424510632,0.1988525390625,0.019174468,0.689181387424469,0.07492334372363985,0.9980475306510925,752,-0.01939850812777877,-0.00101412832736969,-43.889180421829224,-2.154488421052632,1258.0
49,25088,1503,16,0.2,0.0004092704424510632,0.2000732421875,0.014374871,-0.9515761137008667,0.003252908652939368,0.9973346590995789,768,-0.02233774433261715,-0.038459427654743195,-43.87924110889435,-2.154488421052632,1258.0
50,25600,1503,17,0.2,0.0004092704424510632,0.1829833984375,0.011139211,0.5954490900039673,0.006766975886421278,0.9962883591651917,784,-0.015133380118641071,-0.02685752883553505,-43.848093032836914,-2.1588319,1258.0
51,26112,1502,17,0.2,0.0004092704424510632,0.1622314453125,0.016239688,0.5962757468223572,0.061227440426591784,0.9970649480819702,800,-0.019683657184941694,-0.021409889683127403,-43.84029793739319,-2.1588319,1258.0
52,26624,1496,17,0.2,0.0004092704424510632,0.212158203125,0.016507858,0.0385516881942749,0.008740546007174999,0.9964065551757812,816,-0.025104308195295744,-0.0378173403441906,-43.85481679439545,-2.1629976190476192,1258.0
53,27136,1496,18,0.2,0.0004092704424510632,0.1851806640625,0.01646138,0.737345814704895,0.09892991441302001,0.9960596561431885,832,-0.019071374015766196,0.02787482552230358,-43.83197259902954,-2.1629976190476192,1258.0
54,27648,1497,18,0.2,0.0004092704424510632,0.27685546875,0.020070985,-0.33091914653778076,0.0039240920305019245,0.9958868622779846,848,-0.03165974213334266,-0.04191141203045845,-43.82878398895264,-2.1629976190476192,1258.0
55,28160,1498,18,0.2,0.0004092704424510632,0.2386474609375,0.021503996,0.679419994354248,0.023421341320499778,0.9964596033096313,864,-0.02492866884858813,-0.01952793076634407,-43.830466985702515,-2.160599772727273,1258.0
56,28672,1498,19,0.2,0.0004092704424510632,0.214599609375,0.028020607,0.7495880126953125,0.03333817076054402,0.9965939521789551,880,-0.02344646277197171,-0.027324076741933823,-43.84560477733612,-2.160599772727273,1258.0
57,29184,1498,19,0.2,0.0004092704424510632,0.269775390625,0.02161162,-0.44971394538879395,0.0101671950542368,0.9958862662315369,896,-0.029107403621310368,-0.04034918546676636,-43.83310651779175,-2.1591288260869566,1258.0
58,29696,1499,19,0.2,0.0004092704424510632,0.1180419921875,0.017390788,0.6647615432739258,0.12085115525405854,0.9958398342132568,912,-0.015563645560177974,0.024274412542581558,-43.81574559211731,-2.1591288260869566,1258.0
59,30208,1498,20,0.2,0.0004092704424510632,0.235595703125,0.015806263,0.2799522280693054,0.007096989735146053,0.9958333373069763,928,-0.026604644663166255,-0.04012828320264816,-43.81593990325928,-2.157613458333333,1258.0
60,30720,1499,20,0.2,0.0004092704424510632,0.1407470703125,0.01982107,0.7925239205360413,0.12192941294051707,0.9956325888633728,944,-0.01764804986305535,0.01499650627374649,-43.816927671432495,-2.157613458333333,1258.0
61,31232,1500,20,0.2,0.0004092704424510632,0.196044921875,0.014570478,-0.9863532781600952,0.006996822587097995,0.9946073889732361,960,-0.023377796809654683,-0.03467987850308418,-43.795366525650024,-2.157613458333333,1258.0
62,31744,1501,21,0.2,0.0004092704424510632,0.237060546875,0.018071871,0.15464115142822266,0.002303645156644052,0.993206799030304,976,-0.022595303715206683,-0.03290057182312012,-43.75253736972809,-2.1602683199999997,1258.0
63,32256,1501,21,0.2,0.0004092704424510632,0.130859375,0.0206873,0.31344032287597656,0.18673837033566087,0.993244469165802,992,-0.021153620749828406,0.0012432746589183807,-43.72835612297058,-2.1602683199999997,1258.0
64,32768,1502,21,0.2,0.0004092704424510632,0.3016357421875,0.019286389,0.36495572328567505,0.004783223499543965,0.9947558641433716,1008,-0.03284738853108138,-0.042316850274801254,-43.751181840896606,-2.167736076923077,1258.0
65,33280,1502,22,0.2,0.0004092704424510632,0.1025390625,0.013338437,0.221454918384552,0.23650589282624424,0.9949613809585571,1024,-0.01522509973437991,0.009544041007757187,-43.7841454744339,-2.167736076923077,1258.0
66,33792,1502,22,0.2,0.0004092704424510632,0.25732421875,0.01842551,-1.5483887195587158,0.001985259626962943,0.9958115816116333,1040,-0.02781884980504401,-0.04479297995567322,-43.788339495658875,-2.167736076923077,1258.0
