time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
10,17408,1732,34,-0.024962114708614536,0.004639703402062878,-0.836414098739624,0.2,-43.55873513221741,-0.048418354243040085,0.9861308932304382,0.0004092704424510632,0.016353134,528,0.2203369140625,1257.0,-2.401232307692308
10,17920,1729,35,-0.023483825192670338,0.0041552327675162815,-0.06578373908996582,0.2,-43.51016676425934,-0.034290872514247894,0.9851488471031189,0.0004092704424510632,0.022389721,544,0.2392578125,1257.0,-2.400982714285714
10,18432,1728,36,-0.023118227676604874,0.08320042525883764,0.028672099113464355,0.2,-43.51873052120209,-0.006755035370588303,0.9868018627166748,0.0004092704424510632,0.026416216,560,0.2359619140625,1257.0,-2.400982714285714
10,18944,1727,37,-0.020928666228428483,0.002884522906242637,-1.6764049530029297,0.2,-43.565659403800964,-0.03085823357105255,0.9874693751335144,0.0004092704424510632,0.01458969,576,0.2109375,1257.0,-2.3769922666666665
11,19456,1725,38,-0.02115066429541912,0.09418200061190873,0.04154855012893677,0.2,-43.57954549789429,0.007594011723995209,0.9884396195411682,0.0004092704424510632,0.017064532,592,0.2181396484375,1257.0,-2.3769922666666665
11,19968,1725,39,-0.02520755304431077,0.005217972335231025,-0.5441367626190186,0.2,-43.615500807762146,-0.037826187908649445,0.9897486567497253,0.0004092704424510632,0.015766222,608,0.235595703125,1257.0,-2.3769922666666665
11,20480,1716,40,-0.021089066431159154,0.004379908619739581,-0.0012807846069335938,0.2,-43.6495658159256,-0.025849616155028343,0.9904599785804749,0.0004092704424510632,0.015793977,624,0.198974609375,1257.0,-2.3791546875000003
12,20992,1715,41,-0.022302577868686058,0.15639800974167883,0.005855679512023926,0.2,-43.63784456253052,0.007965901866555214,0.9887068867683411,0.0004092704424510632,0.01733288,640,0.2232666015625,1257.0,-2.3791546875000003
12,21504,1714,42,-0.026008575485320762,0.0127043789907475,-5.728621006011963,0.2,-43.58915400505066,-0.027822451665997505,0.9880057573318481,0.0004092704424510632,0.018070785,656,0.2034912109375,1257.0,-2.379565705882353
12,22016,1714,43,-0.021932416420895606,0.13473461638204753,0.03019094467163086,0.2,-43.58064138889313,0.008543349802494049,0.9881839752197266,0.0004092704424510632,0.02386127,672,0.233154296875,1257.0,-2.379565705882353
13,22528,1713,44,-0.028062603407306597,0.00546801186283119,-0.721178412437439,0.2,-43.59125995635986,-0.038213372230529785,0.9889363646507263,0.0004092704424510632,0.022250727,688,0.2646484375,1257.0,-2.379565705882353
13,23040,1713,45,-0.02681832533562556,0.003614766596001573,-0.022661566734313965,0.2,-43.59025716781616,-0.038032956421375275,0.9878847002983093,0.0004092704424510632,0.017125545,704,0.2296142578125,1257.0,-2.3701221666666665
13,23552,1713,46,-0.024665845383424312,0.09403831511735916,0.057474374771118164,0.2,-43.56928014755249,0.009885827079415321,0.9883968234062195,0.0004092704424510632,0.025739465,720,0.2598876953125,1257.0,-2.3701221666666665
14,24064,1714,47,-0.024634154004161246,0.0053828163363505155,-4.842850685119629,0.2,-43.57549297809601,-0.02963866852223873,0.9870980978012085,0.0004092704424510632,0.014500862,736,0.2193603515625,1257.0,-2.3691363684210525
14,24576,1715,48,-0.02715125767281279,0.08290404512081295,0.05975234508514404,0.2,-43.546154618263245,-0.013260427862405777,0.9876216053962708,0.0004092704424510632,0.01988902,752,0.27783203125,1257.0,-2.3691363684210525
14,25088,1714,49,-0.025532704079523683,0.006909537973115221,-0.4295201301574707,0.2,-43.580400347709656,-0.02429477497935295,0.9885557293891907,0.0004092704424510632,0.022173323,768,0.241943359375,1257.0,-2.3691363684210525
14,25600,1715,50,-0.028917586023453623,0.004234590058331378,0.0011740922927856445,0.2,-43.60574209690094,-0.025572659447789192,0.9895837903022766,0.0004092704424510632,0.021383816,784,0.2611083984375,1257.0,-2.3643141
15,26112,1716,51,-0.023826064134482294,0.12221769848838449,0.026544570922851562,0.2,-43.642953753471375,-0.0006920099258422852,0.9903892874717712,0.0004092704424510632,0.030171227,800,0.2523193359375,1257.0,-2.3643141
15,26624,1715,52,-0.027927756949793547,0.011943570731091313,-5.644940376281738,0.2,-43.6651052236557,-0.037100616842508316,0.9918889403343201,0.0004092704424510632,0.021754842,816,0.24169921875,1257.0,-2.367676095238095
15,27136,1715,53,-0.022159099913551472,0.10553591814823449,0.05030113458633423,0.2,-43.712024331092834,0.017913753166794777,0.9925559163093567,0.0004092704424510632,0.02651093,832,0.2574462890625,1257.0,-2.367676095238095
16,27648,1716,54,-0.02894390793517232,0.017802748538088053,-0.023524761199951172,0.2,-43.72431170940399,-0.04378918558359146,0.9931885004043579,0.0004092704424510632,0.019156288,848,0.2552490234375,1257.0,-2.367676095238095
16,28160,1717,55,-0.02427579413051717,0.03529387910384685,0.47543662786483765,0.2,-43.757067799568176,-0.016783680766820908,0.9945375323295593,0.0004092704424510632,0.015475382,864,0.2401123046875,1257.0,-2.3767842727272726
16,28672,1717,56,-0.024024375452427194,0.03654674458084628,0.4543522596359253,0.2,-43.79076170921326,-0.0230025015771389,0.9950845837593079,0.0004092704424510632,0.036430698,880,0.2662353515625,1257.0,-2.3767842727272726
17,29184,1716,57,-0.026906722443527542,0.00890657446871046,-0.835715651512146,0.2,-43.80083441734314,-0.03823845833539963,0.9955134987831116,0.0004092704424510632,0.018589977,896,0.2464599609375,1257.0,-2.3684287826086954
17,29696,1717,58,-0.0196592076390516,0.1523161013610661,0.09905439615249634,0.2,-43.80940306186676,0.024522051215171814,0.9951435327529907,0.0004092704424510632,0.016324785,912,0.120849609375,1257.0,-2.3684287826086954
17,30208,1717,59,-0.02219840485486202,0.015082560930750333,-1.9409193992614746,0.2,-43.79662501811981,-0.02096712216734886,0.9950471520423889,0.0004092704424510632,0.016108753,928,0.2000732421875,1257.0,-2.367387666666667
17,30720,1717,60,-0.0202367535821395,0.12273854995146394,0.1833159327507019,0.2,-43.803446531295776,0.007297977805137634,0.9956480264663696,0.0004092704424510632,0.022186466,944,0.16015625,1257.0,-2.367387666666667
18,31232,1717,61,-0.01914102262526285,0.010384799432358705,-1.2752220630645752,0.2,-43.810824394226074,-0.012608653865754604,0.9953929781913757,0.0004092704424510632,0.01420082,960,0.1844482421875,1257.0,-2.367387666666667
18,31744,1718,62,-0.018036346475128084,0.00411797032575123,-0.09439146518707275,0.2,-43.792436718940735,-0.023619063198566437,0.994388222694397,0.0004092704424510632,0.016950697,976,0.1754150390625,1257.0,-2.3716686000000005
18,32256,1719,63,-0.023013507714495063,0.1802778320852667,0.08111977577209473,0.2,-43.76122725009918,0.0036717429757118225,0.9937292337417603,0.0004092704424510632,0.021885505,992,0.204833984375,1257.0,-2.3716686000000005
19,32768,1720,64,-0.02677442380809225,0.012852007275796495,-0.6761566400527954,0.2,-43.739083647727966,-0.046909403055906296,0.992636501789093,0.0004092704424510632,0.02255639,1008,0.2440185546875,1257.0,-2.365987653846154
19,33280,1721,65,-0.02196638990426436,0.19162125326693058,0.039105892181396484,0.2,-43.71732473373413,0.040617432445287704,0.9927220940589905,0.0004092704424510632,0.020805035,1024,0.2274169921875,1257.0,-2.365987653846154
19,33792,1721,66,-0.023676144759519957,0.00730065896641463,-1.6458814144134521,0.2,-43.7296257019043,-0.033463187515735626,0.9932788014411926,0.0004092704424510632,0.014622444,1040,0.2119140625,1257.0,-2.365987653846154
19,34304,1721,67,-0.02570602517516818,0.004344612534623593,-0.04746377468109131,0.2,-43.744330406188965,-0.040283508598804474,0.9940952658653259,0.0004092704424510632,0.01839209,1056,0.23486328125,1257.0,-2.35694962962963
20,34816,1720,68,-0.015820224172784947,0.24941051751375198,0.08862096071243286,0.2,-43.77032494544983,0.0038946494460105896,0.9944952726364136,0.0004092704424510632,0.015334642,1072,0.0980224609375,1257.0,-2.35694962962963
20,35328,1720,69,-0.028938218078110367,0.006294687613262795,-4.619519233703613,0.2,-43.782687187194824,-0.03929094970226288,0.9952518939971924,0.0004092704424510632,0.021703929,1088,0.27197265625,1257.0,-2.3546685000000003
20,35840,1720,70,-0.020920454859151505,0.24145434005185962,0.0759168267250061,0.2,-43.79172670841217,0.03671068325638771,0.9950123429298401,0.0004092704424510632,0.01637267,1104,0.1612548828125,1257.0,-2.3546685000000003
21,36352,1720,71,-0.028210787204443477,0.016618266323348507,-1.3154644966125488,0.2,-43.750988245010376,-0.03279218450188637,0.9923905730247498,0.0004092704424510632,0.022521254,1120,0.2490234375,1257.0,-2.3546685000000003
21,36864,1719,72,-0.0228300206217682,0.004364446322142612,0.019291579723358154,0.2,-43.703981161117554,-0.02975655347108841,0.993051290512085,0.0004092704424510632,0.015746895,1136,0.227294921875,1257.0,-2.3486640689655176
21,37376,1718,73,-0.012844630269682966,0.23135980847291648,0.21769964694976807,0.2,-43.73268973827362,0.021874846890568733,0.9935548901557922,0.0004092704424510632,0.012232296,1152,0.0816650390625,1257.0,-2.3486640689655176
22,37888,1718,74,-0.025872159516438842,0.006849303870694712,-5.842043876647949,0.2,-43.72819542884827,-0.035030677914619446,0.9929638504981995,0.0004092704424510632,0.016002413,1168,0.2364501953125,1257.0,-2.3470391333333334
22,38400,1719,75,-0.024597894720500335,0.26324124936945736,0.08430373668670654,0.2,-43.71182096004486,0.011439897119998932,0.9927932024002075,0.0004092704424510632,0.02398045,1184,0.162841796875,1257.0,-2.3470391333333334
22,38912,1719,76,-0.024038167321123183,0.009955782647011802,-0.9598479270935059,0.2,-43.70874607563019,-0.027902841567993164,0.9927313923835754,0.0004092704424510632,0.01381216,1200,0.198974609375,1257.0,-2.3470391333333334
22,39424,1719,77,-0.02647444104513852,0.003591822780435905,0.03429126739501953,0.2,-43.701377391815186,-0.0532052181661129,0.9920362234115601,0.0004092704424510632,0.01774513,1216,0.227783203125,1257.0,-2.3442933225806453
23,39936,1719,78,-0.018594941531773657,0.2381286562886089,0.0876806378364563,0.2,-43.678744196891785,0.02989669144153595,0.9917102456092834,0.0004092704424510632,0.013920385,1232,0.1304931640625,1257.0,-2.3442933225806453
23,40448,1719,79,-0.023114239986171015,0.01039385206240695,-2.544525623321533,0.2,-43.664294958114624,-0.03286003693938255,0.9906944632530212,0.0004092704424510632,0.014312223,1248,0.1890869140625,1257.0,-2.34166034375
23,40960,1717,80,-0.021778028254630044,0.32246339274570346,0.0760946273803711,0.2,-43.64009916782379,0.03047475591301918,0.9904125332832336,0.0004092704424510632,0.017144896,1264,0.125,1257.0,-2.34166034375
24,41472,1715,81,-0.028801569307688624,0.01419534522574395,-0.4733484983444214,0.2,-43.63427996635437,-0.03436430171132088,0.9901488423347473,0.0004092704424510632,0.017538402,1280,0.2586669921875,1257.0,-2.34166034375
24,41984,1715,82,-0.02252898881852161,0.09091026638634503,0.5817866325378418,0.2,-43.63034701347351,0.009684033691883087,0.9901387691497803,0.0004092704424510632,0.018995827,1296,0.2025146484375,1257.0,-2.3354075151515152
24,42496,1715,83,-0.02105900747119449,0.07560808479320258,0.6822347044944763,0.2,-43.61131536960602,0.004169091582298279,0.9889963269233704,0.0004092704424510632,0.026369015,1312,0.258056640625,1257.0,-2.3354075151515152
25,43008,1714,84,-0.02250415827438701,0.014149435301078483,-2.177938938140869,0.2,-43.60022711753845,-0.03707598149776459,0.9895552396774292,0.0004092704424510632,0.015983626,1328,0.200927734375,1257.0,-2.3354900294117646
25,43520,1715,85,-0.01838676564511843,0.3077953939791769,0.13550156354904175,0.2,-43.61453866958618,0.09895040094852448,0.9895557165145874,0.0004092704424510632,0.013221033,1344,0.08837890625,1257.0,-2.3354900294117646
25,44032,1715,86,-0.021529368503252044,0.024675111460965127,-0.5575118064880371,0.2,-43.60360383987427,-0.021590135991573334,0.9890416264533997,0.0004092704424510632,0.013926665,1360,0.1956787109375,1257.0,-2.3368981714285715
25,44544,1716,87,-0.01786830392666161,0.3675264082849026,0.671012282371521,0.2,-43.58368992805481,0.1272062063217163,0.9886571764945984,0.0004092704424510632,0.014195234,1376,0.088623046875,1257.0,-2.3368981714285715
26,45056,1715,88,-0.029876408123527654,0.009936685906723142,-3.2190499305725098,0.2,-43.5716108083725,-0.04192778468132019,0.988170862197876,0.0004092704424510632,0.027414927,1392,0.292236328125,1257.0,-2.3368981714285715
26,45568,1716,89,-0.024440829569357447,0.004563023874652572,-0.07015371322631836,0.2,-43.54780471324921,-0.03277440369129181,0.9872393608093262,0.0004092704424510632,0.0183286,1408,0.246337890625,1257.0,-2.33412325
26,46080,1716,90,-0.01834588308702223,0.27202845783904195,0.1318047046661377,0.2,-43.534960865974426,0.029971575364470482,0.9870803356170654,0.0004092704424510632,0.014299497,1424,0.119873046875,1257.0,-2.33412325
27,46592,1715,91,-0.025134815194178373,0.008734897637623362,-1.8361144065856934,0.2,-43.52800393104553,-0.03983583301305771,0.9866619110107422,0.0004092704424510632,0.0146175055,1440,0.248779296875,1257.0,-2.3298351621621625
27,47104,1716,92,-0.021094374322274234,0.3415026208385825,0.2229750156402588,0.2,-43.52545201778412,0.0352872759103775,0.9871394634246826,0.0004092704424510632,0.016548466,1456,0.1181640625,1257.0,-2.3298351621621625
27,47616,1716,93,-0.02336797452881001,0.011097761307610199,-0.7129654884338379,0.2,-43.534711956977844,-0.034423358738422394,0.986571729183197,0.0004092704424510632,0.017140388,1472,0.228515625,1257.0,-2.3298351621621625
28,48128,1716,94,-0.028082342207198963,0.004543702511000447,-0.010921239852905273,0.2,-43.494755029678345,-0.04245001822710037,0.9852027297019958,0.0004092704424510632,0.019017782,1488,0.26025390625,1257.0,-2.330743473684211
28,48640,1716,95,-0.015600690127030248,0.3379374695941806,0.12358736991882324,0.2,-43.46339726448059,0.08294301480054855,0.9847327470779419,0.0004092704424510632,0.012961997,1504,0.082763671875,1257.0,-2.330743473684211
28,49152,1716,96,-0.026442843678523786,0.02879236900480464,-2.903451681137085,0.2,-43.469468116760254,-0.03393378108739853,0.9859575629234314,0.0004092704424510632,0.02549216,1520,0.238037109375,1257.0,-2.3246752051282056
28,49664,1716,97,-0.00831493383157067,0.35626836959272623,0.17470896244049072,0.2,-43.4966915845871,0.05204595625400543,0.9858295321464539,0.0004092704424510632,0.0075108195,1536,0.02880859375,1257.0,-2.3246752051282056
