time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1903,72192,141,37,0.030507074727211148,0.9816681742668152,2240,-0.024681149603566155,0.017889686,-43.3262038230896,0.2,0.2264404296875,0.0004092704424510632,-0.023787101730704308,-2.5646181106567383,-2.4619547118644065,1223.0
1902,72704,142,38,0.20095106679946184,0.9814963936805725,2256,-0.014841586962575093,0.013190026,-43.327847361564636,0.2,0.143310546875,0.0004092704424510632,0.0496993213891983,0.2125915288925171,-2.4619547118644065,1223.0
1902,73216,143,38,0.009875644187559374,0.9811897277832031,2272,-0.025504058168735355,0.017667873,-43.32074320316315,0.2,0.24169921875,0.0004092704424510632,-0.02739446423947811,-0.5752078294754028,-2.4619547118644065,1223.0
1902,73728,144,38,0.0035153574135620147,0.980455756187439,2288,-0.02726542708114721,0.018133277,-43.30220985412598,0.2,0.2591552734375,0.0004092704424510632,-0.03504842147231102,-0.7225182056427002,-2.460208883333333,1223.0
1902,74240,145,39,0.22450284636579454,0.9801303744316101,2304,-0.01368416965851793,0.013958851,-43.28081214427948,0.2,0.0931396484375,0.0004092704424510632,0.038080401718616486,0.14443057775497437,-2.460208883333333,1223.0
1902,74752,146,39,0.01223376857524272,0.9785181283950806,2320,-0.027609199620201252,0.017880902,-43.26038360595703,0.2,0.2581787109375,0.0004092704424510632,-0.033866994082927704,-3.181899070739746,-2.4599776229508192,1223.0
1902,75264,147,39,0.24480186658911407,0.9775251746177673,2336,-0.019623988104285672,0.01863577,-43.20936834812164,0.2,0.12109375,0.0004092704424510632,0.03311993554234505,0.14574772119522095,-2.4599776229508192,1223.0
4067,75776,1,0,0.011173420221894048,0.9781014323234558,2352,-0.025688937937957235,0.018867971,-43.200549721717834,0.2,0.2232666015625,0.0004092704424510632,-0.03275073692202568,-2.7623419761657715,-2.4599776229508192,1223.0
2532,76288,2,0,0.004834694125747774,0.9775660037994385,2368,-0.028244219400221482,0.022597795,-43.207032322883606,0.2,0.3154296875,0.0004092704424510632,-0.03266710788011551,0.23687684535980225,-2.4610573225806447,1223.0
2288,76800,3,0,0.18434700393117964,0.976373016834259,2384,-0.01477440755115822,0.01578094,-43.180508852005005,0.2,0.1419677734375,0.0004092704424510632,0.03984314203262329,0.22224551439285278,-2.4610573225806447,1223.0
2172,77312,4,0,0.011947123741265386,0.9765653014183044,2400,-0.026262884231982753,0.020062938,-43.15482306480408,0.2,0.2642822265625,0.0004092704424510632,-0.03670014068484306,-3.6451940536499023,-2.4609326666666664,1223.0
2111,77824,5,1,0.3257743448484689,0.9761360883712769,2416,-0.023331347008934245,0.018803475,-43.16553974151611,0.2,0.1544189453125,0.0004092704424510632,0.013895146548748016,0.0755419135093689,-2.4609326666666664,1223.0
2067,78336,6,1,0.028946879610884935,0.9747694134712219,2432,-0.031145842309342697,0.023609582,-43.136916279792786,0.2,0.245849609375,0.0004092704424510632,-0.03359321132302284,-3.6522693634033203,-2.4621099062500003,1223.0
2034,78848,7,1,0.2976519144140184,0.9743735194206238,2448,-0.01884455246909056,0.013807077,-43.10256314277649,0.2,0.1326904296875,0.0004092704424510632,0.034545570611953735,0.16987287998199463,-2.4621099062500003,1223.0
2011,79360,8,2,0.014409078896278515,0.9736430048942566,2464,-0.023485260491725057,0.020474732,-43.09476339817047,0.2,0.23974609375,0.0004092704424510632,-0.018911052495241165,-0.7060898542404175,-2.4621099062500003,1223.0
1993,79872,9,2,0.007378563372185454,0.9705656170845032,2480,-0.02477889010333456,0.017714962,-43.03802704811096,0.2,0.23046875,0.0004092704424510632,-0.03716789931058884,-0.15988492965698242,-2.4629742461538466,1223.0
1981,80384,10,2,0.2873397513758391,0.9698424339294434,2496,-0.025185448437696323,0.017633442,-42.9648894071579,0.2,0.1361083984375,0.0004092704424510632,0.07765457034111023,0.16174376010894775,-2.4629742461538466,1223.0
1970,80896,11,2,0.03445714322151616,0.9702197313308716,2512,-0.02534087838284904,0.018656097,-42.96325445175171,0.2,0.2315673828125,0.0004092704424510632,-0.03205059468746185,-6.743725299835205,-2.4645376212121217,1223.0
1964,81408,12,3,0.258815759094432,0.9703634977340698,2528,-0.022813563744421117,0.018980552,-42.97518563270569,0.2,0.159423828125,0.0004092704424510632,0.04266320914030075,0.09405231475830078,-2.4645376212121217,1223.0
1960,81920,13,3,0.019059856684179977,0.9714401960372925,2544,-0.023945811073645018,0.01301414,-42.98755860328674,0.2,0.211181640625,0.0004092704424510632,-0.027273930609226227,-4.001197814941406,-2.4645376212121217,1223.0
1957,82432,14,3,0.004343777975009289,0.970037579536438,2560,-0.03099764566286467,0.023371138,-42.99044120311737,0.2,0.309326171875,0.0004092704424510632,-0.027348924428224564,0.4284833073616028,-2.4619183582089557,1223.0
1953,82944,15,3,0.11391954228747636,0.9692985415458679,2576,-0.020772895353729837,0.030993346,-42.94340264797211,0.2,0.20751953125,0.0004092704424510632,0.002619905397295952,0.28903353214263916,-2.4619183582089557,1223.0
1948,83456,16,4,0.006644713765126653,0.9692174196243286,2592,-0.029113616765243933,0.025002046,-42.9330837726593,0.2,0.2841796875,0.0004092704424510632,-0.033972106873989105,-4.867175579071045,-2.4613168235294123,1223.0
1942,83968,17,4,0.3580499591771513,0.9690747857093811,2608,-0.01633084428613074,0.01597083,-42.924726724624634,0.2,0.1385498046875,0.0004092704424510632,0.059799570590257645,0.09803175926208496,-2.4613168235294123,1223.0
1936,84480,18,4,0.007706583215622231,0.9675946831703186,2624,-0.027375957841286436,0.020001313,-42.90707862377167,0.2,0.232177734375,0.0004092704424510632,-0.0415351502597332,-4.754584789276123,-2.461243869565218,1223.0
1929,84992,19,5,0.30486350739374757,0.9672162532806396,2640,-0.022561063582543284,0.019836256,-42.86476016044617,0.2,0.1717529296875,0.0004092704424510632,0.07327969372272491,0.11175191402435303,-2.461243869565218,1223.0
1925,85504,20,5,0.03825352468993515,0.966861367225647,2656,-0.02540305488219019,0.018982392,-42.860737562179565,0.2,0.2308349609375,0.0004092704424510632,-0.02149868942797184,-1.1459522247314453,-2.461243869565218,1223.0
1920,86016,21,5,0.004935115190164652,0.9634917974472046,2672,-0.02808874228503555,0.016589224,-42.80471098423004,0.2,0.28564453125,0.0004092704424510632,-0.03491735830903053,-0.0001226663589477539,-2.4617277142857152,1223.0
