time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
216064,51,1272,128,-39.890028953552246,7.748603820800781e-07,0.244384765625,0.17593599762767553,6736,0.0004092704424510632,0.2,0.020080904,0.04308062791824341,0.8852656483650208,-0.02284767443779856,-2.04864591,1223.0
216576,51,1272,129,-39.90676748752594,-1.8596649169921875e-05,0.2916259765625,0.001122053270592005,6752,0.0004092704424510632,0.2,0.022432247,-0.035071760416030884,0.8860393166542053,-0.03011098416754976,-2.04497529,1223.0
217088,52,1272,130,-39.919647097587585,7.748603820800781e-07,0.273681640625,0.16187260719016194,6768,0.0004092704424510632,0.2,0.020665377,0.04050495848059654,0.8856282234191895,-0.028719885303871706,-2.04497529,1223.0
217600,52,1271,131,-39.89617371559143,1.5616416931152344e-05,0.262451171875,0.0022809123547631316,6784,0.0004092704424510632,0.2,0.017803606,-0.03723473846912384,0.8853413462638855,-0.030230603966629133,-2.04497529,1223.0
218112,53,1271,132,-39.88085687160492,5.841255187988281e-06,0.2210693359375,0.0023274201739695854,6800,0.0004092704424510632,0.2,0.016555289,-0.040541138499975204,0.8850828409194946,-0.022242087143240497,-2.04285893,1223.0
218624,53,1271,133,-39.859044671058655,2.0265579223632812e-06,0.2742919921875,0.17000794457271695,6816,0.0004092704424510632,0.2,0.017111719,0.0445852056145668,0.8847253918647766,-0.03030440886504948,-2.04285893,1223.0
219136,53,1271,134,-39.857200622558594,0.00011050701141357422,0.244384765625,0.0012165116822870914,6832,0.0004092704424510632,0.2,0.020346202,-0.022230736911296844,0.8850149512290955,-0.021887652488658205,-2.03855905,1223.0
219648,54,1271,135,-39.857964754104614,2.6226043701171875e-06,0.2501220703125,0.16040440974757075,6848,0.0004092704424510632,0.2,0.020603746,0.04026375710964203,0.8844086527824402,-0.027418240453698672,-2.03855905,1223.0
220160,54,1271,136,-39.844428062438965,-2.0384788513183594e-05,0.232666015625,0.0008121118571580155,6864,0.0004092704424510632,0.2,0.016638545,-0.04410405829548836,0.8845884799957275,-0.02566224310430698,-2.03514232,1223.0
220672,55,1271,137,-39.84657061100006,2.980232238769531e-07,0.2061767578125,0.14804134843870997,6880,0.0004092704424510632,0.2,0.015284257,0.06453306972980499,0.8843597769737244,-0.021045353409135714,-2.03514232,1223.0
