time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/std,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/approx_kl,rollout/ep_len_mean,rollout/ep_rew_mean
1884,197632,92,24,0.004150390625,0.23814228177070618,0.0004092704424510632,0.0007906010723672807,3.219019690528512,0.9754964113235474,6160,0.2,-42.99579834938049,0.08442217111587524,0.0029480534,1223.0,-2.25561108
1882,198144,93,25,0.2462158203125,-0.02934306114912033,0.0004092704424510632,-0.026526384317548946,0.0045706210876232944,0.9757272601127625,6176,0.2,-42.99534571170807,0.04514765739440918,0.015200326,1223.0,-2.25568108
1880,198656,94,25,0.0069580078125,0.09469105303287506,0.0004092704424510632,-0.003912142165063415,1.7849327754229307,0.9760072827339172,6192,0.2,-43.00890386104584,0.14250725507736206,0.004661057,1223.0,-2.25568108
1879,199168,95,25,0.2647705078125,-0.020992552861571312,0.0004092704424510632,-0.02690874849940883,0.0033323344396194443,0.9754759669303894,6208,0.2,-43.009113073349,-0.5921810865402222,0.019784834,1223.0,-2.25568108
1877,199680,96,26,0.21533203125,-0.01839754357933998,0.0004092704424510632,-0.022230270005820785,0.004373751136881765,0.9756049513816833,6224,0.2,-43.01411235332489,0.16766828298568726,0.019544715,1223.0,-2.2565992699999997
1875,200192,97,26,0.031494140625,0.13444063067436218,0.0004092704424510632,-0.0058410622586961836,0.9463204136118293,0.9755978584289551,6240,0.2,-43.018946290016174,0.5694222450256348,0.008290663,1223.0,-2.2565992699999997
1873,200704,98,26,0.2332763671875,-0.03949503228068352,0.0004092704424510632,-0.026990190206561238,0.011117778936750256,0.9772363305091858,6256,0.2,-43.04123651981354,-6.263331890106201,0.018053774,1223.0,-2.2567462699999994
1871,201216,99,27,0.0247802734375,0.14961601793766022,0.0004092704424510632,-0.003610911182477139,1.5565378116443753,0.977599024772644,6272,0.2,-43.084301829338074,0.34781748056411743,0.005315544,1223.0,-2.2567462699999994
1869,201728,100,27,0.30322265625,-0.04663041606545448,0.0004092704424510632,-0.032574498938629404,0.007383965377812274,0.9759102463722229,6288,0.2,-43.067960023880005,-0.3612508773803711,0.022181835,1223.0,-2.2567462699999994
1867,202240,101,27,0.22412109375,-0.02260565385222435,0.0004092704424510632,-0.023597418679855764,0.01068080315599218,0.9753150343894958,6304,0.2,-43.01733469963074,0.5732600688934326,0.01710779,1223.0,-2.2564098099999996
