time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
61,31232,17,1793,0.003934823904273799,-0.02742613277223427,-0.036311741918325424,0.0004092704424510632,-43.23445212841034,0.2227783203125,0.017917804,-2.9403865337371826,0.2,960,0.9772807359695435,-2.725816125,1258.0
62,31744,17,1793,0.002816579184582224,-0.02510476385941729,-0.033445484936237335,0.0004092704424510632,-43.205915451049805,0.257080078125,0.017012607,0.3802245259284973,0.2,976,0.9765359163284302,-2.72798496,1258.0
63,32256,17,1794,0.07630485901609063,-0.022169889329234138,-0.006280910223722458,0.0004092704424510632,-43.17059874534607,0.2186279296875,0.01757205,0.11878818273544312,0.2,992,0.9750120043754578,-2.72798496,1258.0
64,32768,18,1795,0.01605241041397676,-0.024933325563324615,-0.032018162310123444,0.0004092704424510632,-43.107730865478516,0.231201171875,0.020937975,-0.009563922882080078,0.2,1008,0.972917914390564,-2.728116269230769,1258.0
65,33280,18,1795,0.08524696773383766,-0.02115922496886924,0.01583268865942955,0.0004092704424510632,-43.06852185726166,0.2613525390625,0.019541234,0.4563317894935608,0.2,1024,0.9730448722839355,-2.728116269230769,1258.0
66,33792,18,1796,0.020147744042333215,-0.021289192940457724,-0.027259405702352524,0.0004092704424510632,-43.083457350730896,0.2305908203125,0.015400713,0.40303897857666016,0.2,1040,0.9737096428871155,-2.728116269230769,1258.0
67,34304,19,1797,0.005731356679461896,-0.022614077832258772,-0.02444375306367874,0.0004092704424510632,-43.104464530944824,0.21484375,0.016153585,-0.13936495780944824,0.2,1056,0.9745299220085144,-2.723862,1258.0
68,34816,19,1798,0.10593148437328637,-0.028331605702987872,-0.003310360014438629,0.0004092704424510632,-43.12395906448364,0.240478515625,0.027601682,0.3268522024154663,0.2,1072,0.9748347997665405,-2.723862,1258.0
69,35328,19,1798,0.019163965655025095,-0.024972511382657103,-0.02589200623333454,0.0004092704424510632,-43.1439665555954,0.25439453125,0.02348787,-0.29510200023651123,0.2,1088,0.9760450720787048,-2.7228302500000003,1258.0
70,35840,19,1799,0.10327341337688267,-0.023816663815523498,0.005615320056676865,0.0004092704424510632,-43.18049669265747,0.1934814453125,0.022442829,0.4045715928077698,0.2,1104,0.977135956287384,-2.7228302500000003,1258.0
71,36352,20,1799,0.02680278045590967,-0.02895267854910344,-0.022240979596972466,0.0004092704424510632,-43.20806396007538,0.269287109375,0.032902166,0.21879851818084717,0.2,1120,0.977773904800415,-2.7228302500000003,1258.0
72,36864,20,1800,0.004383038147352636,-0.01736426941351965,-0.0320657417178154,0.0004092704424510632,-43.212935090065,0.1573486328125,0.011247136,-0.15484130382537842,0.2,1136,0.9771817326545715,-2.727239034482759,1258.0
73,37376,20,1801,0.12550158414524049,-0.014824360812781379,0.043050624430179596,0.0004092704424510632,-43.18728590011597,0.1119384765625,0.015399855,0.2561972737312317,0.2,1152,0.9765359163284302,-2.727239034482759,1258.0
74,37888,21,1801,0.0555112122092396,-0.021204249875154346,-0.015947705134749413,0.0004092704424510632,-43.16015803813934,0.16064453125,0.014580663,-0.8452578783035278,0.2,1168,0.975292444229126,-2.7306651000000004,1258.0
75,38400,21,1801,0.09513037768192589,-0.017843451380031183,0.012163989245891571,0.0004092704424510632,-43.11884784698486,0.12890625,0.014859686,0.5934736728668213,0.2,1184,0.9743965864181519,-2.7306651000000004,1258.0
76,38912,21,1800,0.02884490101132542,-0.023133327631512657,-0.029284443706274033,0.0004092704424510632,-43.10261106491089,0.229736328125,0.019536218,0.2733358144760132,0.2,1200,0.9742336869239807,-2.7306651000000004,1258.0
77,39424,21,1799,0.009128310193773359,-0.02386676354217343,-0.030156712979078293,0.0004092704424510632,-43.10912203788757,0.2025146484375,0.016871467,-0.5178743600845337,0.2,1216,0.9747188687324524,-2.7277351290322582,1258.0
78,39936,22,1797,0.09580630203709006,-0.01640113205939997,-0.0066853296011686325,0.0004092704424510632,-43.12181758880615,0.130615234375,0.013423327,0.21361416578292847,0.2,1232,0.9746881127357483,-2.7277351290322582,1258.0
79,40448,22,1796,0.03490500076441094,-0.02002555737271905,-0.01973789557814598,0.0004092704424510632,-43.105690479278564,0.1754150390625,0.015636167,-0.8409463167190552,0.2,1248,0.9738596677780151,-2.72660034375,1258.0
80,40960,22,1797,0.07099189574364573,-0.02571846530190669,-0.0037391297519207,0.0004092704424510632,-43.089282512664795,0.227294921875,0.021688664,0.5799571871757507,0.2,1264,0.9739640951156616,-2.72660034375,1258.0
81,41472,23,1797,0.035227369400672615,-0.02583149196289014,-0.015519440174102783,0.0004092704424510632,-43.091460824012756,0.2357177734375,0.020431612,0.5056944489479065,0.2,1280,0.97391277551651,-2.72660034375,1258.0
82,41984,23,1797,0.02558816724922508,-0.023231050072354265,-0.01345923263579607,0.0004092704424510632,-43.10162019729614,0.232666015625,0.01850374,0.3366859555244446,0.2,1296,0.9747747182846069,-2.7241592424242427,1258.0
83,42496,23,1796,0.041563318169210106,-0.024348978404304944,-0.02360364980995655,0.0004092704424510632,-43.116079926490784,0.206787109375,0.01620076,0.7599678039550781,0.2,1312,0.9746531248092651,-2.7241592424242427,1258.0
84,43008,23,1796,0.026842167077120394,-0.02319328075100202,-0.024081092327833176,0.0004092704424510632,-43.124637484550476,0.2137451171875,0.015886758,-1.1283745765686035,0.2,1328,0.9760099649429321,-2.7221390000000003,1258.0
85,43520,24,1797,0.06449270527809858,-0.02385288561345078,-0.0006181858479976654,0.0004092704424510632,-43.17577874660492,0.2110595703125,0.020732962,0.5909453630447388,0.2,1344,0.9766656756401062,-2.7221390000000003,1258.0
