time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/std,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/explained_variance,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
28,86,44032,1531,0.99866783618927,0.0004092704424510632,0.021358576,-0.029078293620841578,0.2783203125,-43.90952384471893,0.004243639705237001,0.2,1360,-6.042665481567383,-0.0465419627726078,1258.0,-2.6921846857142855
29,87,44544,1530,0.998492956161499,0.0004092704424510632,0.016869174,-0.015350656525697559,0.0841064453125,-43.88098633289337,0.23319936520420015,0.2,1376,0.6476972699165344,0.0065969787538051605,1258.0,-2.6921846857142855
29,88,45056,1530,0.9987106919288635,0.0004092704424510632,0.02053263,-0.026743291644379497,0.2896728515625,-43.88488733768463,0.003690563920827117,0.2,1392,-0.37045419216156006,-0.04154997318983078,1258.0,-2.6921846857142855
29,89,45568,1529,0.9993441104888916,0.0004092704424510632,0.02044316,-0.03256978174613323,0.29638671875,-43.89149558544159,0.010324620874598622,0.2,1408,0.05431026220321655,-0.03792823851108551,1258.0,-2.6927251666666665
30,90,46080,1529,1.0000876188278198,0.0004092704424510632,0.020924715,-0.009625186954508536,0.08935546875,-43.91536796092987,0.18617028836160898,0.2,1424,0.7350972890853882,0.01922263205051422,1258.0,-2.6927251666666665
30,91,46592,1528,1.0004509687423706,0.0004092704424510632,0.017110035,-0.025424198218388483,0.2340087890625,-43.93031132221222,0.003871906166750705,0.2,1440,-3.8797574043273926,-0.043366268277168274,1258.0,-2.6956808918918918
30,92,47104,1528,1.0007623434066772,0.0004092704424510632,0.011039007,-0.012890068457636517,0.0885009765625,-43.94041860103607,0.2355177504941821,0.2,1456,0.5957156419754028,0.012251349166035652,1258.0,-2.6956808918918918
31,93,47616,1527,1.002375602722168,0.0004092704424510632,0.021146256,-0.03066426575242076,0.2972412109375,-43.965516209602356,0.0037378029628598597,0.2,1472,-0.8836351633071899,-0.0359242707490921,1258.0,-2.6956808918918918
31,94,48128,1528,1.0041149854660034,0.0004092704424510632,0.022564186,-0.0296583354647737,0.294677734375,-44.01735854148865,0.015583426604280248,0.2,1488,0.05555260181427002,-0.03571857139468193,1258.0,-2.6927652105263156
31,95,48640,1528,1.0044643878936768,0.0004092704424510632,0.013324759,-0.010668519709724933,0.073974609375,-44.05504846572876,0.22180906578432769,0.2,1504,0.7171655893325806,0.008735716342926025,1258.0,-2.6927652105263156
32,96,49152,1529,1.0057684183120728,0.0004092704424510632,0.015435419,-0.020946081989677623,0.1788330078125,-44.07003164291382,0.019991914130514488,0.2,1520,-0.15471863746643066,-0.036190614104270935,1258.0,-2.6900628717948716
32,97,49664,1528,1.0061172246932983,0.0004092704424510632,0.012205783,-0.01238439796725288,0.0616455078125,-44.10173535346985,0.2896367656067014,0.2,1536,0.7916212677955627,0.13683640956878662,1258.0,-2.6900628717948716
32,98,50176,1529,1.0080158710479736,0.0004092704424510632,0.015932702,-0.023627826274605468,0.210693359375,-44.12337779998779,0.0025365221590618603,0.2,1552,-1.0904405117034912,-0.038299426436424255,1258.0,-2.6900628717948716
33,99,50688,1530,1.0089868307113647,0.0004092704424510632,0.01816551,-0.01854987020487897,0.217041015625,-44.17345333099365,0.014569259306881577,0.2,1568,0.13961291313171387,-0.01662948541343212,1258.0,-2.6908887249999998
33,100,51200,1531,1.0086616277694702,0.0004092704424510632,0.018868163,-0.018795900337863714,0.1195068359375,-44.17830765247345,0.26835047360509634,0.2,1584,0.7738423943519592,0.09908686578273773,1258.0,-2.6908887249999998
33,101,51712,1530,1.009999394416809,0.0004092704424510632,0.019918036,-0.025788137136260048,0.25146484375,-44.18299913406372,0.011973233384196647,0.2,1600,-0.10813844203948975,-0.02499554306268692,1258.0,-2.6932539512195124
34,102,52224,1529,1.0108040571212769,0.0004092704424510632,0.014424231,-0.013571627729106694,0.103271484375,-44.21639096736908,0.21154845412820578,0.2,1616,0.7202681303024292,0.0179390087723732,1258.0,-2.6932539512195124
34,103,52736,1527,1.0109466314315796,0.0004092704424510632,0.015041858,-0.025617530976887792,0.2119140625,-44.2295104265213,0.005946489123743959,0.2,1632,-1.8500654697418213,-0.028514346107840538,1258.0,-2.6932539512195124
34,104,53248,1526,1.0108797550201416,0.0004092704424510632,0.020347456,-0.02601879241410643,0.263671875,-44.223119139671326,0.014411551383091137,0.2,1648,0.36487990617752075,-0.02097233012318611,1258.0,-2.6967399761904765
35,105,53760,1527,1.011093020439148,0.0004092704424510632,0.0130520575,-0.012121725885663182,0.0736083984375,-44.220542311668396,0.17776974115986377,0.2,1664,0.7661529779434204,0.010597720742225647,1258.0,-2.6967399761904765
35,106,54272,1526,1.0122461318969727,0.0004092704424510632,0.01878478,-0.02652274248248432,0.2520751953125,-44.23666954040527,0.013431844185106456,0.2,1680,-0.088020920753479,-0.02325904369354248,1258.0,-2.6949480697674417
35,107,54784,1526,1.0125312805175781,0.0004092704424510632,0.011301106,-0.013231013108452316,0.05712890625,-44.27031683921814,0.31998823722824454,0.2,1696,0.7934601306915283,0.03241945058107376,1258.0,-2.6949480697674417
36,108,55296,1526,1.0100812911987305,0.0004092704424510632,0.021965962,-0.0284709015104454,0.27197265625,-44.240283608436584,0.004610455875081243,0.2,1712,-5.435381889343262,-0.04057519510388374,1258.0,-2.6949480697674417
36,109,55808,1525,1.009328007698059,0.0004092704424510632,0.016605357,-0.020655295345932245,0.21826171875,-44.18204081058502,0.024021390243433416,0.2,1728,0.5593738555908203,-0.015768200159072876,1258.0,-2.6952595
36,110,56320,1525,1.0089175701141357,0.0004092704424510632,0.02070452,-0.019029377988772467,0.1649169921875,-44.17635655403137,0.21760805137455463,0.2,1744,0.6001104712486267,-0.015748459845781326,1258.0,-2.6952595
37,111,56832,1525,1.0089807510375977,0.0004092704424510632,0.025001388,-0.028282539118663408,0.283203125,-44.16474092006683,0.03510952019132674,0.2,1760,0.16695576906204224,-0.029949070885777473,1258.0,-2.695846733333333
37,112,57344,1524,1.0089155435562134,0.0004092704424510632,0.009531061,-0.009666642508818768,0.040283203125,-44.165029883384705,0.3843218954280019,0.2,1776,0.861506462097168,0.11416022479534149,1258.0,-2.695846733333333
37,113,57856,1525,1.0074853897094727,0.0004092704424510632,0.01409211,-0.02020760741288541,0.20263671875,-44.14902377128601,0.00995126855559647,0.2,1792,-4.790794372558594,-0.037677742540836334,1258.0,-2.695846733333333
38,114,58368,1525,1.0068811178207397,0.0004092704424510632,0.015179224,-0.014588146936148405,0.118896484375,-44.10242545604706,0.0896347927628085,0.2,1808,0.7096368074417114,0.008314445614814758,1258.0,-2.6982675
38,115,58880,1525,1.0061453580856323,0.0004092704424510632,0.026892344,-0.0239723722479539,0.2877197265625,-44.081551909446716,0.06684558585402556,0.2,1824,0.7583103179931641,-0.028582768514752388,1258.0,-2.6982675
38,116,59392,1526,1.0075005292892456,0.0004092704424510632,0.01739376,-0.02665482254815288,0.26025390625,-44.09227502346039,0.014647371892351657,0.2,1840,-0.12118828296661377,-0.028125954791903496,1258.0,-2.699849595744681
39,117,59904,1526,1.0075278282165527,0.0004092704424510632,0.014937716,-0.015240408793033566,0.0843505859375,-44.12371551990509,0.26075375615619123,0.2,1856,0.768311619758606,0.0038917511701583862,1258.0,-2.699849595744681
39,118,60416,1526,1.0081754922866821,0.0004092704424510632,0.024917016,-0.026036214709165506,0.27294921875,-44.122626304626465,0.007707261211180594,0.2,1872,-4.869314670562744,-0.026293642818927765,1258.0,-2.6991876250000004
39,119,60928,1526,1.0087288618087769,0.0004092704424510632,0.012784053,-0.01581686723511666,0.081298828125,-44.145991802215576,0.3757036307360977,0.2,1888,0.6443753242492676,0.14349669218063354,1258.0,-2.6991876250000004
40,120,61440,1525,1.008702278137207,0.0004092704424510632,0.017083213,-0.024962259456515312,0.23486328125,-44.15594947338104,0.003130886849248782,0.2,1904,-2.9287054538726807,-0.024700993672013283,1258.0,-2.6991876250000004
40,121,61952,1525,1.0059562921524048,0.0004092704424510632,0.015041003,-0.024092467421723995,0.2198486328125,-44.11033022403717,0.012458878802135587,0.2,1920,0.047001540660858154,-0.022114422172307968,1258.0,-2.7011338775510207
40,122,62464,1526,1.0052058696746826,0.0004092704424510632,0.011355629,-0.014522852790832985,0.0660400390625,-44.043715834617615,0.40997005882672966,0.2,1936,0.6834174394607544,0.03191134333610535,1258.0,-2.7011338775510207
41,123,62976,1526,1.0048326253890991,0.0004092704424510632,0.016614404,-0.026144505929551087,0.2506103515625,-44.033687710762024,0.010778720534290187,0.2,1952,-0.046678781509399414,-0.02466641739010811,1258.0,-2.6975082200000005
41,124,63488,1526,1.004682183265686,0.0004092704424510632,0.020402968,-0.01669240569754038,0.131591796875,-44.02624714374542,0.26521231420338154,0.2,1968,0.8134962320327759,0.05511260777711868,1258.0,-2.6975082200000005
