time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/n_updates,train/value_loss,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1278,8,22,11264,336,0.004219932532578241,0.3156996965408325,1.0032590627670288,0.2,-0.02505331113934517,0.01690992,-44.02141225337982,0.0004092704424510632,0.212158203125,-0.020232387192663737,1258.0,-2.701808375
1277,9,23,11776,352,0.003502864983602194,0.03410881757736206,1.0040675401687622,0.2,-0.042565152049064636,0.013586032,-44.08524286746979,0.0004092704424510632,0.222412109375,-0.025401354636414908,1258.0,-2.705847777777778
1274,9,24,12288,368,0.07035967567935586,0.0020810961723327637,1.0025787353515625,0.2,0.0006364267319440842,0.020462096,-44.069897055625916,0.0004092704424510632,0.206298828125,-0.02101982742897235,1258.0,-2.705847777777778
1273,10,25,12800,384,0.0051548242481658235,0.1632683277130127,1.00348961353302,0.2,-0.029637854546308517,0.020032182,-44.04997503757477,0.0004092704424510632,0.2572021484375,-0.025775698624784127,1258.0,-2.7184302000000002
1272,10,26,13312,400,0.07660266454331577,0.031742095947265625,1.0021557807922363,0.2,0.0010460466146469116,0.018200286,-44.0575453042984,0.0004092704424510632,0.201416015625,-0.020939263864420354,1258.0,-2.7184302000000002
1271,10,27,13824,416,0.007039777789032087,0.37184959650039673,1.0005873441696167,0.2,-0.023681139573454857,0.016114682,-43.99699378013611,0.0004092704424510632,0.2020263671875,-0.02057738689472899,1258.0,-2.7184302000000002
1269,11,28,14336,432,0.0052579532348318025,0.3359077572822571,0.9993679523468018,0.2,-0.025662366300821304,0.01219137,-43.96253955364227,0.0004092704424510632,0.1463623046875,-0.014901348564308137,1258.0,-2.738600454545455
1267,11,29,14848,448,0.04643743816995993,0.08633542060852051,0.9982268214225769,0.2,-0.013631487265229225,0.029815083,-43.91888511180878,0.0004092704424510632,0.283935546875,-0.02398745583195705,1258.0,-2.738600454545455
1267,12,30,15360,464,0.005954415042651817,0.08583474159240723,0.9970051050186157,0.2,-0.04550865292549133,0.016281016,-43.88720738887787,0.0004092704424510632,0.2296142578125,-0.028507431037724018,1258.0,-2.7474165
1266,12,31,15872,480,0.07967880554497242,0.13511186838150024,0.9949994683265686,0.2,0.009710481390357018,0.023112908,-43.829793214797974,0.0004092704424510632,0.24365234375,-0.021618172293528914,1258.0,-2.7474165
1265,12,32,16384,496,0.009531974530545995,0.05676478147506714,0.9934749603271484,0.2,-0.029094181954860687,0.020211108,-43.774653911590576,0.0004092704424510632,0.2113037109375,-0.022460855718236417,1258.0,-2.7500357692307693
1264,13,33,16896,512,0.07029598369263113,0.4043586850166321,0.9930388331413269,0.2,0.02421470545232296,0.019799367,-43.742403864860535,0.0004092704424510632,0.2269287109375,-0.025045268470421433,1258.0,-2.7500357692307693
1263,13,34,17408,528,0.0081111614999827,-0.6414300203323364,0.9943887591362,0.2,-0.03742272034287453,0.016976364,-43.75212514400482,0.0004092704424510632,0.2510986328125,-0.02939448136021383,1258.0,-2.7500357692307693
1263,14,35,17920,544,0.0024610773034510203,0.10193890333175659,0.9933727979660034,0.2,-0.010509073734283447,0.017468052,-43.77052462100983,0.0004092704424510632,0.1976318359375,-0.01773050578776747,1258.0,-2.758141785714286
1261,14,36,18432,560,0.10887862485833466,0.08764904737472534,0.9919978976249695,0.2,0.04241005331277847,0.017473191,-43.72947680950165,0.0004092704424510632,0.179443359375,-0.018840699776774272,1258.0,-2.758141785714286
1260,15,37,18944,576,0.019135024456772953,-0.5326982736587524,0.9909489154815674,0.2,-0.010077858343720436,0.016374204,-43.691391706466675,0.0004092704424510632,0.171630859375,-0.017704577883705497,1258.0,-2.7554820666666666
1260,15,38,19456,592,0.06856562348548323,0.5616217851638794,0.9905131459236145,0.2,-0.0024989116936922073,0.019271985,-43.65899610519409,0.0004092704424510632,0.2227783203125,-0.02517495397478342,1258.0,-2.7554820666666666
1259,15,39,19968,608,0.0067638965920195915,-1.6848673820495605,0.9904084801673889,0.2,-0.03733325004577637,0.02086019,-43.65266263484955,0.0004092704424510632,0.249755859375,-0.023218927468406036,1258.0,-2.7554820666666666
1259,16,40,20480,624,0.002641673261678079,0.009797453880310059,0.9910613894462585,0.2,-0.03491491451859474,0.015599866,-43.65996026992798,0.0004092704424510632,0.2271728515625,-0.024294379334605765,1258.0,-2.76390425
1258,16,41,20992,640,0.0659111100831069,0.22975677251815796,0.9911532402038574,0.2,-0.0029861927032470703,0.019848928,-43.67515754699707,0.0004092704424510632,0.188232421875,-0.019907847410649993,1258.0,-2.76390425
1258,17,42,21504,656,0.010535049281315878,-1.143394947052002,0.9907755851745605,0.2,-0.02659396082162857,0.01963259,-43.6671576499939,0.0004092704424510632,0.2371826171875,-0.023200165196612943,1258.0,-2.752808411764706
1257,17,43,22016,672,0.10150510142557323,0.4062448740005493,0.9904115796089172,0.2,0.009946905076503754,0.015991136,-43.65764784812927,0.0004092704424510632,0.1214599609375,-0.01730216918804217,1258.0,-2.752808411764706
1256,17,44,22528,688,0.007096625384292565,-1.46293306350708,0.9931187033653259,0.2,-0.03570973500609398,0.023139644,-43.685410261154175,0.0004092704424510632,0.2745361328125,-0.024359149756492116,1258.0,-2.752808411764706
1256,18,45,23040,704,0.0031295825028792024,0.18437206745147705,0.9939512014389038,0.2,-0.03449248522520065,0.018341815,-43.75187051296234,0.0004092704424510632,0.244384765625,-0.023601343185873702,1258.0,-2.7598012777777776
1255,18,46,23552,720,0.11980734020471573,0.20992350578308105,0.9942384362220764,0.2,0.01882924884557724,0.021509703,-43.76161313056946,0.0004092704424510632,0.1551513671875,-0.022041040239855647,1258.0,-2.7598012777777776
1255,19,47,24064,736,0.01905295002507046,-2.5009262561798096,0.9943588376045227,0.2,-0.02194584161043167,0.015718967,-43.764601707458496,0.0004092704424510632,0.23583984375,-0.025101875929976813,1258.0,-2.75841747368421
1254,19,48,24576,752,0.1299763951683417,0.03783738613128662,0.9936116337776184,0.2,0.0014630481600761414,0.020551268,-43.75926113128662,0.0004092704424510632,0.2557373046875,-0.022029280167771503,1258.0,-2.75841747368421
1253,20,49,25088,768,0.009921842240146361,-1.0369040966033936,0.9928315877914429,0.2,-0.041241440922021866,0.026195355,-43.73053455352783,0.0004092704424510632,0.2596435546875,-0.02784814611368347,1258.0,-2.75841747368421
1253,20,50,25600,784,0.003303820158180315,0.15333014726638794,0.9936977624893188,0.2,-0.034596219658851624,0.018093294,-43.72680616378784,0.0004092704424510632,0.2122802734375,-0.02524387533776462,1258.0,-2.7629194
1253,20,51,26112,800,0.07771281216992065,0.222772479057312,0.9927825927734375,0.2,-0.00565510056912899,0.016280748,-43.73903477191925,0.0004092704424510632,0.1429443359375,-0.01910681363369804,1258.0,-2.7629194
1253,21,52,26624,816,0.011212600365979597,-2.7292966842651367,0.9927651882171631,0.2,-0.03642941266298294,0.014930282,-43.70987367630005,0.0004092704424510632,0.2130126953125,-0.023229277052450925,1258.0,-2.7625405238095238
1252,21,53,27136,832,0.10392938065342605,0.29437506198883057,0.992997944355011,0.2,-0.0017303526401519775,0.019003326,-43.72102344036102,0.0004092704424510632,0.136962890625,-0.021618098980979994,1258.0,-2.7625405238095238
1252,22,54,27648,848,0.011266732515650801,-1.5086162090301514,0.9918081760406494,0.2,-0.02836724743247032,0.018941622,-43.703049540519714,0.0004092704424510632,0.257568359375,-0.027358941704733297,1258.0,-2.7625405238095238
1252,22,55,28160,864,0.01635372606688179,0.6405888199806213,0.9906083345413208,0.2,-0.0118098771199584,0.016777504,-43.66223204135895,0.0004092704424510632,0.2037353515625,-0.02074442247976549,1258.0,-2.7628323636363636
1252,22,56,28672,880,0.05053282744484022,0.7366334199905396,0.9913215637207031,0.2,-0.02222071960568428,0.031142715,-43.65487086772919,0.0004092704424510632,0.2408447265625,-0.026765977978357114,1258.0,-2.7628323636363636
1251,23,57,29184,896,0.020765314780874178,-6.755823135375977,0.9930360913276672,0.2,-0.03147980570793152,0.020701367,-43.684019327163696,0.0004092704424510632,0.251220703125,-0.02404310178826563,1258.0,-2.7586251304347824
1251,23,58,29696,912,0.18411670590285212,0.02189326286315918,0.9925279021263123,0.2,0.00702449306845665,0.033354767,-43.716784834861755,0.0004092704424510632,0.255126953125,-0.02373751455161255,1258.0,-2.7586251304347824
1251,24,59,30208,928,0.007637874674401246,-0.39581191539764404,0.993063747882843,0.2,-0.024000320583581924,0.024335504,-43.71010994911194,0.0004092704424510632,0.2969970703125,-0.024868478561984375,1258.0,-2.756506416666667
1250,24,60,30720,944,0.10992339428048581,0.34657561779022217,0.9927977323532104,0.2,0.009109655395150185,0.017452931,-43.72039449214935,0.0004092704424510632,0.2056884765625,-0.018249578191898763,1258.0,-2.756506416666667
1249,24,61,31232,960,0.0032508899275853764,-1.0969834327697754,0.993722677230835,0.2,-0.062299493700265884,0.026221465,-43.72242975234985,0.0004092704424510632,0.3448486328125,-0.038510215177666396,1258.0,-2.756506416666667
1249,25,62,31744,976,0.004071599556482397,-0.09711337089538574,0.9956949949264526,0.2,-0.042328063398599625,0.020698547,-43.77926707267761,0.0004092704424510632,0.2474365234375,-0.02538918973004911,1258.0,-2.75181244
1249,25,63,32256,992,0.15680656803306192,0.21448123455047607,0.9964069128036499,0.2,0.03319184482097626,0.017899632,-43.824933886528015,0.0004092704424510632,0.119873046875,-0.012499863049015403,1258.0,-2.75181244
1248,26,64,32768,1008,0.00924559855775442,-0.7668503522872925,0.9946960210800171,0.2,-0.026882775127887726,0.016200239,-43.813547015190125,0.0004092704424510632,0.240966796875,-0.02288151771062985,1258.0,-2.7471019615384615
1248,26,65,33280,1024,0.1605142515618354,0.36520683765411377,0.9936498999595642,0.2,0.009495951235294342,0.018234242,-43.757097005844116,0.0004092704424510632,0.1181640625,-0.01732891966821626,1258.0,-2.7471019615384615
1248,27,66,33792,1040,0.01494000173988752,-0.7801519632339478,0.9922588467597961,0.2,-0.03578171133995056,0.017919056,-43.72711360454559,0.0004092704424510632,0.21435546875,-0.02286108458065428,1258.0,-2.7471019615384615
1248,27,67,34304,1056,0.003981110457971226,-2.15598201751709,0.9912643432617188,0.2,-0.030875999480485916,0.019560486,-43.68295681476593,0.0004092704424510632,0.2491455078125,-0.024907213082769886,1258.0,-2.743415481481481
1248,27,68,34816,1072,0.13718006038106978,0.18208247423171997,0.9904118776321411,0.2,-0.010738741606473923,0.020238262,-43.65388226509094,0.0004092704424510632,0.157958984375,-0.018863676261389628,1258.0,-2.743415481481481
1248,28,69,35328,1088,0.008832587831420824,-2.4658188819885254,0.9888451099395752,0.2,-0.0395243801176548,0.019829843,-43.611608147621155,0.0004092704424510632,0.2657470703125,-0.026366541205788963,1258.0,-2.7367423214285713
1248,28,70,35840,1104,0.1512671555392444,0.3987438678741455,0.9880778193473816,0.2,0.0062982067465782166,0.018414108,-43.5758935213089,0.0004092704424510632,0.12255859375,-0.016326455370290205,1258.0,-2.7367423214285713
1248,29,71,36352,1120,0.011439070993219502,-2.5709681510925293,0.9876112937927246,0.2,-0.03132389858365059,0.02660197,-43.55498647689819,0.0004092704424510632,0.2987060546875,-0.02319507877837168,1258.0,-2.7367423214285713
1248,29,72,36864,1136,0.003444227433647029,-0.023563742637634277,0.9873896837234497,0.2,-0.03106670267879963,0.01838686,-43.54608452320099,0.0004092704424510632,0.270263671875,-0.028153848717920482,1258.0,-2.7410441034482753
1247,29,73,37376,1152,0.13870144385145977,0.2985152006149292,0.9868295788764954,0.2,-0.013866571709513664,0.021461997,-43.53244435787201,0.0004092704424510632,0.1427001953125,-0.020009371713967994,1258.0,-2.7410441034482753
