time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
24064,47,19,1263,0.218017578125,736,0.0004092704424510632,0.01193939390941523,0.2,-0.02357962836686056,-0.033702537417411804,-2.578667640686035,0.018768836,0.9911605715751648,-43.66051399707794,-2.5009420526315793,1258.0
24576,48,19,1263,0.1597900390625,752,0.0004092704424510632,0.13785174756776541,0.2,-0.02013685056590475,0.0046349018812179565,0.08413416147232056,0.015738552,0.9919517040252686,-43.68051791191101,-2.5009420526315793,1258.0
25088,49,19,1263,0.1839599609375,768,0.0004092704424510632,0.017111527355154976,0.2,-0.019571034819819033,-0.02068941853940487,-2.9666571617126465,0.022922799,0.9919365048408508,-43.69450569152832,-2.5009420526315793,1258.0
25600,50,20,1262,0.2393798828125,784,0.0004092704424510632,0.003243144488806138,0.2,-0.022504070177092217,-0.03733021765947342,0.16122066974639893,0.01638651,0.9926932454109192,-43.69334924221039,-2.5073231500000004,1258.0
26112,51,20,1262,0.199462890625,800,0.0004092704424510632,0.08488943905103952,0.2,-0.023448227933840826,-0.017422271892428398,0.24509459733963013,0.02231592,0.992994487285614,-43.71333944797516,-2.5073231500000004,1258.0
26624,52,21,1261,0.22216796875,816,0.0004092704424510632,0.01054910008679144,0.2,-0.02109299838775769,-0.025408213958144188,-5.199203014373779,0.023477111,0.9926034212112427,-43.71079623699188,-2.5059500952380955,1258.0
27136,53,21,1261,0.1334228515625,832,0.0004092704424510632,0.13481289381161332,0.2,-0.02079163865710143,0.001311618834733963,0.10840582847595215,0.016359534,0.9934602379798889,-43.71395719051361,-2.5059500952380955,1258.0
27648,54,21,1261,0.230712890625,848,0.0004092704424510632,0.022179417283041403,0.2,-0.02456177314161323,-0.034332193434238434,-1.9431557655334473,0.027953833,0.9905915260314941,-43.698440194129944,-2.5059500952380955,1258.0
28160,55,22,1260,0.2095947265625,864,0.0004092704424510632,0.011584801395656541,0.2,-0.024351460830075666,-0.019841264933347702,0.6402096748352051,0.016049705,0.98873370885849,-43.5984126329422,-2.5006925909090914,1258.0
28672,56,22,1260,0.311767578125,880,0.0004092704424510632,0.0492194370017387,0.2,-0.026685067859943956,-0.027757223695516586,0.6693394184112549,0.030643845,0.9883922934532166,-43.5629266500473,-2.5006925909090914,1258.0
29184,57,23,1260,0.254638671875,896,0.0004092704424510632,0.016750888258684427,0.2,-0.02710698140435852,-0.027683928608894348,-6.499917507171631,0.03056516,0.9888840317726135,-43.56634473800659,-2.500836695652174,1258.0
29696,58,23,1260,0.2476806640625,912,0.0004092704424510632,0.14343996485695243,0.2,-0.019899519989849068,0.0035451147705316544,0.03910869359970093,0.019278398,0.9890159964561462,-43.58008813858032,-2.500836695652174,1258.0
30208,59,23,1260,0.25634765625,928,0.0004092704424510632,0.012018456211080775,0.2,-0.02646373605239205,-0.038305241614580154,-1.9846549034118652,0.022456959,0.9893768429756165,-43.58546721935272,-2.5065136666666668,1258.0
30720,60,24,1259,0.14453125,944,0.0004092704424510632,0.14381275651976466,0.2,-0.017066668602637947,0.003852086141705513,0.07796674966812134,0.01602616,0.9898265600204468,-43.59703516960144,-2.5065136666666668,1258.0
31232,61,24,1259,0.2354736328125,960,0.0004092704424510632,0.002210204904258717,0.2,-0.027196298440685496,-0.0409054271876812,-1.8484268188476562,0.021158867,0.9911671876907349,-43.6178240776062,-2.5065136666666668,1258.0
31744,62,25,1259,0.26171875,976,0.0004092704424510632,0.003484110173303634,0.2,-0.02561034513200866,-0.03331826627254486,0.0046915411949157715,0.022301711,0.9928146004676819,-43.6631805896759,-2.504929,1258.0
32256,63,25,1259,0.1881103515625,992,0.0004092704424510632,0.2064523680601269,0.2,-0.025637181402998976,0.0679025799036026,0.051758766174316406,0.021949,0.9926273226737976,-43.685370564460754,-2.504929,1258.0
32768,64,26,1258,0.225830078125,1008,0.0004092704424510632,0.037477494101040065,0.2,-0.021453243651194498,-0.03342072665691376,-2.8564281463623047,0.022755638,0.9919553995132446,-43.67283630371094,-2.515694576923077,1258.0
33280,65,26,1257,0.108154296875,1024,0.0004092704424510632,0.17210603901185095,0.2,-0.015815209641004913,0.016355156898498535,0.11238819360733032,0.012171327,0.9913075566291809,-43.64979922771454,-2.515694576923077,1258.0
33792,66,26,1257,0.230224609375,1040,0.0004092704424510632,0.008835234722937457,0.2,-0.022241782891796902,-0.03099210187792778,-0.7671133279800415,0.0206915,0.9917702078819275,-43.64342939853668,-2.515694576923077,1258.0
34304,67,27,1257,0.2470703125,1056,0.0004092704424510632,0.0031662390174460597,0.2,-0.030366192149813287,-0.040929343551397324,-0.8755449056625366,0.019845176,0.9942558407783508,-43.68990910053253,-2.519168037037037,1258.0
34816,68,27,1257,0.1341552734375,1072,0.0004092704424510632,0.17764217918738723,0.2,-0.017286332222283818,0.024169541895389557,0.14270269870758057,0.014853643,0.9953014850616455,-43.74816823005676,-2.519168037037037,1258.0
35328,69,28,1257,0.23095703125,1088,0.0004092704424510632,0.011052784320781939,0.2,-0.025255688349716365,-0.030134059488773346,-3.2856369018554688,0.020051528,0.9958534836769104,-43.76866161823273,-2.517735714285714,1258.0
35840,70,28,1257,0.0999755859375,1104,0.0004092704424510632,0.24954146589152515,0.2,-0.014489244713331573,0.020659636706113815,0.12427210807800293,0.014106354,0.9955481290817261,-43.778240442276,-2.517735714285714,1258.0
