time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/approx_kl,train/loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1227,43520,85,35,0.0004092704424510632,-43.62203121185303,0.1618923896458,1344,0.4176231622695923,-0.018191430368460715,0.1512451171875,0.9909572601318359,0.016634967,0.02430374175310135,0.2,1258.0,-3.270507382352941
1227,44032,86,35,0.0004092704424510632,-43.65538835525513,0.06974549638107419,1360,-0.14695429801940918,-0.02442019288719166,0.25634765625,0.9926354289054871,0.029337574,-0.008528025820851326,0.2,1258.0,-3.2742524857142854
1227,44544,87,36,0.0004092704424510632,-43.711164474487305,0.19291757652536035,1376,0.5306928753852844,-0.024371244027861394,0.206298828125,0.9936508536338806,0.025348093,0.020418807864189148,0.2,1258.0,-3.2742524857142854
1227,45056,88,36,0.0004092704424510632,-43.730218052864075,0.00942593791114632,1392,-2.01833438873291,-0.029654416808625683,0.2447509765625,0.9942343831062317,0.018514186,-0.04105313494801521,0.2,1258.0,-3.2742524857142854
1227,45568,89,37,0.0004092704424510632,-43.74158501625061,0.00880497446632944,1408,0.06679695844650269,-0.030703058349899948,0.304443359375,0.9940774440765381,0.0343574,-0.038420360535383224,0.2,1258.0,-3.2770945277777774
1227,46080,90,37,0.0004092704424510632,-43.7319278717041,0.2633944731205702,1424,0.06856805086135864,-0.017644127408857457,0.1341552734375,0.9938755035400391,0.016040105,0.06084074079990387,0.2,1258.0,-3.2770945277777774
1227,46592,91,37,0.0004092704424510632,-43.71123671531677,0.024351746658794582,1440,-0.012291431427001953,-0.022263612612732686,0.2191162109375,0.9927700757980347,0.018120755,-0.021442711353302002,0.2,1258.0,-3.2793568648648646
1227,47104,92,38,0.0004092704424510632,-43.66413986682892,0.2137570888735354,1456,0.3962733745574951,-0.01803756778826937,0.1309814453125,0.9909393191337585,0.01590857,0.07432575523853302,0.2,1258.0,-3.2793568648648646
1227,47616,93,38,0.0004092704424510632,-43.61318588256836,0.028639664757065475,1472,-0.9936709403991699,-0.018363935945671983,0.173828125,0.9895670413970947,0.017189976,-0.032560501247644424,0.2,1258.0,-3.2793568648648646
1227,48128,94,39,0.0004092704424510632,-43.56606161594391,0.014311936538433656,1488,-0.49985432624816895,-0.0318168528174283,0.3026123046875,0.9870972633361816,0.029334527,-0.04535998776555061,0.2,1258.0,-3.278929921052631
1227,48640,95,39,0.0004092704424510632,-43.50304126739502,0.2438565231859684,1504,0.2475098967552185,-0.014650153636466712,0.1002197265625,0.9865460395812988,0.01382674,0.012870002537965775,0.2,1258.0,-3.278929921052631
1228,49152,96,40,0.0004092704424510632,-43.523980498313904,0.0671264115953818,1520,-0.4616588354110718,-0.02163302993722027,0.21435546875,0.9881080389022827,0.019774854,-0.013779118657112122,0.2,1258.0,-3.2806207179487172
1228,49664,97,40,0.0004092704424510632,-43.560301780700684,0.29996565403416753,1536,0.4642374515533447,-0.015924494015052915,0.095703125,0.9885973930358887,0.018195063,0.07348734140396118,0.2,1258.0,-3.2806207179487172
1228,50176,98,40,0.0004092704424510632,-43.5707985162735,0.036386337131261826,1552,0.5270922183990479,-0.0283093249599915,0.299072265625,0.9892602562904358,0.027366579,-0.03936663642525673,0.2,1258.0,-3.2806207179487172
1228,50688,99,41,0.0004092704424510632,-43.56369733810425,0.012643337831832469,1568,-0.38594770431518555,-0.0286849997646641,0.283935546875,0.9875540733337402,0.023328822,-0.03888251632452011,0.2,1258.0,-3.278832275
1227,51200,100,41,0.0004092704424510632,-43.510846853256226,0.2309681922197342,1584,0.34952712059020996,-0.019787032448220998,0.12451171875,0.9862572550773621,0.021551585,0.041330285370349884,0.2,1258.0,-3.278832275
1227,51712,101,42,0.0004092704424510632,-43.48878073692322,0.052472762763500214,1600,-0.260235071182251,-0.026472358033061028,0.2266845703125,0.9858453869819641,0.018782416,-0.015124011784791946,0.2,1258.0,-3.2719011951219508
1227,52224,102,42,0.0004092704424510632,-43.47670078277588,0.2581731812097132,1616,0.42263680696487427,-0.013933308524428867,0.1142578125,0.9854626059532166,0.013421188,0.05794733762741089,0.2,1258.0,-3.2719011951219508
1227,52736,103,42,0.0004092704424510632,-43.455275654792786,0.1016652062535286,1632,0.6522911787033081,-0.02231356250558747,0.2353515625,0.9845167994499207,0.017447434,0.01686558499932289,0.2,1258.0,-3.2719011951219508
1227,53248,104,43,0.0004092704424510632,-43.43495225906372,0.045637387462193146,1648,-4.424144268035889,-0.02413842080568429,0.1790771484375,0.9839923977851868,0.015961803,-0.03131275624036789,0.2,1258.0,-3.270906261904761
1227,53760,105,43,0.0004092704424510632,-43.409727811813354,0.15890006022527814,1664,0.12015694379806519,-0.021335842917324044,0.2120361328125,0.9829938411712646,0.022625849,0.0050944313406944275,0.2,1258.0,-3.270906261904761
1227,54272,106,44,0.0004092704424510632,-43.40010750293732,0.023988509754417464,1680,-0.10696876049041748,-0.02809179716859944,0.2642822265625,0.9837731719017029,0.020374663,-0.02492346614599228,0.2,1258.0,-3.274701232558139
1227,54784,107,44,0.0004092704424510632,-43.42378759384155,0.18687252537347376,1696,0.3523329496383667,-0.017079121142160147,0.125,0.983657717704773,0.014079918,0.04231890290975571,0.2,1258.0,-3.274701232558139
1227,55296,108,45,0.0004092704424510632,-43.40174460411072,0.03936575958505273,1712,0.4895098805427551,-0.0263593299605418,0.28662109375,0.9827037453651428,0.023709461,-0.01712549477815628,0.2,1258.0,-3.274701232558139
1227,55808,109,45,0.0004092704424510632,-43.38509225845337,0.01093308231793344,1728,0.03677171468734741,-0.02729243231442524,0.280517578125,0.983301043510437,0.021165453,-0.04591674357652664,0.2,1258.0,-3.2738360681818177
1227,56320,110,45,0.0004092704424510632,-43.40852475166321,0.12177109182812274,1744,0.43322575092315674,-0.020378358982270584,0.1810302734375,0.9841175079345703,0.019347811,0.013846002519130707,0.2,1258.0,-3.2738360681818177
1227,56832,111,46,0.0004092704424510632,-43.404059290885925,0.06740819907281548,1760,-0.3059290647506714,-0.022306623854092322,0.1790771484375,0.9823683500289917,0.020513903,-0.021673398092389107,0.2,1258.0,-3.274873444444444
1227,57344,112,46,0.0004092704424510632,-43.340092182159424,0.14650090551003814,1776,0.5895618200302124,-0.022568977772607468,0.196044921875,0.9810521006584167,0.02399041,0.026217954233288765,0.2,1258.0,-3.274873444444444
1227,57856,113,47,0.0004092704424510632,-43.30167865753174,0.03880152484634891,1792,0.1378297209739685,-0.024276455049403012,0.2734375,0.9794099926948547,0.025438381,-0.023744970560073853,0.2,1258.0,-3.274873444444444
1227,58368,114,47,0.0004092704424510632,-43.26149344444275,0.034757002198603004,1808,0.6186187863349915,-0.03160729171941057,0.3167724609375,0.9788811802864075,0.021371964,-0.02192976139485836,0.2,1258.0,-3.2741231521739125
1227,58880,115,47,0.0004092704424510632,-43.254751563072205,0.04407858720514923,1824,0.6612116098403931,-0.02422844566171989,0.309814453125,0.9787681102752686,0.02558464,-0.02065322920680046,0.2,1258.0,-3.2741231521739125
1227,59392,116,48,0.0004092704424510632,-43.263423681259155,0.03617102769203484,1840,-1.3960349559783936,-0.02541152443154715,0.2708740234375,0.9794198870658875,0.020584833,-0.025266967713832855,0.2,1258.0,-3.276316468085106
1227,59904,117,48,0.0004092704424510632,-43.280558943748474,0.11719447281211615,1856,0.5136699676513672,-0.01928387544467114,0.1319580078125,0.9792487621307373,0.016066395,0.01762881875038147,0.2,1258.0,-3.276316468085106
1227,60416,118,49,0.0004092704424510632,-43.28618621826172,0.05080400430597365,1872,-0.230005145072937,-0.022975406929617748,0.2271728515625,0.9803787469863892,0.025778966,-0.015310470014810562,0.2,1258.0,-3.278458520833334
1227,60928,119,49,0.0004092704424510632,-43.31458055973053,0.1501169465482235,1888,0.4877272844314575,-0.023508281796239316,0.2305908203125,0.980536937713623,0.025968,0.029936060309410095,0.2,1258.0,-3.278458520833334
1227,61440,120,50,0.0004092704424510632,-43.32619047164917,0.022192094300407916,1904,-0.2771495580673218,-0.028416746703442186,0.27978515625,0.9817410707473755,0.01747797,-0.03665275499224663,0.2,1258.0,-3.278458520833334
1227,61952,121,50,0.0004092704424510632,-43.352904081344604,0.0061647336624446325,1920,-0.6192293167114258,-0.025356381345773116,0.2645263671875,0.9819450974464417,0.018925026,-0.03713661804795265,0.2,1258.0,-3.27831818367347
1227,62464,122,50,0.0004092704424510632,-43.3367817401886,0.1702667858917266,1936,0.21744805574417114,-0.01195111297420226,0.0869140625,0.9809447526931763,0.009786466,0.03446117043495178,0.2,1258.0,-3.27831818367347
1227,62976,123,51,0.0004092704424510632,-43.30186092853546,0.027717592485714704,1952,-0.35389411449432373,-0.024525400047423318,0.244873046875,0.9800970554351807,0.018653274,-0.031600743532180786,0.2,1258.0,-3.28031576
1227,63488,124,51,0.0004092704424510632,-43.28701853752136,0.1897143954411149,1968,0.4341445565223694,-0.011747963028028607,0.072998046875,0.9799727201461792,0.013552922,0.020276475697755814,0.2,1258.0,-3.28031576
