time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/entropy_loss,train/loss,train/std,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
137728,34,1824,122,-42.12168490886688,0.1365126073360443,0.948077380657196,0.7533125877380371,0.0004092704424510632,0.0105062695,0.9388712085783482,-0.006963227613596246,0.042724609375,0.2,4288,-2.1961062299999994,1258.0
138240,34,1823,123,-42.105350613594055,-0.042943548411130905,0.9470613598823547,-1.584500789642334,0.0004092704424510632,0.019514631,0.0030372735345736146,-0.021660016558598727,0.2318115234375,0.2,4304,-2.1961062299999994,1258.0
138752,34,1822,124,-42.088513255119324,-0.03062230348587036,0.9477246403694153,0.728622555732727,0.0004092704424510632,0.016613334,0.010916935789282434,-0.021749139872554224,0.219482421875,0.2,4320,-2.19324876,1258.0
139264,35,1821,125,-42.11503851413727,0.2466384768486023,0.9482327103614807,0.5731868743896484,0.0004092704424510632,0.0031459746,1.0529595254920423,-0.0024951671657618135,0.001708984375,0.2,4336,-2.19324876,1258.0
139776,35,1820,126,-42.12189054489136,-0.03862442821264267,0.9482472538948059,-0.07891428470611572,0.0004092704424510632,0.018150724,0.009646150225307792,-0.02468243901967071,0.2462158203125,0.2,4352,-2.192315,1258.0
140288,35,1819,127,-42.12227749824524,0.1697491556406021,0.9482647180557251,0.5776320099830627,0.0004092704424510632,0.004311907,1.284380178898573,-0.0066189860517624766,0.0089111328125,0.2,4368,-2.192315,1258.0
140800,36,1818,128,-42.1457439661026,-0.04142962768673897,0.949948251247406,0.12448394298553467,0.0004092704424510632,0.024410736,0.006923382316017523,-0.032675936905434355,0.302490234375,0.2,4384,-2.192315,1258.0
141312,36,1817,129,-42.16720807552338,-0.03151363134384155,0.9492440819740295,0.8760194182395935,0.0004092704424510632,0.019583844,0.03741758572869003,-0.03318132777349092,0.2734375,0.2,4400,-2.19183233,1258.0
141824,36,1816,130,-42.137678384780884,0.03046763315796852,0.948814868927002,0.6275409460067749,0.0004092704424510632,0.01160939,0.6395903762895614,-0.010354769823607057,0.044921875,0.2,4416,-2.19183233,1258.0
142336,36,1815,131,-42.14951002597809,-0.031094836071133614,0.9499857425689697,-0.009557366371154785,0.0004092704424510632,0.02195223,0.013727768644457683,-0.025899248546920717,0.28515625,0.2,4432,-2.19264656,1258.0
142848,37,1814,132,-42.17407536506653,0.31990090012550354,0.9500334858894348,0.8496565818786621,0.0004092704424510632,0.011068467,0.7490522107109427,-0.012429325870471075,0.0458984375,0.2,4448,-2.19264656,1258.0
143360,37,1813,133,-42.1687216758728,-0.021740920841693878,0.9498482346534729,-0.19266629219055176,0.0004092704424510632,0.023812767,0.012911585887195542,-0.022773798875277862,0.25830078125,0.2,4464,-2.19264656,1258.0
143872,37,1812,134,-42.16378033161163,0.11906169354915619,0.9498024582862854,0.7809962630271912,0.0004092704424510632,0.015216151,0.3553548692725599,-0.01301180363225285,0.063232421875,0.2,4480,-2.19082512,1258.0
144384,38,1811,135,-42.166351675987244,-0.021339215338230133,0.9501535296440125,0.9649542570114136,0.0004092704424510632,0.028409787,0.10845981375314295,-0.02381670195609331,0.2066650390625,0.2,4496,-2.19082512,1258.0
144896,38,1810,136,-42.18633437156677,-0.008020628243684769,0.9515514969825745,-1.1725142002105713,0.0004092704424510632,0.0216236,0.08592597488313913,-0.02363291224173736,0.234130859375,0.2,4512,-2.19066475,1258.0
145408,38,1809,137,-42.228511929512024,0.10759033262729645,0.9522110819816589,0.6025030612945557,0.0004092704424510632,0.008373136,0.9833479411900043,-0.008897881722077727,0.0224609375,0.2,4528,-2.19066475,1258.0
145920,39,1809,138,-42.22117578983307,-0.018402084708213806,0.9513413310050964,0.2614811658859253,0.0004092704424510632,0.015616953,0.030232124554459006,-0.021494432556210086,0.26220703125,0.2,4544,-2.19066475,1258.0
146432,39,1808,139,-42.19079267978668,0.20442263782024384,0.9509783983230591,0.8434839248657227,0.0004092704424510632,0.0075090113,0.6999659538269043,-0.010613665886921808,0.0267333984375,0.2,4560,-2.18779917,1258.0
146944,39,1807,140,-42.19534134864807,-0.028399765491485596,0.9518576860427856,0.9821450710296631,0.0004092704424510632,0.030001942,0.011460009431175422,-0.023453998037439305,0.3350830078125,0.2,4576,-2.18779917,1258.0
147456,39,1806,141,-42.2205228805542,-0.025464726611971855,0.952894926071167,0.3325955867767334,0.0004092704424510632,0.023185264,0.013710035505937412,-0.03337720890704077,0.3223876953125,0.2,4592,-2.1850450599999998,1258.0
147968,40,1805,142,-42.246373891830444,0.07614684104919434,0.9536906480789185,0.7564822435379028,0.0004092704424510632,0.010370582,0.6062362054362893,-0.012186825828393921,0.0443115234375,0.2,4608,-2.1850450599999998,1258.0
148480,40,1805,143,-42.26600193977356,-0.025899268686771393,0.9543502330780029,0.0748099684715271,0.0004092704424510632,0.025350315,0.022031303378753364,-0.02663360719452612,0.2818603515625,0.2,4624,-2.18780379,1258.0
