time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
16384,13,1247,32,496,0.0038285205446300097,-43.52892732620239,0.9871094822883606,0.01654208,-0.017284512519836426,0.189453125,-0.03310113400220871,0.2,-0.022912996559171006,0.0004092704424510632,1257.0,-2.342276307692308
16896,13,1246,33,512,0.0883386938367039,-43.57442390918732,0.9883747696876526,0.019494323,0.0008000731468200684,0.2633056640625,0.0037385597825050354,0.2,-0.03057119861477986,0.0004092704424510632,1257.0,-2.342276307692308
17408,13,1245,34,528,0.0026426056974742096,-43.56712603569031,0.9864479899406433,0.02163012,-0.19374656677246094,0.260498046875,-0.04137686640024185,0.2,-0.02920389361679554,0.0004092704424510632,1257.0,-2.342276307692308
17920,14,1245,35,544,0.003566956060240045,-43.51657426357269,0.986251950263977,0.013818217,-0.002265453338623047,0.16943359375,-0.025414912030100822,0.2,-0.018944401381304488,0.0004092704424510632,1257.0,-2.351312357142857
18432,14,1244,36,560,0.09997602459043264,-43.51053869724274,0.9856439232826233,0.021384647,0.0006982684135437012,0.23583984375,0.006592299789190292,0.2,-0.02414028739440255,0.0004092704424510632,1257.0,-2.351312357142857
18944,15,1243,37,576,0.004215346198179759,-43.48436713218689,0.9849264621734619,0.01483852,-0.05494797229766846,0.2203369140625,-0.03746848553419113,0.2,-0.026860754209337756,0.0004092704424510632,1257.0,-2.369449666666667
19456,15,1243,38,592,0.10786092979833484,-43.45431697368622,0.983016848564148,0.019618722,0.00321882963180542,0.2308349609375,0.007919590920209885,0.2,-0.02641348536417354,0.0004092704424510632,1257.0,-2.369449666666667
19968,16,1242,39,608,0.0018308151375094894,-43.41066515445709,0.9835507273674011,0.0153518,-0.9534448385238647,0.211669921875,-0.04130929335951805,0.2,-0.022128478754893877,0.0004092704424510632,1257.0,-2.369449666666667
20480,16,1242,40,624,0.003122985697700642,-43.430859088897705,0.9836381077766418,0.01754624,-0.00020956993103027344,0.2689208984375,-0.02871502935886383,0.2,-0.02832548239530297,0.0004092704424510632,1257.0,-2.3674645000000005
20992,16,1241,41,640,0.13400026923045516,-43.43558967113495,0.9843260645866394,0.018913573,0.00032824277877807617,0.2333984375,0.021214917302131653,0.2,-0.02556463747896487,0.0004092704424510632,1257.0,-2.3674645000000005
21504,17,1240,42,656,0.005053695866081398,-43.45383024215698,0.9842597246170044,0.018711526,-0.02108609676361084,0.240478515625,-0.05760783702135086,0.2,-0.02726730634458363,0.0004092704424510632,1257.0,-2.3662681764705886
22016,17,1240,43,672,0.13202647655270994,-43.469452261924744,0.9857497811317444,0.022298288,0.0005056262016296387,0.2479248046875,0.03219771385192871,0.2,-0.025463488258537836,0.0004092704424510632,1257.0,-2.3662681764705886
22528,18,1240,44,688,0.0038458984636235982,-43.51783108711243,0.9869675040245056,0.02168927,-0.04438471794128418,0.265380859375,-0.02050168626010418,0.2,-0.025057802558876574,0.0004092704424510632,1257.0,-2.3662681764705886
