time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1198,15,37,18944,-0.02437366606318392,-0.01288212276995182,0.3313998579978943,0.22607421875,0.2,0.019910412,-43.32038164138794,0.05285837291739881,0.0004092704424510632,576,0.9803146719932556,-2.3046446,1223.0
1197,16,38,19456,-0.028607501415535808,-0.043519217520952225,-0.06242036819458008,0.244140625,0.2,0.019412428,-43.35767900943756,0.004555128085485194,0.0004092704424510632,592,0.9806223511695862,-2.3046446,1223.0
1196,16,39,19968,-0.02412010100670159,-0.036699648946523666,0.026423394680023193,0.210693359375,0.2,0.016029425,-43.34409034252167,0.002794125848595286,0.0004092704424510632,608,0.9797031283378601,-2.30400025,1223.0
1196,17,40,20480,-0.02162481979758013,-0.0186367966234684,0.036578476428985596,0.19775390625,0.2,0.017444229,-43.30631685256958,0.06232377898413688,0.0004092704424510632,624,0.9784210920333862,-2.30400025,1223.0
1195,17,41,20992,-0.02491489378735423,-0.034872520714998245,-0.48035669326782227,0.2330322265625,0.2,0.014753893,-43.29614818096161,0.003720108841662295,0.0004092704424510632,640,0.9795935750007629,-2.3031512941176473,1223.0
1195,17,42,21504,-0.01963122644519899,-0.00902001652866602,0.2536141276359558,0.1884765625,0.2,0.01565904,-43.323615312576294,0.051966004830319434,0.0004092704424510632,656,0.9788451790809631,-2.3031512941176473,1223.0
1194,18,43,22016,-0.022834680828964338,-0.029201405122876167,-0.13645267486572266,0.2269287109375,0.2,0.01716619,-43.28514266014099,0.003184396213328,0.0004092704424510632,672,0.9782040119171143,-2.3041916111111114,1223.0
1194,18,44,22528,-0.023438333730155136,-0.016411377117037773,0.3340970277786255,0.1949462890625,0.2,0.01989527,-43.26496124267578,0.05286357121076435,0.0004092704424510632,688,0.9771033525466919,-2.3041916111111114,1223.0
1193,19,45,23040,-0.027669454691931605,-0.02624582313001156,-0.10068845748901367,0.2630615234375,0.2,0.022466838,-43.21969974040985,0.00518051594553981,0.0004092704424510632,704,0.9756442308425903,-2.3041916111111114,1223.0
1192,19,46,23552,-0.028261740153538994,-0.0356237068772316,0.12986934185028076,0.2630615234375,0.2,0.021298947,-43.18535089492798,0.0038406903913710266,0.0004092704424510632,720,0.975053608417511,-2.303648263157895,1223.0
1192,20,47,24064,-0.01787565741688013,-0.0052064452320337296,0.3378787040710449,0.1759033203125,0.2,0.016953103,-43.175023794174194,0.062009409070014954,0.0004092704424510632,736,0.9747024774551392,-2.303648263157895,1223.0
1191,20,48,24576,-0.02609777430188842,-0.04198808595538139,-0.49308669567108154,0.2578125,0.2,0.01678149,-43.171701431274414,0.004569585362332873,0.0004092704424510632,752,0.9752153158187866,-2.2926484,1223.0
1191,21,49,25088,-0.023205877412692644,0.00947589986026287,0.05688333511352539,0.23974609375,0.2,0.018468887,-43.20238149166107,0.08640432509128004,0.0004092704424510632,768,0.9762347340583801,-2.2926484,1223.0
1191,21,50,25600,-0.028651824133703485,-0.040172163397073746,-0.9680169820785522,0.2540283203125,0.2,0.018452805,-43.2313916683197,0.005248084788036067,0.0004092704424510632,784,0.9771333336830139,-2.2926484,1223.0
1191,21,51,26112,-0.03170529266935773,-0.04599529132246971,0.0020999908447265625,0.2666015625,0.2,0.017602352,-43.23679757118225,0.002203259598900331,0.0004092704424510632,800,0.976662278175354,-2.281015142857143,1223.0
1191,22,52,26624,-0.022756461024982855,-0.004852768033742905,0.14746588468551636,0.1910400390625,0.2,0.023391668,-43.22097551822662,0.08459548687096685,0.0004092704424510632,816,0.9764324426651001,-2.281015142857143,1223.0
1190,22,53,27136,-0.0244336362084141,-0.028154361993074417,-4.940734386444092,0.1973876953125,0.2,0.016859585,-43.22648501396179,0.0070282169472193345,0.0004092704424510632,832,0.9770851731300354,-2.281205409090909,1223.0
1190,23,54,27648,-0.025820106238825247,-0.01489100232720375,0.07773172855377197,0.2398681640625,0.2,0.021332212,-43.25948786735535,0.0761406576493755,0.0004092704424510632,848,0.9783323407173157,-2.281205409090909,1223.0
1190,23,55,28160,-0.030738790388568304,-0.034003548324108124,-0.4777723550796509,0.2747802734375,0.2,0.019790834,-43.30297029018402,0.002185278441174887,0.0004092704424510632,864,0.9798507690429688,-2.270513739130435,1223.0
1189,24,56,28672,-0.023053973476635292,-0.003391638398170471,0.20853906869888306,0.177001953125,0.2,0.02054562,-43.336647629737854,0.08001849881839007,0.0004092704424510632,880,0.9801915287971497,-2.270513739130435,1223.0
1189,24,57,29184,-0.0239956367877312,-0.02916046418249607,-0.4784044027328491,0.2445068359375,0.2,0.01893267,-43.35490095615387,0.006243774107133504,0.0004092704424510632,896,0.9814727902412415,-2.270513739130435,1223.0
1188,24,58,29696,-0.027482836085255258,-0.020404569804668427,0.12268590927124023,0.2337646484375,0.2,0.01565343,-43.37583935260773,0.0024448214207950514,0.0004092704424510632,912,0.9809927940368652,-2.2693579583333334,1223.0
1188,25,59,30208,-0.01231277990154922,-0.005731528624892235,0.22685247659683228,0.095947265625,0.2,0.012960825,-43.34718382358551,0.08236831112299114,0.0004092704424510632,928,0.9799075126647949,-2.2693579583333334,1223.0
1187,25,60,30720,-0.02997304010204971,-0.04151946306228638,-2.5191004276275635,0.263427734375,0.2,0.017732462,-43.3390474319458,0.004112583308597095,0.0004092704424510632,944,0.9807115197181702,-2.26654472,1223.0
1186,26,61,31232,-0.02363182549015619,0.004139550030231476,0.1331670880317688,0.1517333984375,0.2,0.017748665,-43.349604845047,0.10649540717713535,0.0004092704424510632,960,0.9801849722862244,-2.26654472,1223.0
1185,26,62,31744,-0.021935184864560142,-0.030890194699168205,-0.4104580879211426,0.1949462890625,0.2,0.014867131,-43.33863842487335,0.003595515874621924,0.0004092704424510632,976,0.9806417226791382,-2.26654472,1223.0
1185,27,63,32256,-0.02980241080513224,-0.040046632289886475,0.34754395484924316,0.26904296875,0.2,0.018210346,-43.37236559391022,0.004720851837191731,0.0004092704424510632,992,0.9821062684059143,-2.265118,1223.0
1185,27,64,32768,-0.012454694988264237,-0.0005663949996232986,0.4933592677116394,0.129638671875,0.2,0.012359863,-43.402905106544495,0.0663226816104725,0.0004092704424510632,1008,0.9816914796829224,-2.265118,1223.0
1185,28,65,33280,-0.023172398447059095,-0.027317455038428307,-3.4473190307617188,0.2337646484375,0.2,0.01662466,-43.37482964992523,0.009354849069495685,0.0004092704424510632,1024,0.9809905886650085,-2.2622035185185188,1223.0
1184,28,66,33792,-0.02443741957540624,-0.005051152780652046,0.10590088367462158,0.1785888671875,0.2,0.020591523,-43.35521054267883,0.10433882556390017,0.0004092704424510632,1040,0.9804549217224121,-2.2622035185185188,1223.0
1184,28,67,34304,-0.025115046053542756,-0.0404132679104805,-1.744941234588623,0.21630859375,0.2,0.01516713,-43.328123927116394,0.002967770149552962,0.0004092704424510632,1056,0.9792419075965881,-2.2615264285714285,1223.0
1183,29,68,34816,-0.013873929769033566,-0.00016759708523750305,0.3312475085258484,0.078125,0.2,0.0116487015,-43.29976046085358,0.10205841343849897,0.0004092704424510632,1072,0.9791382551193237,-2.2615264285714285,1223.0
1183,29,69,35328,-0.022073047410231084,-0.02507491409778595,-0.5654937028884888,0.239013671875,0.2,0.01950437,-43.294979214668274,0.003305838028609287,0.0004092704424510632,1088,0.9783825874328613,-2.2615264285714285,1223.0
1183,30,70,35840,-0.0332586340373382,-0.0480443574488163,0.028119385242462158,0.282470703125,0.2,0.021516565,-43.277891516685486,0.002645883272634819,0.0004092704424510632,1104,0.9787663221359253,-2.2580469655172415,1223.0
1183,30,71,36352,-0.02164914419699926,-0.015492990612983704,0.08139485120773315,0.168701171875,0.2,0.017803054,-43.27961254119873,0.11564872274175286,0.0004092704424510632,1120,0.9777824878692627,-2.2580469655172415,1223.0
1182,31,72,36864,-0.029850102349882945,-0.0356278121471405,-1.1881170272827148,0.26806640625,0.2,0.022891577,-43.24255585670471,0.009198607789585367,0.0004092704424510632,1136,0.9772214293479919,-2.2557946,1223.0
1182,31,73,37376,-0.016916403590585105,-0.00406220369040966,0.40141910314559937,0.109375,0.2,0.015925132,-43.235334396362305,0.11638122145086527,0.0004092704424510632,1152,0.9768152832984924,-2.2557946,1223.0
1182,32,74,37888,-0.021324369008652866,-0.030149048194289207,-1.0117018222808838,0.18603515625,0.2,0.013060568,-43.18646705150604,0.003816437179921195,0.0004092704424510632,1168,0.9745929837226868,-2.2557946,1223.0
1182,32,75,38400,-0.02235776682209689,-0.032076410949230194,0.56793212890625,0.2088623046875,0.2,0.016533565,-43.14738070964813,0.009365225894725882,0.0004092704424510632,1184,0.974629282951355,-2.2550495483870967,1223.0
1182,32,76,38912,-0.025246772667742334,-0.02963675558567047,0.5982303619384766,0.255859375,0.2,0.03542596,-43.16016638278961,0.04208614444360137,0.0004092704424510632,1200,0.9754198789596558,-2.2550495483870967,1223.0
1182,33,77,39424,-0.024258176825242117,-0.03121715784072876,-5.30901575088501,0.21728515625,0.2,0.016310748,-43.17480206489563,0.009694896652945317,0.0004092704424510632,1216,0.9750063419342041,-2.2561033124999996,1223.0
1181,33,78,39936,-0.018809637971571647,0.01266467198729515,0.06780117750167847,0.1585693359375,0.2,0.018158343,-43.1515611410141,0.14878574665635824,0.0004092704424510632,1232,0.9743903875350952,-2.2561033124999996,1223.0
1182,34,79,40448,-0.02396367522305809,-0.029640695080161095,-0.6697382926940918,0.2132568359375,0.2,0.019513223,-43.13299858570099,0.0018672937403607648,0.0004092704424510632,1248,0.9737582802772522,-2.2584912121212115,1223.0
1181,34,80,40960,-0.01796344119065907,0.002407204359769821,0.10445696115493774,0.1080322265625,0.2,0.014057419,-43.12427520751953,0.19874621625058353,0.0004092704424510632,1264,0.9741601347923279,-2.2584912121212115,1223.0
1181,35,81,41472,-0.027108694659546018,-0.03457639366388321,-0.6747252941131592,0.2523193359375,0.2,0.019570526,-43.12919747829437,0.0024547901666664984,0.0004092704424510632,1280,0.9741294384002686,-2.2584912121212115,1223.0
1181,35,82,41984,-0.03600704885320738,-0.041431017220020294,0.03176915645599365,0.3004150390625,0.2,0.030009683,-43.124892234802246,0.002493372274329886,0.0004092704424510632,1296,0.9735857844352722,-2.2546281764705878,1223.0
1181,35,83,42496,-0.027648009679978713,-0.01677022874355316,0.044564008712768555,0.2947998046875,0.2,0.028395236,-43.10274684429169,0.2200589042622596,0.0004092704424510632,1312,0.9730366468429565,-2.2546281764705878,1223.0
1181,36,84,43008,-0.02335729521291796,-0.013180265203118324,-2.9641377925872803,0.2406005859375,0.2,0.018511355,-43.09889876842499,0.016697539045708254,0.0004092704424510632,1328,0.9733424186706543,-2.2528080285714283,1223.0
1181,36,85,43520,-0.021332749660359696,0.00779721699655056,0.10054481029510498,0.12646484375,0.2,0.01836225,-43.10232424736023,0.2044320999411866,0.0004092704424510632,1344,0.9732621908187866,-2.2528080285714283,1223.0
1181,37,86,44032,-0.026867513326578774,-0.03438599407672882,-0.09611690044403076,0.2481689453125,0.2,0.019745197,-43.10164022445679,0.004444323494681157,0.0004092704424510632,1360,0.9737319946289062,-2.251753722222222,1223.0
1181,37,87,44544,-0.015101136566954665,0.052590735256671906,0.516299843788147,0.11328125,0.2,0.013404584,-43.12317967414856,0.21413885871879756,0.0004092704424510632,1376,0.9739453196525574,-2.251753722222222,1223.0
1181,38,88,45056,-0.02361962453869637,-0.024276625365018845,-0.1649010181427002,0.2333984375,0.2,0.015173921,-43.12668561935425,0.0037402940943138674,0.0004092704424510632,1392,0.9742067456245422,-2.251753722222222,1223.0
1180,38,89,45568,-0.02748989829706261,-0.04028701037168503,-0.0044432878494262695,0.2720947265625,0.2,0.020394897,-43.150238394737244,0.0029562526142399292,0.0004092704424510632,1408,0.9756144285202026,-2.245404405405405,1223.0
