time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
192512,25,82,1620,0.022796256,0.2659912109375,-5.141027450561523,-43.25667190551758,-0.041923388838768005,6000,0.2,-0.028014525276375934,0.9883270859718323,0.0004092704424510632,0.019971494155470282,1258.0,-2.51158958
193024,26,83,1621,0.010001015,0.0736083984375,0.21053582429885864,-43.260587096214294,0.06257057189941406,6016,0.2,-0.013138704176526517,0.9885353446006775,0.0004092704424510632,0.9942271183244884,1258.0,-2.51158958
193536,26,84,1621,0.019536182,0.2705078125,-0.5826003551483154,-43.27114927768707,-0.03177815303206444,6032,0.2,-0.025103965133894235,0.9892787337303162,0.0004092704424510632,0.0049205261493625585,1258.0,-2.51158958
194048,26,85,1622,0.022836484,0.31005859375,-0.05977451801300049,-43.30314588546753,-0.05844121426343918,6048,0.2,-0.036497008928563446,0.9900319576263428,0.0004092704424510632,0.0026533250747888815,1258.0,-2.51416369
194560,27,86,1623,0.011023806,0.060791015625,0.5931796431541443,-43.316782116889954,0.0671226978302002,6064,0.2,-0.00954316378920339,0.990402102470398,0.0004092704424510632,0.53277019970119,1258.0,-2.51416369
195072,27,87,1624,0.022732683,0.2344970703125,-6.3288092613220215,-43.31209313869476,-0.026901274919509888,6080,0.2,-0.02371856546960771,0.9894079566001892,0.0004092704424510632,0.04211731941904873,1258.0,-2.51246246
195584,27,88,1626,0.017579716,0.093505859375,0.6464711427688599,-43.270766496658325,0.09518217295408249,6096,0.2,-0.015841959801036865,0.9887903332710266,0.0004092704424510632,0.7335997498594224,1258.0,-2.51246246
196096,28,89,1627,0.021330252,0.275634765625,-4.981301784515381,-43.27390253543854,-0.032948799431324005,6112,0.2,-0.029512572684325278,0.989800751209259,0.0004092704424510632,0.01703112796531059,1258.0,-2.51246246
196608,28,90,1627,0.01767071,0.24658203125,-0.13306748867034912,-43.300901889801025,-0.040455229580402374,6128,0.2,-0.028033712063916028,0.9906381368637085,0.0004092704424510632,0.002283782381709898,1258.0,-2.5146745700000004
197120,28,91,1628,0.012870825,0.1021728515625,0.42885249853134155,-43.31375801563263,0.02661297470331192,6144,0.2,-0.013034137766226195,0.9907260537147522,0.0004092704424510632,0.5154546833364293,1258.0,-2.5146745700000004
197632,28,92,1629,0.030271541,0.256591796875,-5.540501117706299,-43.31044042110443,-0.02233581617474556,6160,0.2,-0.024216097037424333,0.99038165807724,0.0004092704424510632,0.029628710239194334,1258.0,-2.51332195
198144,29,93,1630,0.016272195,0.0924072265625,0.4809088706970215,-43.30100214481354,0.04318629205226898,6176,0.2,-0.014116740872850642,0.9900872111320496,0.0004092704424510632,0.8442874066531658,1258.0,-2.51332195
198656,29,94,1631,0.0414491,0.2838134765625,-2.889519453048706,-43.285061717033386,-0.010304609313607216,6192,0.2,-0.03367300175887067,0.9891675114631653,0.0004092704424510632,0.026056626287754625,1258.0,-2.51332195
199168,29,95,1632,0.02767931,0.318115234375,-0.22075581550598145,-43.28953683376312,-0.03349873423576355,6208,0.2,-0.030764165945583954,0.9910708069801331,0.0004092704424510632,0.004009159172710497,1258.0,-2.51520449
199680,30,96,1633,0.020298205,0.15625,0.5137695670127869,-43.34622764587402,0.0024674497544765472,6224,0.2,-0.013286998291732743,0.9918596148490906,0.0004092704424510632,0.4217345266370103,1258.0,-2.51520449
200192,30,97,1634,0.03254922,0.2674560546875,-6.082973480224609,-43.354384779930115,-0.033124834299087524,6240,0.2,-0.02986086148303002,0.9921477437019348,0.0004092704424510632,0.03768585296347737,1258.0,-2.51666443
200704,30,98,1634,0.015357263,0.2008056640625,0.5152323246002197,-43.35521423816681,0.03840993344783783,6256,0.2,-0.006171342873130925,0.9919111132621765,0.0004092704424510632,0.5957279298454523,1258.0,-2.51666443
201216,30,99,1635,0.026668964,0.2830810546875,-0.2483292818069458,-43.33604824542999,-0.008897628635168076,6272,0.2,-0.03255702293245122,0.9917023777961731,0.0004092704424510632,0.11255862168036401,1258.0,-2.51666443
201728,31,100,1636,0.024318323,0.26513671875,0.6703699827194214,-43.34065639972687,-0.006558749824762344,6288,0.2,-0.028919224510900676,0.9924780130386353,0.0004092704424510632,0.0605003060773015,1258.0,-2.51844071
202240,31,101,1637,0.022157429,0.149169921875,0.6462391018867493,-43.348467111587524,-0.01208576001226902,6304,0.2,-0.018745644279988483,0.992244303226471,0.0004092704424510632,0.32502463285345584,1258.0,-2.51844071
202752,31,102,1639,0.03291333,0.3193359375,-12.123948097229004,-43.33382511138916,-0.05057848244905472,6320,0.2,-0.033494979739771225,0.9919446706771851,0.0004092704424510632,0.01335697430477012,1258.0,-2.51952355
203264,32,103,1639,0.015478414,0.142822265625,0.33636534214019775,-43.33312666416168,0.04718228429555893,6336,0.2,-0.011108257982414216,0.9922566413879395,0.0004092704424510632,0.6710749303456396,1258.0,-2.51952355
203776,32,104,1641,0.03846973,0.3095703125,-2.3907904624938965,-43.3545708656311,-0.04709053039550781,6352,0.2,-0.03280925334547646,0.9939191937446594,0.0004092704424510632,0.033380230190232396,1258.0,-2.51952355
204288,32,105,1642,0.024282016,0.1268310546875,0.7005162239074707,-43.371678590774536,0.0571613535284996,6368,0.2,-0.01850291721348185,0.9937636256217957,0.0004092704424510632,0.2586549390107393,1258.0,-2.5205503300000003
204800,33,106,1643,0.04111769,0.3267822265625,0.8817239999771118,-43.33339512348175,-0.029151923954486847,6384,0.2,-0.02437943521363195,0.9916807413101196,0.0004092704424510632,0.042002741603937466,1258.0,-2.5205503300000003
205312,33,107,1643,0.032621283,0.32373046875,-4.411290645599365,-43.26689803600311,-0.05140060931444168,6400,0.2,-0.037889401050051674,0.98997563123703,0.0004092704424510632,0.00389708970033098,1258.0,-2.52084336
205824,33,108,1644,0.019426893,0.2874755859375,0.5537235736846924,-43.24143183231354,-0.010288644582033157,6416,0.2,-0.002987708430737257,0.989780068397522,0.0004092704424510632,0.5186185576021671,1258.0,-2.52084336
206336,33,109,1645,0.030876428,0.314208984375,-5.981344699859619,-43.2369019985199,-0.04302555322647095,6432,0.2,-0.02530506846960634,0.9898487329483032,0.0004092704424510632,0.014129656396107748,1258.0,-2.5194500600000005
206848,34,110,1646,0.03276266,0.3035888671875,0.3666120767593384,-43.240941882133484,0.043720219284296036,6448,0.2,0.0025168450083583593,0.9899550676345825,0.0004092704424510632,0.5507954482454807,1258.0,-2.5194500600000005
207360,34,111,1647,0.039182246,0.3154296875,-3.9090771675109863,-43.238614439964294,-0.012434450909495354,6464,0.2,-0.024979559864732437,0.9892143607139587,0.0004092704424510632,0.0025740439759829314,1258.0,-2.5194500600000005
207872,34,112,1648,0.041899703,0.364990234375,-2.654597759246826,-43.20696485042572,-0.03706430643796921,6480,0.2,-0.02074947120854631,0.9883455634117126,0.0004092704424510632,0.0026902122735918965,1258.0,-2.5207970200000003
208384,35,113,1649,0.011073101,0.33447265625,0.5684201121330261,-43.19301474094391,0.025198515504598618,6496,0.2,0.016093070473289117,0.9887038469314575,0.0004092704424510632,0.5046332869678736,1258.0,-2.5207970200000003
208896,35,114,1649,0.02393415,0.2716064453125,-5.67719841003418,-43.20851290225983,-0.00785360112786293,6512,0.2,-0.020555975090246648,0.9891858100891113,0.0004092704424510632,0.032572331896517426,1258.0,-2.52101468
209408,35,115,1650,0.019991465,0.1859130859375,0.4688282012939453,-43.22206938266754,0.010884031653404236,6528,0.2,-0.01091595902107656,0.98934006690979,0.0004092704424510632,0.5966112622991204,1258.0,-2.52101468
209920,35,116,1651,0.023293115,0.308837890625,-3.4952797889709473,-43.21632730960846,-0.05476721003651619,6544,0.2,-0.034889854257926345,0.9888727068901062,0.0004092704424510632,0.009835036267759278,1258.0,-2.52101468
210432,36,117,1652,0.01774143,0.3114013671875,0.0253068208694458,-43.21809792518616,-0.04201235622167587,6560,0.2,-0.02741753016016446,0.9903949499130249,0.0004092704424510632,0.00225985144788865,1258.0,-2.5225504499999998
210944,36,118,1653,0.02382805,0.2171630859375,0.5616105794906616,-43.26012718677521,0.009276293218135834,6576,0.2,-0.005829006535350345,0.9909952282905579,0.0004092704424510632,0.477454035775736,1258.0,-2.5225504499999998
211456,36,119,1654,0.022135355,0.2489013671875,-5.571084976196289,-43.27902114391327,-0.03194238618016243,6592,0.2,-0.02165199459705036,0.9919520020484924,0.0004092704424510632,0.019212017476093024,1258.0,-2.5208818500000003
211968,37,120,1654,0.019358415,0.2178955078125,0.39953356981277466,-43.30771315097809,0.012442409992218018,6608,0.2,-0.009549117894493975,0.9920897483825684,0.0004092704424510632,0.5837526763789356,1258.0,-2.5208818500000003
212480,37,121,1655,0.030698292,0.3250732421875,-1.996997594833374,-43.311806440353394,-0.03168705850839615,6624,0.2,-0.031412426149472594,0.9919978380203247,0.0004092704424510632,0.01930926280329004,1258.0,-2.5208818500000003
212992,37,122,1656,0.03275412,0.36083984375,-0.39033544063568115,-43.3324910402298,-0.043422624468803406,6640,0.2,-0.02978066387004219,0.992551326751709,0.0004092704424510632,0.007799999468261376,1258.0,-2.51957676
213504,38,123,1657,0.01534134,0.0908203125,0.600156307220459,-43.337498903274536,0.011350458487868309,6656,0.2,-0.01104405871592462,0.991937518119812,0.0004092704424510632,0.4976220694370568,1258.0,-2.51957676
214016,38,124,1658,0.032007173,0.28076171875,-6.184136867523193,-43.299274921417236,-0.03985279053449631,6672,0.2,-0.02391396029270254,0.9910762906074524,0.0004092704424510632,0.030738497443962842,1258.0,-2.51881703
214528,38,125,1658,0.01220918,0.2266845703125,0.5665085911750793,-43.28992259502411,0.06770922243595123,6688,0.2,0.0026618636038620025,0.9913408756256104,0.0004092704424510632,0.8395639089867473,1258.0,-2.51881703
