time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/std,train/learning_rate,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
52,16,1654,26624,0.017928323,-0.022341018106089905,0.2,-2.4047014713287354,-0.030579019337892532,0.9936454892158508,0.0004092704424510632,0.013632985894219019,0.2452392578125,816,-43.748815178871155,1258.0,-2.4799735238095235
53,16,1653,27136,0.017482823,-0.018821068573743105,0.2,0.17143023014068604,-0.006237061694264412,0.9935172200202942,0.0004092704424510632,0.08164533250965178,0.1624755859375,832,-43.74991297721863,1258.0,-2.4799735238095235
54,16,1651,27648,0.019065475,-0.02716127096209675,0.2,-0.3190317153930664,-0.03687208890914917,0.9937137961387634,0.0004092704424510632,0.009894934919429943,0.2637939453125,848,-43.74970543384552,1258.0,-2.4799735238095235
55,17,1649,28160,0.02177646,-0.03055851615499705,0.2,0.7098202705383301,-0.037725724279880524,0.9940062761306763,0.0004092704424510632,0.014985213318141177,0.296875,864,-43.75428259372711,1258.0,-2.4849889999999997
56,17,1648,28672,0.030553736,-0.027743424667278305,0.2,0.7931867837905884,-0.024301916360855103,0.9943058490753174,0.0004092704424510632,0.0313072971184738,0.2945556640625,880,-43.76467192173004,1258.0,-2.4849889999999997
57,17,1647,29184,0.019870307,-0.030368672509212047,0.2,-5.4984612464904785,-0.029265891760587692,0.9949220418930054,0.0004092704424510632,0.013274607903440483,0.270263671875,896,-43.77201688289642,1258.0,-2.484126913043478
58,18,1645,29696,0.019086901,-0.02272020916279871,0.2,0.0989113450050354,0.00022910535335540771,0.9953063130378723,0.0004092704424510632,0.0975203198613599,0.2078857421875,912,-43.795612931251526,1258.0,-2.484126913043478
59,18,1644,30208,0.020527245,-0.02540708045125939,0.2,-0.6189091205596924,-0.029551688581705093,0.996350884437561,0.0004092704424510632,0.0064041520017781295,0.268798828125,928,-43.80931305885315,1258.0,-2.483683125
60,18,1642,30720,0.018845208,-0.016305665325489827,0.2,0.4937015771865845,-0.008607149124145508,0.9960811138153076,0.0004092704424510632,0.07721448224037886,0.1201171875,944,-43.829288721084595,1258.0,-2.483683125
61,19,1642,31232,0.029191319,-0.02993701069499366,0.2,-1.993558645248413,-0.0413341149687767,0.9944782853126526,0.0004092704424510632,0.0028550197930599097,0.2877197265625,960,-43.79647219181061,1258.0,-2.483683125
