time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
130048,107,43,1258,0.00011754781007766724,0.016533095,4048,0.2,-0.021830266254255548,-42.38638436794281,0.0004092704424510632,0.240966796875,0.9540133476257324,0.0503105151001364,0.6387847065925598,-2.2971250599999995,1258.0
130560,108,43,1258,-0.023402206599712372,0.030962486,4064,0.2,-0.023159731790656224,-42.34075915813446,0.0004092704424510632,0.2025146484375,0.9525481462478638,0.13013051607413217,0.8025796413421631,-2.2971250599999995,1258.0
131072,109,44,1258,-0.026292726397514343,0.02347142,4080,0.2,-0.027154211624292657,-42.315439224243164,0.0004092704424510632,0.2774658203125,0.9529246687889099,0.007340730808209628,-0.4090306758880615,-2.29570402,1258.0
131584,110,44,1258,0.19780775904655457,0.0045333346,4096,0.2,-0.002849022115697153,-42.34313642978668,0.0004092704424510632,0.0072021484375,0.9532458186149597,0.6718142358586192,0.669731855392456,-2.29570402,1258.0
132096,111,45,1258,-0.04030309244990349,0.018004099,4112,0.2,-0.025577393476851285,-42.32909274101257,0.0004092704424510632,0.282958984375,0.9521653056144714,0.003868663261528127,-3.610938549041748,-2.2947640000000002,1258.0
132608,112,45,1258,0.08046944439411163,0.00620242,4128,0.2,-0.005952011852059513,-42.30491900444031,0.0004092704424510632,0.015625,0.9516533017158508,0.5983166182413697,0.6371446251869202,-2.2947640000000002,1258.0
133120,113,45,1258,-0.02700844407081604,0.014945921,4144,0.2,-0.023047798793413676,-42.24812340736389,0.0004092704424510632,0.2222900390625,0.9479595422744751,0.0026291667127225082,-0.5033785104751587,-2.2947640000000002,1258.0
133632,114,46,1258,-0.02296419069170952,0.015275922,4160,0.2,-0.019082494502072223,-42.15185570716858,0.0004092704424510632,0.2247314453125,0.9477683305740356,0.004576896368234884,0.022965729236602783,-2.2923605700000005,1258.0
134144,115,46,1258,0.02834146097302437,0.009553617,4176,0.2,-0.012626084819203243,-42.16951847076416,0.0004092704424510632,0.0538330078125,0.9483203887939453,0.5845174342393875,0.6086406111717224,-2.2923605700000005,1258.0
134656,116,47,1258,-0.04468335956335068,0.017313045,4192,0.2,-0.029496529066818766,-42.18688440322876,0.0004092704424510632,0.2664794921875,0.9488826990127563,0.002586106082162587,-0.8736732006072998,-2.2917614300000007,1258.0
135168,117,47,1257,0.05859478935599327,0.009875093,4208,0.2,-0.012312092279898934,-42.20384156703949,0.0004092704424510632,0.0374755859375,0.9490645527839661,0.6801449838094413,0.754213809967041,-2.2917614300000007,1258.0
135680,118,48,1257,-0.03416016325354576,0.018875813,4224,0.2,-0.029558361566159874,-42.20328402519226,0.0004092704424510632,0.2796630859375,0.9491061568260193,0.004491741110541625,-3.7021031379699707,-2.2917614300000007,1258.0
136192,119,48,1257,-0.027778370305895805,0.013783095,4240,0.2,-0.023060598701704293,-42.21057415008545,0.0004092704424510632,0.2154541015625,0.9494584798812866,0.006943725413293578,0.02731907367706299,-2.2908876800000004,1258.0
136704,120,48,1257,0.07064089924097061,0.007829327,4256,0.2,-0.01096751875593327,-42.22706186771393,0.0004092704424510632,0.024169921875,0.9497213959693909,0.5955982224550098,0.6489049196243286,-2.2908876800000004,1258.0
137216,121,49,1257,-0.03562607616186142,0.016381461,4272,0.2,-0.025512013206025586,-42.23157060146332,0.0004092704424510632,0.247314453125,0.9496738910675049,0.00450028292107163,-0.1306312084197998,-2.2894739800000004,1258.0
137728,122,49,1257,0.28734004497528076,0.009615453,4288,0.2,-0.011543244021595456,-42.23702919483185,0.0004092704424510632,0.0352783203125,0.9500628709793091,0.6650085432920605,0.6617441177368164,-2.2894739800000004,1258.0
138240,123,50,1257,-0.029415374621748924,0.018504996,4304,0.2,-0.022701260590110905,-42.23600745201111,0.0004092704424510632,0.239990234375,0.9493975043296814,0.005441619570774492,-6.380827903747559,-2.2894739800000004,1258.0
138752,124,50,1257,-0.021482370793819427,0.020447683,4320,0.2,-0.025238636328140274,-42.21466279029846,0.0004092704424510632,0.2503662109375,0.9496126770973206,0.006113415205618367,0.10920131206512451,-2.2869329100000004,1258.0
139264,125,50,1257,0.04082905873656273,0.006235104,4336,0.2,-0.00849526321690064,-42.22783637046814,0.0004092704424510632,0.0147705078125,0.9498364925384521,0.5899413311854005,0.6853432655334473,-2.2869329100000004,1258.0
139776,126,51,1257,-0.034918610006570816,0.013347894,4352,0.2,-0.027589551216806285,-42.23005199432373,0.0004092704424510632,0.2496337890625,0.9497491121292114,0.007903289573732764,-0.16641747951507568,-2.2859321300000004,1258.0
140288,127,51,1257,0.24114194512367249,0.007813289,4368,0.2,-0.006930626928806305,-42.23093271255493,0.0004092704424510632,0.0198974609375,0.9498594999313354,0.742940928786993,0.7544218897819519,-2.2859321300000004,1258.0
140800,128,52,1256,-0.03933003917336464,0.02055313,4384,0.2,-0.027905248571187258,-42.26209568977356,0.0004092704424510632,0.272705078125,0.9519228339195251,0.005312938352290075,-5.024194240570068,-2.2859321300000004,1258.0
141312,129,52,1257,-0.03145463764667511,0.022222005,4400,0.2,-0.02879388051223941,-42.292320728302,0.0004092704424510632,0.2735595703125,0.9500946998596191,0.006492242639069445,0.3363919258117676,-2.28223536,1258.0
141824,130,52,1257,0.03028693236410618,0.008265523,4416,0.2,-0.006846527598099783,-42.22136104106903,0.0004092704424510632,0.0283203125,0.949255645275116,0.46258870570454746,0.7204118967056274,-2.28223536,1258.0
142336,131,53,1257,-0.0461600236594677,0.019589309,4432,0.2,-0.02541535909404047,-42.25311100482941,0.0004092704424510632,0.2493896484375,0.9517028331756592,0.006297824700595811,-0.45971739292144775,-2.2805313500000004,1258.0
142848,132,53,1257,0.06986860185861588,0.0057839453,4448,0.2,-0.004698259450378828,-42.30477321147919,0.0004092704424510632,0.0205078125,0.9520362019538879,0.6754095815122128,0.7405133247375488,-2.2805313500000004,1258.0
143360,133,54,1257,-0.034798555076122284,0.020927917,4464,0.2,-0.02813440389581956,-42.31701612472534,0.0004092704424510632,0.273681640625,0.9531977772712708,0.004169339968939312,-1.9426875114440918,-2.2805313500000004,1258.0
143872,134,54,1257,-0.016356173902750015,0.017185543,4480,0.2,-0.0184773550790851,-42.34411001205444,0.0004092704424510632,0.1614990234375,0.9527870416641235,0.07213021873030812,0.6519254446029663,-2.2788201100000003,1258.0
144384,135,54,1257,-0.021145712584257126,0.022168128,4496,0.2,-0.016615681510302238,-42.31377863883972,0.0004092704424510632,0.1541748046875,0.9520662426948547,0.09112272397032939,0.9110746383666992,-2.2788201100000003,1258.0
144896,136,55,1257,-0.03010161966085434,0.018719774,4512,0.2,-0.027641799650155008,-42.339839458465576,0.0004092704424510632,0.264892578125,0.9544231295585632,0.01480676225037314,-0.06196999549865723,-2.27586468,1258.0
145408,137,55,1257,0.1696234941482544,0.012959248,4528,0.2,-0.01186277974920813,-42.40483784675598,0.0004092704424510632,0.041259765625,0.9552286863327026,0.6354465866461396,0.853708028793335,-2.27586468,1258.0
145920,138,56,1256,-0.0334133580327034,0.020769626,4544,0.2,-0.02724410700466251,-42.409770250320435,0.0004092704424510632,0.300537109375,0.954716145992279,0.005378915629989933,-7.531368255615234,-2.27586468,1258.0
146432,139,56,1257,0.15098285675048828,0.009081916,4560,0.2,-0.006313619072898291,-42.38355910778046,0.0004092704424510632,0.0355224609375,0.9542593359947205,0.5608848063275218,0.6160305738449097,-2.27546487,1258.0
