time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
21,1749,72,112128,0.03332894324557856,3488,0.9676029086112976,0.2,0.2567138671875,-0.028179315384477377,-0.9425550699234009,-42.869505286216736,-0.02498980239033699,0.018265039,0.0004092704424510632,1257.0,-2.440272741573034
21,1748,73,112640,0.8212475669570267,3504,0.9665868282318115,0.2,0.054931640625,-0.00747321272501722,0.4841965436935425,-42.790159583091736,0.275373637676239,0.0077503584,0.0004092704424510632,1257.0,-2.440272741573034
21,1748,74,113152,0.04632574645802379,3520,0.9665353894233704,0.2,0.244384765625,-0.027700561564415693,-0.13367891311645508,-42.778359055519104,-0.030663255602121353,0.018423576,0.0004092704424510632,1257.0,-2.4403152666666665
21,1747,75,113664,0.5941481469199061,3536,0.9668525457382202,0.2,0.05859375,-0.012299896916374564,0.8285144567489624,-42.77620208263397,0.1816987693309784,0.01577739,0.0004092704424510632,1257.0,-2.4403152666666665
22,1747,76,114176,0.008374616605578922,3552,0.9666484594345093,0.2,0.1666259765625,-0.018816230760421604,-1.8503799438476562,-42.78633463382721,-0.026901865378022194,0.011274585,0.0004092704424510632,1257.0,-2.4403152666666665
22,1747,77,114688,0.005229004411376081,3568,0.9666957259178162,0.2,0.2010498046875,-0.021918746904702857,-0.5763949155807495,-42.789180278778076,-0.029047632589936256,0.015321373,0.0004092704424510632,1257.0,-2.43946389010989
22,1746,78,115200,1.057807975448668,3584,0.9668529629707336,0.2,0.0140380859375,-0.0071141723019536585,0.32331645488739014,-42.801159501075745,0.12155815213918686,0.006434687,0.0004092704424510632,1257.0,-2.43946389010989
23,1746,79,115712,0.012314943422097713,3600,0.9687792658805847,0.2,0.253173828125,-0.025373668322572485,-1.1391160488128662,-42.8238365650177,-0.021961716935038567,0.020527985,0.0004092704424510632,1257.0,-2.4372968152173913
23,1746,80,116224,0.6975232716649771,3616,0.9697384238243103,0.2,0.057373046875,-0.007048174818919506,0.706153929233551,-42.88363802433014,0.21361231803894043,0.009644126,0.0004092704424510632,1257.0,-2.4372968152173913
23,1746,81,116736,0.012184913939563558,3632,0.9683884382247925,0.2,0.30224609375,-0.029983448937855428,-0.1076815128326416,-42.875951409339905,-0.04460803419351578,0.023732617,0.0004092704424510632,1257.0,-2.4372968152173913
